AREAGEOGRAFICA,CAPSCUOLA,CODICECOMUNESCUOLA,CODICEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONEISTITUTORIFERIMENTO,DENOMINAZIONESCUOLA,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,INDIRIZZOSCUOLA,PROVINCIA,REGIONE,SITOWEBSCUOLA,ANNOSCOLASTICO,INDIRIZZO_TOT
NORD OVEST,Non Disponibile,L219,TOIS05400X,TORC05402X,I.I.S. C.I. GIULIO,IPSC GIULIO - SEZ. CARCERE,SPEC. PER CARCERARI,TORINO,IST  PROF  PER I SERVIZI COMMERCIALI,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile,TORINO,PIEMONTE,www.istitutogiulio.it,201718,"Non Disponibile, TORINO, Italia"
NORD OVEST,Non Disponibile,L219,TOIS029007,TORI029507,I.P.S. J. B. BECCARI,IPS BECCARI - SERALE,NORMALE,TORINO,IST PROF INDUSTRIA E ARTIGIANATO,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile,TORINO,PIEMONTE,www.istitutobeccari.it,201718,"Non Disponibile, TORINO, Italia"
NORD OVEST,Non Disponibile,L219,TOIS067002,TOTD067029,I.I.S. CURIE - LEVI,IIS CURIE - LEVI SEZ.CARCERE,SPEC. PER CARCERARI,TORINO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile,TORINO,PIEMONTE,www.iiscurielevi.gov.it,201718,"Non Disponibile, TORINO, Italia"
NORD OVEST,10151,L219,TOEE01700V,TOAA01703R,D.D. COSTA - TORINO,D.D. COSTA - VIA GORRESIO,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,"VIA GORRESIO, 13",TORINO,PIEMONTE,http://www.ddcasalegno.gov.it,201718,"VIA GORRESIO, 13, TORINO, Italia"
NORD OVEST,10137,L219,TOEE02500T,TOAA02501N,D.D. MAZZARELLO -  TORINO,D.D. MAZZARELLO - VIA GUIDOBONO,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,"VIA GUIDOBONO, 2",TORINO,PIEMONTE,Non Disponibile,201718,"VIA GUIDOBONO, 2, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOAA8BR01X,I.C. PARRI - VIAN,I.C. PARRI - STRADA LANZO,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,"STRADA DI LANZO, 146",TORINO,PIEMONTE,http://www.chivasso2.gov.it,201718,"STRADA DI LANZO, 146, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOAA8BR021,I.C. PARRI - VIAN,I.C. PARRI - VIA VENARIA,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,VIA VENARIA 79/15,TORINO,PIEMONTE,http://www.chivasso2.gov.it,201718,"VIA VENARIA 79/15, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOAA8BR032,I.C. PARRI - VIAN,I.C. PARRI - MELANIA KLEIN,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,VIA LANZO 28,TORINO,PIEMONTE,http://www.chivasso2.gov.it,201718,"VIA LANZO 28, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOAA8BR043,I.C. PARRI - VIAN,"I.C.  PARRI - VIA VENARIA, 100",NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,"VIA VENARIA, 100",TORINO,PIEMONTE,http://www.chivasso2.gov.it,201718,"VIA VENARIA, 100, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOEE8BR015,I.C. PARRI - VIAN,I.C. PARRI - CAPPONI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,VIA BADINI CONFALONIERI N. 74,TORINO,PIEMONTE,http://WWW.chivasso2.gov.it,201718,"VIA BADINI CONFALONIERI N. 74, TORINO, Italia"
