WKT_GEOM;ID_CHIESA;FK_TIPO_CH;TIPO_CHIES;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ZONA_VICAR;UNITA_PAST;PARROCCO;CONFESSION;ORARIO;COD_DIOCES;ABIT_PARRO;NOM_U_PAST;COORD_X;COORD_Y
POINT (1391790.579 4988464.14);1;1;PARROCCHIALE;Ascensione del Signore;VIA PIETRO BONFANTE 3;TORINO;10137;2;011 3115422;;;http://www4.diocesi.torino.it/schede/parr002.htm;8;19;MONTICONE don Domenico;Chiesa Cattolica;;2;12280;Unita' Pastorale N.19 - Mirafiori Nord;1391790,579;4988464,14
POINT (1394860.286 4990294.12);4;1;PARROCCHIALE;Beata Vergine delle Grazie;VIA MARCO POLO 8;TORINO;10129;1;011 599233;011 593006;parr.crocetta@diocesi.torino.it;http://www.diocesi.torino.it/parr005;2;3;FIANDINO Mons. Guido;Chiesa Cattolica;;5;16000;Unita' Pastorale N.03 - Crocetta;1394860,286;4990294,12
POINT (1392549.949 4994411.21);6;1;PARROCCHIALE;Beato Pier Giorgio Frassati;VIA PIETRO COSSA 280 int. 2;TORINO;10151;5;011 4551430;;parr.frassati@diocesi.torino.it;http:/www.beatofrassati.it/index.htm;5;11;MANENTE don Adriano S.D.B.;Chiesa Cattolica;;111;4060;Unita' Pastorale N.11 - Lucento;1392549,949;4994411,21
POINT (1393486.895 4991362.086);7;1;PARROCCHIALE;Gesu' Adolescente;VIA EMANUELE LUSERNA DI RORA' 16;TORINO;10139;3;011 4336786; 0114470016;;http://www4.diocesi.torino.it/;3;5;ARCOSTANZO don Elio S.D.B.;Chiesa Cattolica;;7;15100;Unita' Pastorale N.05 - S.Paolo;1393486,895;4991362,086
POINT (1396935.756 4995682.022);9;1;PARROCCHIALE;Gesu' Cristo Signore;VIA ANTONIO E VITTORIO SCIALOJA 8 ter;TORINO;10148;5;011 2201784;;;http://www4.diocesi.torino.it/schede/parr009.htm;5;13;DALCOLMO don Silvino;Chiesa Cattolica;;9;2200;Unita' Pastorale N.13 - Madonna di Campagna;1396935,756;4995682,022
POINT (1394664.094 4992111.889);11;1;PARROCCHIALE;Gesu' Nazareno;VIA PIETRO PALMIERI 39;TORINO;10138;3;011 4474262;011 4473655;parr.gesunazar@fastwebnet.it - segreteria@nazareno.it;http://www.gesunazareno.it;4;8;VANZAGHI padre Ottorino D.C.;Chiesa Cattolica;;11;9500;Unita' Pastorale N.08 - S.Donato;1394664,094;4992111,889
POINT (1392507.488 4987750.856);13;1;PARROCCHIALE;Gesu' Redentore;PIAZZA GIOVANNI XXIII 26;TORINO;10137;2;011 3095026;011 3090728;parr.redentore@diocesi.torino.it;http://www.diocesi.torino.it/parr013;8;19;BERNARDI don Giovanni;Chiesa Cattolica;;13;14020;Unita' Pastorale N.19 - Mirafiori Nord;1392507,488;4987750,856
POINT (1395073.274 4992636.572);16;1;PARROCCHIALE;Immacolata Concezione e S. Donato;VIA S. DONATO 21;TORINO;10144;4;011 480261;;parr.san.donato@diocesi.torino.it ;http://www.immacolatasandonato.it/;4;8;CASETTA don Enzo, Vincenzo P.;Chiesa Cattolica;;16;15500;Unita' Pastorale N.08 - S.Donato;1395073,274;4992636,572
POINT (1396252.753 4988185.212);20;1;PARROCCHIALE;Madonna Addolorata;CORSO MONCALIERI 227;TORINO;10133;8;011 6613144;;;http://www.diocesi.torino.it/parr020;10;22;FERRARA don Arcangelo Antonio;Chiesa Cattolica;;20;1600;Unita' Pastorale N.22 - Cavoretto;1396252,753;4988185,212
POINT (1396387.663 4990987.023);21;1;PARROCCHIALE;Madonna degli Angeli;VIA CARLO ALBERTO 39;TORINO;10123;1;011 8127520;011 8122237;parr021@aol.it;http://www4.diocesi.torino.it/parr021/;1;2;PELLEGRINO don Michele;Chiesa Cattolica;;21;4500;Unita' Pastorale N.02 - S.Massimo;1396387,663;4990987,023
POINT (1392674.533 4992743.832);25;1;PARROCCHIALE;Madonna della Divina Provvidenza;VIA VALENTINO CARRERA 11;TORINO;10146;4;011 740272;011 7768832;parrocchia.divina.provvidenza@gmail.com;http://www.diocesi.torino.it/parrocchiadivinaprovvidenza;4;10;BARAVALLE don Sergio;Chiesa Cattolica;;25;13000;Unita' Pastorale N.10 - Parella;1392674,533;4992743,832
POINT (1391432.951 4991052.388);26;1;PARROCCHIALE;Madonna della Guardia;VIA MONGINEVRO 251;TORINO;10142;3;011 700803;011 700803;torino@ppfmc.it;http://www4.diocesi.torino.it/schede/parr026.htm;3;7;CANTU' padre Giuseppe O.F.M.;Chiesa Cattolica;;26;8300;Unita' Pastorale N.07 - Murialdo;1391432,951;4991052,388
POINT (1395303.253 4995197.242);28;1;PARROCCHIALE;Madonna di Campagna;VIA GUGLIELMO CARDINALE MASSAIA 98;TORINO;10147;5;011 2296917;011 253945;parr.madonna.campagna@diocesi.torino.it;http://www.diocesi.torino.it/parr028;5;13;BORTOLOZZO padre Ferruccio O.F.M.;Chiesa Cattolica;;28;19500;Unita' Pastorale N.13 - Madonna di Campagna;1395303,253;4995197,242
