WKT_GEOM;ID_CINEMA;DENOMINAZ;INDIRIZZO;URL;CITTA;CAP;CIRCOSCRIZ;TELEFONO;NUM_SALE;COORD_X;COORD_Y
POINT (1396210.971 4990712.218);1;AMBROSIO CINECAFE';CORSO VITTORIO EMANUELE II 52;;TORINO;10123;1;011/540068;3;1396210,971;4990712,218
POINT (1396366.904 4990764.385);3;NAZIONALE;VIA GIUSEPPE POMBA 7;;TORINO;10123;1;011/8124173;2;1396366,904;4990764,385
POINT (1396487.516 4991180.43);4;CENTRALE ARTHOUSE;VIA CARLO ALBERTO 27;;TORINO;10123;1;011/540110;1;1396487,516;4991180,43
POINT (1397023.835 4991254.567);5;GREENWICH VILLAGE;VIA PO 30;;TORINO;10123;1;011/8390123;3;1397023,835;4991254,567
POINT (1396640.761 4991542.073);6;ROMANO;GALLERIA SUBALPINA 3;;TORINO;10123;1;011/5620145;3;1396640,761;4991542,073
POINT (1393157.254 4987422.189);8;AGNELLI;VIA PAOLO SARPI 111/A;http://www.teatroagnelli.it/cinema.htm;TORINO;10135;2;011/3161429;1;1393157,254;4987422,189
POINT (1395381.191 4990014.579);12;ARLECCHINO;CORSO GERMANO SOMMEILLER 22;;TORINO;10128;1;011/5817190;2;1395381,191;4990014,579
POINT (1395584.593 4989308.211);17;CUORE;VIA NIZZA 56;;TORINO;10126;8;011/6687668;1;1395584,593;4989308,211
POINT (1393111.049 4989453.312);18;DUE GIARDINI ARTHOUSE;VIA MONFALCONE 62;http://www.duegiardini.it/;TORINO;10136;2;011/3272214;2;1393111,049;4989453,312
POINT (1393743.333 4991081.967);19;ELISEO;VIA MONGINEVRO 42/E;;TORINO;10138;3;011/4475241;3;1393743,333;4991081,967
POINT (1397248.924 4991142.787);20;EMPIRE;PIAZZA VITTORIO VENETO 5;;TORINO;10124;1;011/19504083;1;1397248,924;4991142,787
POINT (1396215.405 4988074.438);21;ERBA;CORSO MONCALIERI 241;http://www.torinospettacoli.it;TORINO;10133;8;011/6615447;2;1396215,405;4988074,438
POINT (1394727.79 4992130.26);22;ESEDRA;VIA PIETRO BAGETTI 30/A;http://www.esedratorino.it/;TORINO;10138;3;011/4337474;1;1394727,79;4992130,26
POINT (1395409.708 4992432.409);27;IDEAL CITYPLEX;CORSO GIAMBATTISTA BECCARIA 4/A;http://www.idealcityplex.it/;TORINO;10122;1;011/5214316;5;1395409,708;4992432,409
POINT (1396856.306 4991453.338);28;KING KONG MICROPLEX;VIA PO 21;http://www.kingkongmicro.it;TORINO;10124;1;011/19780675;1;1396856,306;4991453,338
POINT (1395083.312 4987616.431);29;PATHE' LINGOTTO;VIA NIZZA 230;http://www.pathe.it;TORINO;10126;8;011/6677856;11;1395083,312;4987616,431
POINT (1391405.551 4992112.214);31;CITYPLEX MASSAUA;PIAZZA MASSAUA 9;;TORINO;10141;3;011/7740461;5;1391405,551;4992112,214
POINT (1397098.773 4991385.592);32;MASSIMO;VIA GIUSEPPE VERDI 18;http://www.museocinema.it;TORINO;10124;1;011/8125606;3;1397098,773;4991385,592
POINT (1397758.291 4993885.219);34;MONTEROSA;VIA BRANDIZZO 65/A;http://www.teatromonterosa.it/;TORINO;10154;6;011/2304153;1;1397758,291;4993885,219
POINT (1396028.58 4990280.276);36;BARETTI;VIA GIUSEPPE BARETTI 4;http://www.cineteatrobaretti.it/;TORINO;10125;8;011/655187;1;1396028,58;4990280,276
POINT (1396048.914 4991079.358);37;REPOSI MULTISALA;VIA VENTI SETTEMBRE 15;http://www.multisalareposi.it/;TORINO;10121;1;011/531400;5;1396048,914;4991079,358
POINT (1396329.063 4991482.456);45;LUX;GALLERIA S. FEDERICO 33;;TORINO;10121;1;011/5628907;3;1396329,063;4991482,456
POINT (1398437.532 4991828.63);49;FRATELLI MARX ARTHOUSE;CORSO BELGIO 53/A;http://www.fratellimarx.it/;TORINO;10153;7;011/8121410;3;1398437,532;4991828,63
POINT (1395232.957 4993572.729);50;THE SPACE CINEMA TORINO - PARCO DORA;SALITA MICHELANGELO GAROVE 24;http://www.thespacecinema.it/;TORINO;10144;4;892.111;8;1395232,957;4993572,729
POINT (1395894.424 4991575.361);51;ALFIERI;PIAZZA SOLFERINO 4;http://www.torinospettacoli.it;TORINO;10121;1;011/5623800;3;1395894,424;4991575,361
POINT (1395955.459 4991119.049);53;REPOSI MULTISALA (EX OLIMPIA);VIA ARSENALE 31;http://www.multisalareposi.it/;TORINO;10121;1;011/532448;2;1395955,459;4991119,049
