Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data Segnalazione;Ora Segnalazione
Allarme Sociale;Altro;5;FERRARA/(CORSO)                                                       ;;04/01/2012;
Allarme Sociale;Altro;6;GOTTARDO/(VIA)                                                        ;Area Verde;11/01/2012;
Allarme Sociale;Altro;3;ISONZO/(VIA)                                                          ;Area Verde;13/01/2012;10.00
Allarme Sociale;Altro;6;ANGLESIO/MARTINO (VIA)                                                ;Area Verde;08/02/2012;11.05
Allarme Sociale;Altro;1;CARLE/GIUSEPPE E ANTONIO (VIA)                                        ;;10/02/2012;
Allarme Sociale;Altro;3;ROCCAFORTE/(VIA)                                                      ;;10/02/2012;
Allarme Sociale;Altro;7;BRA/(VIA)                                                             ;;10/02/2012;
Allarme Sociale;Altro;3;BOGGIO/PIER CARLO (VIA)                                               ;;14/02/2012;
Allarme Sociale;Altro;1;GIULIO/CARLO IGNAZIO (VIA)                                            ;Area Verde;23/02/2012;08.00
Allarme Sociale;Altro;1;PALEOCAPA/PIETRO (PIAZZA)                                             ;;27/02/2012;
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;27/02/2012;08.00
Allarme Sociale;Altro;1;TORRICELLI EVANGELISTA/(VIA)                                          ;;29/02/2012;11.48
Allarme Sociale;Altro;3;FRANCIA/(CORSO)                                                       ;;12/03/2012;10.53
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;13/03/2012;
Allarme Sociale;Altro;1;SACCHI/PAOLO (VIA)                                                    ;;13/03/2012;08.00
Allarme Sociale;Altro;1;ROSINE/(VIA DELLE)                                                    ;;23/03/2012;09.49
Allarme Sociale;Altro;1;CARLO FELICE/(PIAZZA)                                                 ;;27/03/2012;
Allarme Sociale;Altro;8;MARCONI/GUGLIELMO (CORSO)                                             ;;27/03/2012;11.21
Allarme Sociale;Altro;1;PALESTRO/(CORSO)                                                      ;;06/04/2012;
Allarme Sociale;Altro;3;MOLLIERES/(VIA)                                                       ;;11/04/2012;11.19
Allarme Sociale;Altro;7;MONTEU DA PO/(VIA)                                                    ;;13/04/2012;08.00
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;16/04/2012;
Allarme Sociale;Altro;7;PESARO/(VIA)                                                          ;;16/04/2012;
Allarme Sociale;Altro;1;FERRARIS/GALILEO (CORSO)                                              ;;04/05/2012;12.07
Allarme Sociale;Altro;8;VIRGILIO/(VIALE)                                                      ;;16/05/2012;
Allarme Sociale;Altro;8;NIZZA/(VIA)                                                           ;;17/05/2012;
Allarme Sociale;Altro;1;CASSINI/GIAN DOMENICO (LARGO)                                         ;;21/05/2012;
Allarme Sociale;Altro;5;COSSA/PIETRO (VIA)                                                    ;;23/05/2012;13.28
Allarme Sociale;Altro;1;LAGRANGE/GIUSEPPE LUIGI (PIAZZA)                                      ;;28/05/2012;08.00
Allarme Sociale;Altro;6;GIULIO CESARE/(CORSO)                                                 ;;01/06/2012;
Allarme Sociale;Altro;2;DE BERNARDI/LAMBERTO (VIA)                                            ;;05/06/2012;
Allarme Sociale;Altro;1;PO/(VIA)                                                              ;;05/06/2012;08.00
Allarme Sociale;Altro;1;ROMA/(VIA)                                                            ;;05/06/2012;08.00
Allarme Sociale;Altro;9;PODGORA/(VIA)                                                         ;;05/06/2012;11.54
Allarme Sociale;Altro;8;MADAMA CRISTINA/(PIAZZA)                                              ;;08/06/2012;
