Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Allarme Sociale;Altro;5;CALABRIA/(VIA)                                                        ;;05/01/2015;
Allarme Sociale;Altro;1;DES AMBROIS/LUIGI (VIA)                                               ;;08/01/2015;11.05
Allarme Sociale;Altro;6;CIGNA/FRANCESCO (VIA)                                                 ;Area Verde;12/01/2015;
Allarme Sociale;Altro;3;MONTE CUCCO/(CORSO)                                                   ;;20/01/2015;
Allarme Sociale;Altro;1;LAGRANGE/GIUSEPPE LUIGI (PIAZZA)                                      ;;27/01/2015;
Allarme Sociale;Altro;8;DOGLIOTTI/ACHILLE MARIO (CORSO)                                       ;;30/01/2015;
Allarme Sociale;Altro;3;BEAULARD/(VIA)                                                        ;;03/02/2015;22.11
Allarme Sociale;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;11/02/2015;
Allarme Sociale;Altro;3;MILLIO/FRANCESCO (VIA)                                                ;;12/02/2015;
Allarme Sociale;Altro;2;SANREMO/(VIA)                                                         ;;19/02/2015;
Allarme Sociale;Altro;5;BRAVIN/GIUSEPPE (VIA)                                                 ;;27/02/2015;
Allarme Sociale;Altro;3;FRANCIA/(CORSO)                                                       ;;03/03/2015;
Allarme Sociale;Altro;9;BENGASI/(PIAZZA)                                                      ;;03/03/2015;
Allarme Sociale;Altro;6;MONTANARO/(VIA)                                                       ;;09/03/2015;
Allarme Sociale;Altro;4;BIANCHI/NICOMEDE (VIA)                                                ;;10/03/2015;
Allarme Sociale;Altro;8;NIZZA/(VIA)                                                           ;;11/03/2015;
Allarme Sociale;Altro;3;POLLENZO/(VIA)                                                        ;;13/03/2015;
Allarme Sociale;Altro;1;REGINA MARGHERITA/(CORSO)                                             ;;18/03/2015;
Allarme Sociale;Altro;7;MODENA/(VIA)                                                          ;;18/03/2015;11.05
Allarme Sociale;Altro;2;SANREMO/(VIA)                                                         ;;26/03/2015;12.28
Allarme Sociale;Altro;1;STATUTO/(PIAZZA)                                                      ;;02/04/2015;
Allarme Sociale;Altro;7;CIRIO/FRANCESCO (VIA)                                                 ;;13/04/2015;
Allarme Sociale;Altro;3;MILLIO/FRANCESCO (VIA)                                                ;;15/04/2015;
Allarme Sociale;Altro;10;BERTANI/AGOSTINO (VIA)                                                ;;15/04/2015;
Allarme Sociale;Altro;9;CAIO PLINIO/(CORSO)                                                   ;;16/04/2015;
Allarme Sociale;Altro;8;BRAMANTE/(CORSO)                                                      ;;17/04/2015;
Allarme Sociale;Altro;9;PASSO BUOLE/(VIA)                                                     ;;28/05/2015;
Allarme Sociale;Altro;7;BAZZI/GIOVANNI ANTONIO (VIA)                                          ;;04/06/2015;
Allarme Sociale;Altro;10;BERTANI/AGOSTINO (VIA)                                                ;;04/06/2015;
Allarme Sociale;Altro;7;CECCHI/ANTONIO (VIA)                                                  ;;11/06/2015;
Allarme Sociale;Altro;3;BORSELLINO/PAOLO (VIA)/                                               ;;15/06/2015;
Allarme Sociale;Altro;6;GRESSONEY/(VIA)                                                       ;;15/06/2015;09.30
Allarme Sociale;Altro;6;SOANA/(VIA)                                                           ;;15/06/2015;11.00
Allarme Sociale;Altro;8;D'AZEGLIO/MASSIMO (CORSO)                                             ;;19/06/2015;14.00
Allarme Sociale;Altro;4;PIANEZZA/(VIA)                                                        ;;22/06/2015;
Allarme Sociale;Altro;10;BERTANI/AGOSTINO (VIA)                                                ;Area Verde;25/06/2015;
Allarme Sociale;Altro;7;EMILIA/(CORSO)                                                        ;;26/06/2015;
Allarme Sociale;Altro;3;LUSERNA DI RORA'/EMANUELE (VIA)                                       ;;26/06/2015;12.51
Allarme Sociale;Altro;1;MILLE/(VIA DEI)                                                       ;;30/06/2015;
Allarme Sociale;Altro;7;EMILIA/(CORSO)                                                        ;;30/06/2015;
Allarme Sociale;Atti di vandalismo;;;;16/03/2015;
Allarme Sociale;Atti di vandalismo;9;BENGASI/(PIAZZA)                                                      ;;22/04/2015;
Allarme Sociale;Atti di vandalismo;8;CELLINI/BENVENUTO (VIA)                                               ;;03/06/2015;14.57
Convivenza Civile;Aggregazioni giovanili;2;OSOPPO/(VIA)                                                          ;Area Verde;15/01/2015;
Convivenza Civile;Aggregazioni giovanili;;;;20/02/2015;
Convivenza Civile;Aggregazioni giovanili;2;OSOPPO/(VIA)                                                          ;;05/05/2015;
Convivenza Civile;Aggregazioni giovanili;6;CHIESA/(VIA ALLA)                                                     ;;05/06/2015;15.41
Convivenza Civile;Aggregazioni giovanili;5;CINCINNATO/L. QUINZIO (CORSO)                                         ;;26/06/2015;
Convivenza Civile;Altro;1;CARLO ALBERTO/(PIAZZA)                                                ;;02/01/2015;
Convivenza Civile;Altro;6;FOSSATA/(VIA)                                                         ;;05/01/2015;
Convivenza Civile;Altro;9;CROCE/BENEDETTO (CORSO)                                               ;;05/01/2015;
Convivenza Civile;Altro;9;CROCE/BENEDETTO (CORSO)                                               ;;05/01/2015;
Convivenza Civile;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;08/01/2015;
