Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Allarme Sociale;Altro;3;MONGINEVRO/(VIA)                                                      ;;03/07/2014;
Allarme Sociale;Altro;4;LESSONA/MICHELE (VIA)                                                 ;;04/07/2014;07.04
Allarme Sociale;Altro;10;AMARI/MICHELE (VIA)                                                   ;;11/07/2014;11.29
Allarme Sociale;Altro;1;VITTORIO EMANUELE II/(CORSO)                                          ;;14/07/2014;
Allarme Sociale;Altro;1;CARLO FELICE/(PIAZZA)                                                 ;;17/07/2014;
Allarme Sociale;Altro;5;DRUENTO/(VIA)                                                         ;;18/07/2014;
Allarme Sociale;Altro;6;GIULIO CESARE/(CORSO)                                                 ;;23/07/2014;
Allarme Sociale;Altro;7;MARIA AUSILIATRICE/(PIAZZA)                                           ;;23/07/2014;
Allarme Sociale;Altro;4;TELESIO/BERNARDINO (CORSO)                                            ;;24/07/2014;
Allarme Sociale;Altro;1;MAZZINI/GIUSEPPE (VIA)                                                ;;24/07/2014;10.56
Allarme Sociale;Altro;7;BAVA/EUSEBIO (VIA)                                                    ;;24/07/2014;14.21
Allarme Sociale;Altro;7;VERCELLI/(CORSO)                                                      ;;29/07/2014;15.02
Allarme Sociale;Altro;3;VIBERTI/CANDIDO (VIA)                                                 ;;30/07/2014;11.55
Allarme Sociale;Altro;8;SALUZZO/(VIA)                                                         ;;30/07/2014;14.09
Allarme Sociale;Altro;6;MONTANARO/(VIA)                                                       ;Area Verde;01/08/2014;11.23
Allarme Sociale;Altro;5;STAMPINI/ETTORE (VIA)                                                 ;;08/08/2014;
Allarme Sociale;Altro;9;TRAIANO/(CORSO)                                                       ;;08/08/2014;09.30
Allarme Sociale;Altro;7;ZANELLA/GIACOMO (VIA)                                                 ;Area Verde;11/08/2014;09.30
Allarme Sociale;Altro;7;CARMAGNOLA/(VIA)                                                      ;;31/08/2014;13.39
Allarme Sociale;Altro;6;CHIESA/DAMIANO (VIA)                                                  ;;01/09/2014;11.50
Allarme Sociale;Altro;7;RAVENNA/(VIA)                                                         ;;04/09/2014;
Allarme Sociale;Altro;2;ELBA/(VIA)                                                            ;;09/09/2014;
Allarme Sociale;Altro;6;ALFANO/FRANCO (VIA)                                                   ;;10/09/2014;12.12
Allarme Sociale;Altro;1;PO/(VIA)                                                              ;;10/09/2014;15.06
Allarme Sociale;Altro;4;BRIONE/(VIA)                                                          ;;11/09/2014;
Allarme Sociale;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;12/09/2014;09.00
Allarme Sociale;Altro;5;ORVIETO/(VIA)                                                         ;;16/09/2014;11.20
Allarme Sociale;Altro;7;GIULIO CESARE/(CORSO)                                                 ;;24/09/2014;
Allarme Sociale;Altro;7;S. MAURIZIO/(CORSO)                                                   ;Area Verde;29/09/2014;10.26
Allarme Sociale;Altro;1;TURATI/FILIPPO (CORSO)                                                ;;29/09/2014;14.06
Allarme Sociale;Altro;5;VILLAR/(VIA)                                                          ;;02/10/2014;
Allarme Sociale;Altro;7;CIGNA/FRANCESCO (LARGO)                                               ;;02/10/2014;10.23
Allarme Sociale;Altro;;;;03/10/2014;
Allarme Sociale;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;06/10/2014;
Allarme Sociale;Altro;9;BENGASI/(PIAZZA)                                                      ;;07/10/2014;
Allarme Sociale;Altro;7;BALBO/CESARE (VIA)                                                    ;;08/10/2014;
Allarme Sociale;Altro;3;LUSERNA DI RORA'/EMANUELE (VIA)                                       ;;09/10/2014;15.00
Allarme Sociale;Altro;;;;15/10/2014;
Allarme Sociale;Altro;5;MORTARA/(CORSO)                                                       ;;21/10/2014;
Allarme Sociale;Altro;7;S. GIULIA/(VIA)                                                       ;;22/10/2014;
Allarme Sociale;Altro;3;REVELLO/(VIA)                                                         ;;04/11/2014;
Allarme Sociale;Altro;1;CARLO ALBERTO/(VIA)                                                   ;;06/11/2014;
Allarme Sociale;Altro;1;CARLO ALBERTO/(VIA)                                                   ;;06/11/2014;
