WKT_GEOM;ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;COORD_X;COORD_Y
POLYGON ((1396814.173257 4991118.929385,1396813.132585 4991116.550706,1396831.864681 4991106.961657,1396841.528064 4991125.693753,1396840.487392 4991127.849431,1396840.413058 4991127.849431,1396814.173257 4991118.929385));8;Carlina;piazza Carlina;dal lunedi al sabato;1;1396825,375;4991117,5
POLYGON ((1395068.651649 4991523.368787,1395063.789463 4991514.252188,1395084.757642 4991503.312268,1395089.315942 4991512.732754,1395068.651649 4991523.368787));25;Matteotti Bolzano;corsi Matteotti, Vinzaglio;dal lunedi al sabato;1;1395076,8125;4991513,5
POLYGON ((1395606.074229 4992189.745655,1395451.123444 4991897.785754,1395471.239861 4991887.455702,1395626.190647 4992179.415602,1395606.074229 4992189.745655));30;Palestro;corso Palestro;dal lunedi al sabato;1;1395538,625;4992038,5
POLYGON ((1392606.280039 4987969.094424,1392574.47325 4987899.274643,1392620.631883 4987878.716596,1392654.378111 4987950.475816,1392607.055815 4987971.033863,1392606.280039 4987969.094424));17;Don Grioli;vie don Grioli, don Grazioli;dal lunedi al sabato;2;1392614,375;4987924,75
POLYGON ((1393288.692234 4988911.596375,1393278.858105 4988896.517378,1393637.476003 4988716.225016,1393645.998915 4988732.615231,1393288.692234 4988911.596375));36;S.Rita-Sebastopoli;corso Sebastopoli tra corsi IV Novembre e Orbassano;dal lunedi al sabato;2;1393463,4375;4988814
POLYGON ((1393670.074111 4991021.051215,1393671.174529 4991019.950797,1393507.212181 4990761.352463,1393549.028082 4990753.649534,1393549.028082 4990793.264598,1393689.881643 4991008.946612,1393670.074111 4991021.051215));16;Di Nanni;via Di Nanni tra corso Peschiera e via S.Bernardino;dal lunedi al sabato;3;1393598,5;4990887,25
POLYGON ((1391690.421333 4992158.883884,1391656.308362 4992067.549154,1391637.601248 4991983.917352,1391625.496645 4991883.779274,1391659.609617 4991884.879692,1391664.011291 4991942.101451,1391678.316731 4992011.427813,1391722.333468 4992144.578445,1391690.421333 4992158.883884));6;Brunelleschi;corso Brunelleschi tra corso Peschiera e via Vandalino;dal lunedi al sabato;3;1391673,875;4992052,25
POLYGON ((1394694.259265 4991967.811974,1394637.538697 4991997.638659,1394634.026124 4992008.716773,1394660.370419 4992060.324572,1394671.85383 4992064.242441,1394733.053654 4992032.494188,1394733.729149 4992026.009439,1394705.186857 4991971.538175,1394694.628558 4991968.032991,1394690.311196 4991957.688422,1394692.790473 4991956.534276,1394693.474411 4991955.251891,1394694.867669 4991954.021482,1394704.602133 4991950.776661,1394711.091777 4991954.021482,1394753.071655 4992034.330815,1394659.580235 4992082.597536,1394621.859184 4992009.183449,1394627.132019 4991990.728526,1394690.000437 4991957.874708,1394690.608841 4991959.294317,1394694.259265 4991967.811974));4;Benefica;piazza Martini - Benefica;dal lunedi al sabato;3;1394736,375;4992016,5
POLYGON ((1390782.186625 4991963.967561,1390785.991701 4991844.107671,1390806.919619 4991844.923044,1390802.299169 4991964.782935,1390782.186625 4991963.967561));26;Michele Rua;via Michele Rua;dal lunedi al sabato;3;1390794,5;4991904,5
POLYGON ((1394869.889363 4992933.732316,1394870.638912 4992928.485468,1394937.098993 4992891.257829,1394942.595691 4992892.007379,1394970.079183 4992938.729315,1394969.329633 4992943.226613,1394896.873155 4992979.454853,1394892.126006 4992977.456053,1394869.889363 4992933.732316));3;Barcellona;piazza Barcellona;dal lunedi al sabato;4;1394919,4375;4992935,5
POLYGON ((1393091.139987 4992710.206874,1393090.859961 4992710.206874,1393168.84718 4992706.286511,1393169.267219 4992715.527366,1393112.281944 4992717.767574,1393091.28 4992714.827301,1393091.139987 4992710.206874));12;Chironi;piazza Chironi;dal lunedi al sabato;4;1393130,1875;4992712
POLYGON ((1392420.431233 4992988.350399,1392430.636622 4993058.045739,1392400.020455 4993061.530507,1392391.557449 4992993.826461,1392392.553097 4992991.586254,1392420.431233 4992988.350399));7;Campanella;piazza Campanella;dal lunedi al sabato;4;1392411,125;4993025
POLYGON ((1393391.620264 4995020.171589,1393391.620264 4995020.570539,1393212.093131 4994892.108901,1393240.019574 4994877.74673,1393249.195405 4994879.342527,1393423.13725 4995000.623079,1393423.935148 4995004.612571,1393423.13725 4995007.804165,1393391.620264 4995020.171589));13;Cincinnato;corso Cincinnato tra corso Toscana e via ValdellaTorre;dal lunedi al sabato;5;1393320,625;4994949
