WKT_GEOM;ID_MER_T;DENOM;TEMA;LUOGO;CADENZA;POSTI;COORD_X;COORD_Y
POINT (1396597.51541 4991496.94716);2;Mostra Mercato delle Lavorazioni Artistiche e Artigianali;Artigianato;Via Cesare Battisti;1 domenica mese esclusi luglio e agosto;28;139659;499149
POINT (1396626.26606 4991434.37222);3;Extravaganza;Moda Vintage e Modernariato;Piazza Carlo Alberto;2 sabato mese esclusi luglio e agosto;44;139662;499143
POINT (1396421.62907 4992666.42219999);4;Gran Balon;Antiquariato;Borgo Dora e vie limitrofe;2 domenica mese;250;139642;499266
POINT (1396364.12776999 4990346.0755);5;Prodotti Tipici della Campagna Piemontese;Prodotti Tipici;Piazza Madama Cristina;3 domenica mese esclusi agosto e dicembre;40;139636;499034
POINT (1396273.29382 4991907.35025999);7;Oltre Mercato;Prodotti Biologici;Piazza Palazzo di Citta';4 sabato mese esclusi luglio e agosto;34;139627;499190
POINT (1396638.11006999 4991455.72733999);8;Ogni Frutto ha la sua Stagione;Alimentare - Artigianato;Piazza Carlo Alberto;3 domenica mese esclusi luglio e agosto;50;139663;499145
POINT (1396107.06627 4990945.36117);9;Il Libro Ritrovato;Libri Usati;Piazza Carlo Felice;1 domenica mese;60;139610;499094
POINT (1397650.88582 4990684.63320999);10;Mercato Vintage;Vintage;Piazza Gran Madre;3 domenica mese esclusi luglio e agosto;57;139765;499068
POINT (1394472.88522 4993030.80652999);11;Fera d'la Leja;Usato;Balconata di Via S.Donato;3 domenica mese;70;139447;499303
POINT (1396246.79581 4991918.98058);1;Oasi dei Prodotti Tipici;Prodotti Tipici;Piazza Palazzo di Citta';1 domenica mese;58;139624;499191
POINT (1397188.95503999 4991121.00703999);12;Antiquariato minore 1;Antiquariato minore;Piazza Vittorio Veneto;1 domenica mesi marzo, aprile, maggio, ottobre, novembre, dicembre;76;139718;499112
POINT (1396240.13963 4991933.79396);6;Eccellenza Artigiana;Eccellenza Artigiana;Piazza Palazzo di Citta';3 domenica mese esclusi luglio e agosto;40;139624;499193
POINT (1393591.60078 4990873.87836);13;Mondo Artigiano;Artigianato;Via di Nanni;4 domenica mesi febbraio, marzo, aprile, maggio, settembre, ottobre, novembre;93;139359;499087
POINT (1398866.66194 4993843.52104999);14;Antiquariato minore 2;Antiquariato minore;Piazza Abba;4 domenica mese;70;139886;499384
POINT (1394682.68731 4992015.28242);15;Prodotti tipici della campagna;Prodotti tipici della campagna;Piazza Martini Benefica;4 domenica mese escluso dicembre;60;139468;499201
POINT (1395518.28443 4992238.98558999);16;Vini Tipici Piemontesi;Vini Tipici Piemontesi;Piazza Statuto;2 domenica mesi marzo, giugno, ottobre e dicembre;40;139551;499223
