WKT_GEOM;DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1395470.03 4991941.679);AGENZIE VIAGGIO;CITTÀ DEL VINO WELCOME;CORSO PALESTRO 20;No;207;05;1;24;10122;1395470.03;4991941.679
POINT (1395827.942 4989310.97);AGENZIE VIAGGIO;CISALPINA VIAGGI;VIA FRANCESCO PETRARCA 15;No;878;19;8;755;10126;1395827.942;4989310.97
POINT (1393928.74 4993079.455);AGENZIE AFFARI;;PIAZZA GIUSEPPE PEROTTI 6/A;No;1257;29;4;0;10143;1393928.74;4993079.455
POINT (1392008.405 4992029.24);AGENZIE VIAGGIO;PROMOWORLD;CORSO PESCHIERA 356;No;2061;51;3;279;10139;1392008.405;4992029.24
POINT (1394392.972 4990329.455);AGENZIE VIAGGIO;IL CAICCO BLU;VIA ANTONIO PIGAFETTA 24;No;1161;26;1;55;10129;1394392.972;4990329.455
POINT (1392299.7694468 4991863.86994229);AGENZIE AFFARI;;CORSO PESCHIERA 316/B;No;2080;51;3;0;10139;1392299.7694468;4991863.86994229
POINT (1392027.5 4991967.777);AGENZIE VIAGGIO;VIAGGI BORELLO;CORSO PESCHIERA 317/A;No;3418;51;3;0;10141;1392027.5;4991967.777
POINT (1392027.5 4991967.777);AGENZIE VIAGGIO;VIA TRINCHESE;CORSO PESCHIERA 317/A;No;3418;51;3;0;10141;1392027.5;4991967.777
POINT (1391893.289 4992043.855);AGENZIE AFFARI;;CORSO PESCHIERA 337;No;2069;51;3;284;10141;1391893.289;4992043.855
POINT (1397283.407 4992297.476);AGENZIE AFFARI;;VIA PARMA 46;No;1034;23;7;687;10153;1397283.407;4992297.476
POINT (1396233.457 4994011.796);AGENZIE VIAGGIO;IL FARO PELLEGRINAGGI;VIA PARELLA 13 scala B;No;1721;39;6;572;10155;1396233.457;4994011.796
POINT (1393146.57 4992376.541);AGENZIE AFFARI;;VIA PIEDICAVALLO 13/B;No;1351;30;4;0;10145;1393146.57;4992376.541
POINT (1393470.842 4991147.817);AGENZIE AFFARI;C'ERA 2 VOLTE SNC;CORSO PESCHIERA 183/D;No;1484;33;3;0;10141;1393470.842;4991147.817
POINT (1395754.781 4991025.47);TRATTENIMENTI;GASOLINE;VIA GIUSEPPE PARINI 7;No;143;04;1;14;10121;1395754.781;4991025.47
POINT (1391327.782 4991043.474);AGENZIE AFFARI;;VIA OZIERI 4/B;No;2402;63;3;0;10142;1391327.782;4991043.474
POINT (1396127.647 4992306.138);AGENZIE AFFARI;;VIA DELLE ORFANE 30/D;No;12;01;1;0;10122;1396127.647;4992306.138
POINT (1397586.208 4992973.858);AGENZIE AFFARI;;CORSO NOVARA 79;No;1584;36;6;535;10154;1397586.208;4992973.858
POINT (1396856.077 4993622.675);AGENZIE VIAGGIO;SPIAGGE BIANCHE;CORSO NOVARA 6;No;1050;24;7;695;10152;1396856.077;4993622.675
POINT (1396017.341 4990524.726);AGENZIE VIAGGIO;VUELA HERMANO;VIA NIZZA 13/F;No;332;09;8;0;10125;1396017.341;4990524.726
POINT (1396550.907 4992504.712);AGENZIE VIAGGIO;"AGENZIA VIAGGI ""BILADI""";VIA CARLO NOE' 6;No;510;12;7;652;10152;1396550.907;4992504.712
POINT (1398592.55416667 4992179.23645833);AGENZIE VIAGGIO;IL DIAMANTE BLU;VIA IPPOLITO NIEVO 25;No;1586;36;7;708;10153;1398592.55416667;4992179.23645833
POINT (1397205.06 4993589.395);AGENZIE AFFARI;;CORSO PALERMO 102/E;No;1693;38;6;0;10154;1397205.06;4993589.395
POINT (1391872.835 4987984.052);AGENZIE VIAGGIO;"""ACQUA MARINA AZZURRA VIAGGI""";CORSO ORBASSANO 296/A;No;2742;62;2;0;10137;1391872.835;4987984.052
POINT (1392549.573 4988420.549);AGENZIE AFFARI;;CORSO ORBASSANO 236/E;No;2333;59;2;0;10137;1392549.573;4988420.549
POINT (1398875.918 4991768.722);AGENZIE AFFARI;;VIA OROPA 58 bis;No;996;22;7;914;10153;1398875.918;4991768.722
POINT (1392595.782 4988490.35);AGENZIE AFFARI;;CORSO ORBASSANO 224 int. 5;No;2333;59;2;145;10137;1392595.782;4988490.35
POINT (1396285.944 4991890.808);AGENZIE AFFARI;;VIA PALAZZO DI CITTA' 21/B;No;34;01;1;0;10122;1396285.944;4991890.808
POINT (1397728.226 4993803.554);AGENZIE AFFARI;;VIA GIOVANNI PAISIELLO 30;No;1596;37;6;543;10154;1397728.226;4993803.554
POINT (1395083.312 4987616.431);TRATTENIMENTI;ART CAFÉ (LE MERIDIEN ART + TECH);VIA NIZZA 230;No;2271;57;8;814;10126;1395083.312;4987616.431
POINT (1398020.528 4994161.522);AGENZIE VIAGGIO;FRAGALTOUR;VIA GIOVANNI PAISIELLO 57/D;No;2816;37;6;0;10154;1398020.528;4994161.522
POINT (1398017.926 4994155.857);AGENZIE AFFARI;;VIA GIOVANNI PAISIELLO 57;No;2816;37;6;539;10154;1398017.926;4994155.857
POINT (1395633.438 4989401.033);AGENZIE VIAGGIO;FREEWORLD VIAGGI;VIA NIZZA 89;No;876;19;8;751;10126;1395633.438;4989401.033
POINT (1395441.098 4988818.871);TRATTENIMENTI;DANISH PUB;VIA NIZZA 98;No;920;20;8;761;10126;1395441.098;4988818.871
POINT (1391409.866 4992526.659);AGENZIE VIAGGIO;;VIA ANGELO MOSSO 8;No;2418;64;4;413;10146;1391409.866;4992526.659
POINT (1397064.36 4991345.254);AGENZIE VIAGGIO;POWERTOURS;VIA MONTEBELLO 6;No;219;06;1;25;10124;1397064.36;4991345.254
POINT (1399030.575 4991996.625);AGENZIE VIAGGIO;WAVE TRAVEL;VIA MONTE SANTO 6;No;973;22;7;676;10153;1399030.575;4991996.625
POINT (1397731.181 4990836.734);AGENZIE AFFARI;;VIA MONFERRATO 14/D;No;526;13;8;0;10131;1397731.181;4990836.734
