WKT_GEOM;ID_INF_L;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;EMAIL;URL;TIPO;COORD_X;COORD_Y
POINT (1393712.695 4995417.325);1;Centro per la Cultura Ludica;VIA FIESOLE 15;5;10151;Torino;011 4439400;labludica@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1393712,695;4995417,325
POINT (1397082.257 4991772.326);2;Avrha Kadabra;CORSO S. MAURIZIO 6;1;10124;Torino;011 40999084;labkadabra@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1397082,257;4991772,326
POINT (1393718.079 4985379.746);3;Aliossi;VIA DOMENICO MILLELIRE 40;2;10127;Torino;011 6061631;labaliossi@comune.torino.it;http://www.comune.torino.it/gioco/;Punto Gioco Comunale;1393718,079;4985379,746
POINT (1395529.256 4988553.788);4;L'Aquilone;CORSO BRAMANTE 75;8;10126;Torino;011 4427760 - 011 4427761;labaquilone@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1395529,256;4988553,788
POINT (1398382.284 4996771.039);5;Cirimela;VIA STEFANO TEMPIA 6;6;10156;Torino;011 2624896;labincontro@comune.torino.it;http://www.comune.torino.it/gioco/;Punto Gioco Comunale;1398382,284;4996771,039
POINT (1399420.357 4992121.636);6;Drago Volante;CORSO CADORE 20 int. 8;7;10153;Torino;011 8989208;labdragovolante@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1399420,357;4992121,636
POINT (1393853.558 4995240.92);7;San Giocondo;VIA BERNARDINO LUINI 195;5;10151;Torino;011 7394285;labsangiocondo@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1393853,558;4995240,92
POINT (1391697.056 4988456.66);8;Rocca Incantata;VIA EDOARDO RUBINO 45;2;10137;Torino;011 19503429;laroccaincanta@hotmail.it;http://www.cascinaroccafranca.it/wiki/centro_bambi;Punto Gioco Comunale;1391697,056;4988456,66
POINT (1392217.024 4988211.219);9;Serendipity;CORSO ORBASSANO 264;2;10137;Torino;011 3114074;labserendipity@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;1392217,024;4988211,219
POINT (1393447.908 4992239.984);10;Punto Gioco Cuore;CORSO FRANCIA 141;3;10138;Torino;338 5382769;infocuore.to@tiscali.it;http://www.puntogiococuore.it/;Ludoteca Privata;1393447,908;4992239,984
POINT (1396067.657 4989233.103);11;Centro Mary Poppins;CORSO MASSIMO D'AZEGLIO 60;8;10126;Torino;011 6503834;centromarypoppins@yahoo.it;http://www.centromarypoppinstorino.it/;Punto Gioco Privato;1396067,657;4989233,103
POINT (1395373.527 4991260.528);12;Festopoli;VIA S. QUINTINO 31;1;10121;Torino;011 5175886;manuela.rossetti@festopoli.com;http://www.festopoli.com;Ludoteca Privata;1395373,527;4991260,528
POINT (1391902.277 4989268.502);13;Centro Famiglia;VIA GIACOMO BALLA 13;2;10136;Torino;011 307459;;;Ludoteca Privata;1391902,277;4989268,502
POINT (1392580.428 4987726.95);14;Lilliput;VIA CARLO DEL PRETE 83/A;2;10137;Torino;011 3057506;;;Ludoteca Privata;1392580,428;4987726,95
