WKT_GEOM;ID_NIDO_CO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TEL_SEGRET;FAX;LATTANTI_L;LATTANTI_B;PICCOLI_LU;PICCOLI_BR;GRANDI_LUN;GRANDI_BRE;CAP_MAX;TIPO;EMAIL;URL;NOTE;COORD_X;COORD_Y
POINT (1396884.08 4990885.785);1;ASILO NIDO COMUNALE;PIAZZA CAVOUR 14;1;10123;Torino;011 4439190;011 4439106;4;11;8;20;23;9;77;Nido Comunale;ancavour@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Piano terra;1396884,08;4990885,785
POINT (1396884.08 4990885.785);2;ASILO NIDO COMUNALE;PIAZZA CAVOUR 14;1;10123;Torino;011 4439192;011 4439106;3;12;7;19;25;9;77;Nido Comunale;ancavour-1p@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Primo piano;1396884,08;4990885,785
POINT (1397242.316 4991453.755);3;IL KOALA;VIA GAUDENZIO FERRARI 16;1;10124;Torino;011 836675;;;;;;;;28;Nido Comunale;;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Apertura gennaio 2011;1397242,316;4991453,755
POINT (1395687.372 4990744.207);4;ASILO NIDO COMUNALE;VIA VINCENZO GIOBERTI 9;1;10128;Torino;011 50699727;011 5069727;1;9;1;16;16;1;44;Nido Comunale;angioberti@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Gestito da cooperativa;1395687,372;4990744,207
POINT (1395838.598 4992491.485);5;ASILO NIDO MUNICIPALE;VIA CARLO IGNAZIO GIULIO 30;1;10122;Torino;011 4425373;011 4425390;;;7;18;28;10;64;Nido Comunale;angiulio@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;1395838,598;4992491,485
POINT (1397129.313 4991009.864);6;ASILO NIDO MUNICIPALE;VIA MARIA VITTORIA 39 ter/A;1;10123;Torino;011 5534565;;;;3;24;29;4;64;Nido Comunale;anmariavittoria@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;1397129,313;4991009,864
POINT (1396206.98831045 4992177.35466995);7;ASILO NIDO COMUNALE;VIA S. CHIARA 5/A;1;10122;Torino;011 4432190;;;;1;10;17;2;34;Nido Comunale;ansantachiara@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;1396206,98831045;4992177,35466995
POINT (1392665.728 4989341.768);8;ASILO NIDO COMUNALE;VIA BARLETTA 109 int. 20;2;10136;Torino;011 4433461;011 3296212;6;11;8;24;45;9;117;Nido Comunale;anbarletta@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;1392665,728;4989341,768
POINT (1392221.711 4987827.161);9;SNOOPY;VIA CARLO POMA 2;2;10137;Torino;011 3090231;011 3057183;6;11;6;24;34;6;89;Nido Comunale;anpoma@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;1392221,711;4987827,161
POINT (1391640.702 4988242.554);10;PANTERA ROSA;VIA IGNAZIO COLLINO 12;2;10137;Torino;011 3096976;011 4099971;1;9;1;11;22;2;47;Nido Comunale;ancollino@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;1391640,702;4988242,554
