WKT_GEOM;ID_NIDO_PR;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;POSTI;LATTANTI;URL;EMAIL;URL_TORINO;TIPO;POSTI_CONV;COORD_X;COORD_Y
POINT (1396385.341 4988467.854);1;BABY WORLD;CORSO MONCALIERI 203/G;8;10133;Torino;011 6312642;50;si;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;15;1396385,341;4988467,854
POINT (1393072.281 4991883.844);2;BIDIBIMBI;CORSO TRAPANI 29/D;3;10139;Torino;011 3828974;50;si;http://www.bidibimbi.it/;info@bidibimbi.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;12;1393072,281;4991883,844
POINT (1395161.71 4991754.372);3;BIMBI ENTRATE (Agenzia delle Entrate);VIA FRANCESCO GIUSEPPE GUICCIARDINI 11;1;10121;Torino;011 19706675;32;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;7;1395161,71;4991754,372
POINT (1396143.944 4994407.13);4;DIVINA PROVIDENZA ;VIA FONTANELLA 11;5;10147;Torino;011 290795;35;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;18;1396143,944;4994407,13
POINT (1396699.737 4991187.55);5;GLI AMICI DI PIMPA 2;VIA S. FRANCESCO DA PAOLA 16;1;10123;Torino;011 19504990;24;si;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;7;1396699,737;4991187,55
POINT (1395957.77083333 4992377.803125);6;I MANDARINI ;VIA BLIGNY 18;1;10122;Torino;011 4369106;40;;;imandarini@ravviva.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;10;1395957,77083333;4992377,803125
POINT (1395545.156 4990147.971);7;IL CORIANDOLO;VIA PAOLO SACCHI 50;1;10128;Torino;011 595728;18;;http://www.asiloilcoriandolo.com/;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;4;1395545,156;4990147,971
POINT (1397637.464 4991557.956);8;IL GRILLO PARLANTE;PIAZZA S. GIULIA 5 bis;7;10124;Torino;011 836431;28;;http://www.ilgrilloparlante.com;ilgrilloparlante@ilgrilloparlante.com;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;8;1397637,464;4991557,956
POINT (1393541.15 4988545.374);9;IL LIDO DI PEO E PEA;CORSO GIOVANNI AGNELLI 22/C;2;10137;Torino;011 2767241;56;si;http://www.illidodipeoepea.it/;info@illidodipeoepea.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;1;1393541,15;4988545,374
POINT (1393429.608 4987951.925);10;IL MICINO;VIA S. MARINO 31;2;10134;Torino;011 3160433;48;si;http://www.ilmicino.it/;info@ilmicino.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;11;1393429,608;4987951,925
