WKT_GEOM;ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;COORD_X;COORD_Y
POINT (1395892.347 4991109.194);25;competenza della Circoscrizione;Piscina Carducci;NO;;CORSO GIACOMO MATTEOTTI 6 bis;TORINO;10121;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=3;PISCINA COPERTA;1395892,347;4991109,194
POINT (1393038.24 4988272.96);129;competenza della Circoscrizione;Bocciofila Amici Boston;NO;;VIA BOSTON 31/A;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=47;BOCCIOFILA;1393038,24;4988272,96
POINT (1393038.24 4988272.96);368;competenza della Circoscrizione;Bocciofila Amici Boston;NO;;VIA BOSTON 31/A;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=47;EDIFICI DI PERTINENZA;1393038,24;4988272,96
POINT (1392970.173 4989693.466);195;competenza della Circoscrizione;Bocciofila Gruppo Pensionati e Amici;NO;;VIA ADA NEGRI 26/A;TORINO;10136;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=49;BOCCIOFILA;1392970,173;4989693,466
POINT (1392970.173 4989693.466);385;competenza della Circoscrizione;Bocciofila Gruppo Pensionati e Amici;NO;;VIA ADA NEGRI 26/A;TORINO;10136;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=49;EDIFICI DI PERTINENZA;1392970,173;4989693,466
POINT (1392806.205 4987642.097);136;competenza della Circoscrizione;Bocciofila Mirafiori Nord;NO;;VIA CARLO DEL PRETE 64/B;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=45;BOCCIOFILA;1392806,205;4987642,097
POINT (1392806.205 4987642.097);369;competenza della Circoscrizione;Bocciofila Mirafiori Nord;NO;;VIA CARLO DEL PRETE 64/B;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=45;EDIFICI DI PERTINENZA;1392806,205;4987642,097
POINT (1392135.031 4988291.508);370;competenza della Circoscrizione;Bocciofila Omero;NO;;VIA GUIDO RENI 213 int. 16;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=48;EDIFICI DI PERTINENZA;1392135,031;4988291,508
POINT (1392135.031 4988291.508);172;competenza della Circoscrizione;Bocciofila Omero;NO;;VIA GUIDO RENI 213 int. 16;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=48;BOCCIOFILA;1392135,031;4988291,508
POINT (1392447.191 4987854.034);54;competenza della Circoscrizione;Bocciofila Pensionati e Amici;NO;;CORSO SIRACUSA 209/B;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=50;BOCCIOFILA;1392447,191;4987854,034
