WKT_GEOM;ID_LUOGO_L;TIPO;DESCRIZION;INDIRIZZO;CIRCOSCRIZ;NOTE;COORD_X;COORD_Y
POINT (1395846.409 4990721.283);1;Locali storici;Hotel Turin Palace;VIA SACCHI PAOLO, 8;1;;1395846,409;4990721,283
POINT (1396344.68 4991293.151);2;Locali storici;Caffetteria Stratta;PIAZZA SAN CARLO, 191;1;;1396344,68;4991293,151
POINT (1396016.638 4990895.293);3;Locali storici;Confetteria Avvignano;PIAZZA CARLO FELICE, 50;1;;1396016,638;4990895,293
POINT (1396503.507 4991532.566);4;Locali storici;Cambio;PIAZZA CARIGNANO, 2;1;;1396503,507;4991532,566
POINT (1396475.617 4991479.945);5;Locali storici;Pepino - Carignano;PIAZZA CARIGNANO, 8;1;;1396475,617;4991479,945
POINT (1396747.77 4991515.993);6;Locali storici;CaffèFiorio;VIA PO, 8;1;;1396747,77;4991515,993
POINT (1395685.553 4990996.649);7;Locali storici;Caffè Platti;CORSO VITTORIO EMANUELE II, 72;1;;1395685,553;4990996,649
POINT (1396494.963 4989193.334);8;Locali storici;San Giorgio;VIALE MILLO ENRICO, 6;8;;1396494,963;4989193,334
POINT (1396046.45 4992291.62);9;Locali storici;Al Bicerin;PIAZZA DELLA CONSOLATA, 5;1;;1396046,45;4992291,62
POINT (1396626.008 4991559.232);10;Locali storici;Baratti & Milano;PIAZZA CASTELLO, 27;1;;1396626,008;4991559,232
POINT (1396652.886 4991568.156);11;Locali storici;Mulassano;PIAZZA CASTELLO, 15;1;;1396652,886;4991568,156
POINT (1396297.891 4991402.036);12;Locali storici;Caffè Torino;PIAZZA SAN CARLO, 156;1;;1396297,891;4991402,036
POINT (1396297.891 4991402.036);13;Locali storici;San Carlo;PIAZZA SAN CARLO, 156;1;;1396297,891;4991402,036
POINT (1395616.571 4991711.102);14;Luoghi particolari;Cittadella;CORSO FERRARIS GALILEO, 0;1;;1395616,571;4991711,102
POINT (1392664.228 4984996.51);15;Luoghi particolari;Mausoleo della Bella Rosin;STRADA CASTELLO DI MIRAFIORI, 148;2;;1392664,228;4984996,51
POINT (1397294.473 4990762.944);16;Luoghi particolari;Murazzi;VIA MURAZZI DEL PO, 15;1;;1397294,473;4990762,944
POINT (1396497.339 4992890.064);17;Luoghi particolari;Arsenale della Pace;PIAZZA BORGO DORA, 61;7;;1396497,339;4992890,064
POINT (1396400.558 4992374.804);18;Luoghi particolari;Porta Palazzo;PIAZZA DELLA REPUBBLICA, 25;7;;1396400,558;4992374,804
POINT (1395008.492 4987350.671);19;Luoghi particolari;Portici del Lingotto;VIA NIZZA, 262;8;;1395008,492;4987350,671
POINT (1397449.591 4991326.878);20;Luoghi particolari;Fetta di polenta;VIA GIULIA DI BAROLO, 9;7;;1397449,591;4991326,878
POINT (1396850.557 4991542.111);21;Luoghi particolari;Cavallerizza;VIA VERDI GIUSEPPE, 7;1;;1396850,557;4991542,111
