WKT_GEOM;ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;COORD_X;COORD_Y
POLYGON ((1396579.467 4991596.961,1396578.566 4991595.219,1396597.316 4991585.446,1396627.269 4991570.031,1396639.171 4991563.745,1396648.571 4991581.823,1396650.437 4991584.939,1396657.185 4991597.906,1396657.507 4991598.015,1396659.507 4991597.216,1396664.254 4991605.404,1396661.18135705 4991606.57212915,1396656.238 4991606.672,1396651.852 4991605.294,1396640.201 4991599.052,1396638.232 4991595.293,1396631.89 4991593.64,1396613.258 4991591.124,1396609.07 4991593.498,1396600.334 4991592.589,1396594.247 4991593.627,1396580.82674779 4991599.58994634,1396579.467 4991596.961));1;Castello;1;80244;1319;1396624,1875;4991585
POLYGON ((1396605.931 4991767.056,1396588.217 4991733.559,1396610.821 4991721.711,1396613.261 4991720.873,1396615.667 4991721.419,1396617.263 4991720.448,1396618.057 4991718.31,1396617.52 4991716.425,1396620.09 4991715.453,1396625.016 4991709.171,1396625.265 4991708.482,1396628.587 4991708.241,1396640.385 4991701.629,1396658.999 4991693.387,1396660.715 4991695.622,1396664.6 4991699.698,1396669.023 4991703.184,1396673.894 4991706.009,1396679.116 4991708.116,1396682.639 4991709.078,1396687.005 4991709.743,1396691.397 4991710.209,1396695.806 4991710.476,1396700.222 4991710.543,1396703.663 4991710.693,1396706.75 4991712.521,1396707.92535083 4991714.15841247,1396606.022 4991767.251,1396605.931 4991767.056));2;Castello;1;80244;3792;1396635,625;4991730,5
POLYGON ((1397367.26761284 4994207.39291231,1397374.10918427 4994225.91523338,1397341.96216572 4994240.11770226,1397339.432 4994234.921,1397334.97387517 4994221.23269729,1397367.26761284 4994207.39291231));3;Montanaro;6;80259;705;1397354,5;4994224
POLYGON ((1397228.3 4993772.502,1397244.494 4993819.815,1397236.062 4993822.847,1397228.257 4993800.68,1397214.36538339 4993805.71475801,1397212.53370606 4993776.31211045,1397227.65 4993770.51,1397228.3 4993772.502));4;Sesia;6;84224;782;1397228,5;4993787,25
POLYGON ((1397214.242 4993731.446,1397226.028 4993765.544,1397212.17491073 4993770.55261744,1397212.11238657 4993769.54896037,1397209.78311362 4993732.1587548,1397214.242 4993731.446));5;Sesia;6;84224;352;1397217,875;4993755,25
POLYGON ((1396348.54972038 4991413.46839394,1396361.42844967 4991406.4645108,1396408.05611595 4991494.84373487,1396395.15811073 4991501.86260151,1396348.54972038 4991413.46839394));6;Roma;1;81357;1466;1396378,25;4991454,25
POLYGON ((1396473.88260637 4991646.28967227,1396472.31804356 4991646.99269768,1396446.40959021 4991596.923264,1396442.25723409 4991589.92597359,1396435.67209524 4991593.30564988,1396409.13878056 4991603.57233808,1396403.44354705 4991592.72009504,1396431.02820296 4991582.63860279,1396436.74512189 4991579.7258121,1396399.45824897 4991509.48560252,1396398.56834363 4991508.07835302,1396399.5128641 4991508.07835302,1396412.02454759 4991501.47123272,1396485.48751809 4991640.23214643,1396473.88260637 4991646.28967227));7;Roma;1;81357;2730;1396442;4991574
POLYGON ((1398372.21159367 4998272.15985367,1398378.47260159 4998321.25714195,1398454.5271916 4998314.28682656,1398462.28298313 4998396.2552535,1398562.23702764 4998404.09427288,1398599.67495083 4998449.73225775,1398631.45832116 4998443.6616715,1398632.76518912 4998451.09219317,1398597.97516833 4998457.91772456,1398559.20475232 4998410.33549742,1398455.5180196 4998402.14485975,1398448.78722255 4998324.8922545,1398352.73669865 4998334.10672187,1398343.55445649 4998354.14379318,1398340.85530437 4998349.99159492,1398350.95149994 4998329.54085504,1398347.13339553 4998291.06967813,1398347.13339553 4998285.61959474,1398348.58547103 4998273.05958281,1398372.21159367 4998272.15985367));8;querce;6;3204;4334;1398455,8125;4998365
POLYGON ((1395025.329 4988990.966,1395020.21693156 4988987.2449706,1395045.709 4988951.059,1395051.903 4988943.401,1395085.761 4988895.484,1395092.034 4988891.682,1395097.863 4988890.339,1395104.47 4988890.339,1395239.091 4989185.093,1395226.828 4989190.337,1395225.944 4989189.292,1395224.77454032 4989188.8633177,1395207.122 4989198.591,1395162.699 4989228.518,1395162.387 4989226.666,1395163.056 4989225.3,1395161.59480872 4989222.843,1395159.585 4989222.843,1395158.474 4989221.967,1395157.1681045 4989219.96636809,1395172.134 4989210.075,1395211.976 4989183.591,1395215.02 4989173.25,1395164.512 4989063.363,1395160.901 4989055.343,1395164.131 4989054.98,1395165.371 4989054.432,1395167.859 4989052.626,1395169.533 4989050.216,1395170.348 4989047.398,1395170.348 4989045.49264865,1395169.49784326 4989042.43694787,1395167.571 4989039.749,1395164.91538427 4989037.63287889,1395162.344 4989037.376,1395159.294 4989037.612,1395156.624 4989038.711,1395154.2708354 4989040.9077083,1395152.01 4989035.97,1395101.78 4988926.22,1395086.87 4988924.78,1395047.722 4988980.231,1395039.548 4988990.995,1395037.59 4988989.143,1395034.313 4988987.716,1395031.824 4988987.508,1395030.371 4988987.724,1395027.666 4988988.844,1395025.329 4988990.966));9;Arquata;1;4605;8158;1395129,625;4988966,25
POLYGON ((1394907.604 4989156.82,1394903.10531318 4989153.95843771,1394989.119 4989031.515,1394991.975 4989033.562,1395009.312 4989005.959,1395018.31 4989000.898,1395024.42700923 4989000.69796011,1395025.079 4989001.711,1395027.226 4989003.841,1395029.78984817 4989005.10239729,1395026.05 4989010.783,1394984.465 4989069.816,1394979.939 4989076.367,1394977.517 4989074.063,1394973.802 4989072.633,1394971.22124854 4989072.633,1394967.318 4989074.057,1394965.195 4989076.037,1394963.827 4989078.597,1394963.36 4989081.462,1394963.484 4989082.913,1394964.324 4989085.439,1394966.516 4989088.103,1394967.378 4989088.829,1394970.12024231 4989090.16697143,1394963.87 4989099.04,1394921.91 4989158.61,1394916.60502089 4989166.14125546,1394914.087 4989164.228,1394912.455 4989161.149,1394912.455 4989158.6580351,1394907.604 4989156.82));10;Arquata;1;4605;3212;1394958,125;4989083,5
