WKT_GEOM;ID_TIPOPTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;LUOGO;COORD_X;COORD_Y
POINT (1394120.82 4992917.535);29;MAU - Museo d'Arte Urbana;VIA ROCCIAMELONE 7/C;4;10143;TORINO;335 6398351 - 328 2313381 - 335 8163421;;info@museoarteurbana.it;http://www.museoarteurbana.it;Borgo Vecchio Campidoglio;1394120,82;4992917,535
POINT (1397104.241 4992323.201);30;Archivio Storico Museo Italgas;CORSO PALERMO 3;7;10152;TORINO;011 8395312;011 8395315;archiviostorico@italgas.it;http://www.italgas.it/azienda/storia/archivio-storico/;;1397104,241;4992323,201
POINT (1396619.581 4991768.102);31;Armeria Reale;PIAZZA CASTELLO 191;1;10122;TORINO;011 543889;011 5188063;armeriareale@artito.arti.beniculturali.it;www.artito.arti.beniculturali.it;;1396619,581;4991768,102
POINT (1403047.214 4992660.905);32;Basilica di Superga e Reali Tombe di Casa Savoia;STRADA DELLA BASILICA DI SOPERGA 73;7;10132;TORINO;011 8997456;011 8903833;prenotazioni@basilicadisuperga.com;http://www.basilicadisuperga.com/;;1403047,214;4992660,905
POINT (1396498.958 4989303.619);33;Borgo e Rocca Medioevale;VIALE VIRGILIO 107;8;10126;TORINO;011 4431701 - 011 4431702;0114431719 - 0114431720;borgomedievale@fondazionetorinomusei.it;http://www.borgomedioevaletorino.it;Parco del Valentino;1396498,958;4989303,619
POINT (1391697.056 4988456.66);35;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 2;VIA EDOARDO RUBINO 45;2;10137;TORINO;011 4436255;011 4434426;ecomuseo@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1391697,056;4988456,66
POINT (1393910.72 4992493.465);36;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 4;VIA GIACOMO MEDICI 28;4;10143;TORINO;011 01128420;011 01128421;ecomuseo@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1393910,72;4992493,465
POINT (1398836.855 4993747.262);38;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 6;VIA S. GAETANO THIENE 6;6;10154;TORINO;"011 2424215; 011 01135667-36 (Ufficio Cultura) ";;circ6@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1398836,855;4993747,262
POINT (1397268.474 4990404.372);40;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 8;CORSO MONCALIERI 18;8;10131;TORINO;011 4438809 - 011 4435812;;informa8@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1397268,474;4990404,372
POINT (1393805.278 4987001.492);41;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 9;VIA CARLO BOSSOLI 72/A;8;10135;TORINO;011 01134930 - 011 01135956;011.011.35919;ecomuseo9@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1393805,278;4987001,492
POINT (1393879.775 4990274.985);42;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 3;VIA FRANCESCO MILLIO 20;3;10141;TORINO;011 4434491;;ecomuseo3@comune.torino.it;http://www.comune.torino.it/ecomuseo;;1393879,775;4990274,985
POINT (1393191.575 4990741.982);43;Fondazione Merz;VIA LIMONE 24/A;3;10141;TORINO;011 19719437;011 19719805;info@fondazionemerz.org;http://www.fondazionemerz.org;;1393191,575;4990741,982
POINT (1393908.085 4990176.76);44;Fondazione Sandretto Re Rebaudengo per l'Arte;VIA MODANE 16;3;10141;TORINO;011 3797600;011 19831601;info@fsrr.org;www.fsrr.org;;1393908,085;4990176,76
POINT (1396571.58854167 4992114.79895833);45;Galleria Sabauda;VIA VENTI SETTEMBRE 88;1;10122;TORINO;011 4992333 (prenotazioni) - 011 5641749 (info);;galleriasabauda@artito.arti.beniculturali.it;http://www.artito.arti.beniculturali.it/;Manica Nuova di Palazzo Reale ;1396571,58854167;4992114,79895833
POINT (1395299.117 4991049.19);46;GAM - Galeria Civica d'Arte Moderna e Contemporanea;VIA MAGENTA 31;1;10128;TORINO;011 4429518;011 4429550;gam@fondazionetorinomusei.it;http://www.gamtorino.it;;1395299,117;4991049,19
POINT (1396146.352 4992116.411);47;MAO - Museo d'Arte Orientale;VIA S. DOMENICO 11;1;10122;TORINO;011 4436927-8;011 4436918;mao@fondazionetorinomusei.it;http://www.maotorino.it;Palazzo Mazzonis;1396146,352;4992116,411
POINT (1396488.456 4991355.449);49;Miaao - Museo Internazionale Delle Arti Applicate Oggi;VIA MARIA VITTORIA 5;1;10123;TORINO;011 5611161;;miaao.museo@gmail.com;http://www.miaao.org/;;1396488,456;4991355,449
POINT (1394874.114 4993830.396);50;Museo A come Ambiente;CORSO UMBRIA 90;4;10144;TORINO;011 0702535;;info@acomeambiente.org;http://www.acomeambiente.org;;1394874,114;4993830,396
POINT (1395031.758 4987713.552);51;Museo Carpano (Eataly);VIA NIZZA 230 int. 14;8;10126;TORINO;011 19506801 (Box Informazioni Eataly);011 19506899 (Box Informazioni;infotorino@eataly.it;http://www.eataly.it;Lingotto;1395031,758;4987713,552
POINT (1396549.475 4991705.715);52;Palazzo Madama - Museo Civico d¿Arte Antica;PIAZZA CASTELLO 0;1;10123;TORINO;011 4433501;011 4429929;palazzomadama@fondazionetorinomusei.it;http://www.palazzomadamatorino.it;Piazza Castello - presso Palazzo Madama;1396549,475;4991705,715
POINT (1395215.134 4991847.391);53;Museo Civico Pietro Micca e dell'Assedio di Torino del 1706;VIA FRANCESCO GIUSEPPE GUICCIARDINI 7/A;1;10121;TORINO;011 546317;011 533772;mpm@biblioteche.reteunitaria.piemonte.it;http://www.museopietromicca.it/;;1395215,134;4991847,391
POINT (1396053.857 4989344.933);54;Museo della Frutta Francesco Garnier Valletti;VIA PIETRO GIURIA 15;8;10126;TORINO;011 6708195;011 6708196;info-museodellafrutta@comune.torino.it;http://www.museodellafrutta.it;;1396053,857;4989344,933
POINT (1397038.832 4991417.254);56;Museo della Radio e della Televisione;VIA GIUSEPPE VERDI 16;1;10124;TORINO;011 8104360;011 8126521;museoradiotv@rai.it;www.museoradiotv.rai.it;;1397038,832;4991417,254
POINT (1396002.231 4992110.72);57;Museo della Scuola e del Libro per l'Infanzia - Fondazione Tancredi di Barolo;VIA CORTE D'APPELLO 20/C;1;10122;TORINO;011 19784944;;didattica@fondazionetancredidibarolo.com;www.fondazionetancredidibarolo.com;Palazzo Barolo, via Corte d¿Appello 20/C;1396002,231;4992110,72
POINT (1395863.713 4992270.187);58;Museo della Sindone;VIA S. DOMENICO 28;1;10122;TORINO;011 4365832;011 4319275;museo@sindone.org;www.sindone.it;;1395863,713;4992270,187
