WKT_GEOM;ID_CARABIN;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;EMAIL2;URL;COORD_X;COORD_Y
POINT (1396758.41 4991129.967);1;Legione Carabinieri Piemonte E Valle D Aosta;VIA S. CROCE 4;TORINO;10123;1;0116881;0116881;;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1396758,41;4991129,967
POINT (1395400.988 4991699.945);2;Comando Provinciale di Torino;VIA BEATO SEBASTIANO VALFRE' 5;TORINO;10121;1;0116881;0116881;provtocdo@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1395400,988;4991699,945
POINT (1393504.282 4993342.541);4;Stazione CC - Torino Borgo Campidoglio;CORSO APPIO CLAUDIO 80;TORINO;10146;4;011756767;011747472;stto131210@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1393504,282;4993342,541
POINT (1394869.68 4986423.984);5;Stazione CC - Torino Borgo Lingotto;VIA SOMMARIVA 10;TORINO;10127;8;0116963973;0116631446;stto131230@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1394869,68;4986423,984
POINT (1391276.779 4985950.886);6;Stazione CC - Torino Borgo Mirafiori;VIA PLAVA 79;TORINO;10135;2;0113233300;0116886125;stto131250@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1391276,779;4985950,886
POINT (1396244.84 4989756.735);7;Stazione CC - Torino Borgo San Salvario;VIA ODDINO MORGARI 29;TORINO;10125;8;011657429;0116593399;stto131150@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1396244,84;4989756,735
POINT (1394192.454 4989238.957);8;Stazione CC -  Torino Borgo San Secondo;CORSO MONTE LUNGO 51;TORINO;10134;2;0113199680;0113189659;stto131140@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1394192,454;4989238,957
POINT (1400355.901 4992742.282);9;Stazione CC - Torino Barriera Casale;STRADA AL TRAFORO DI PINO 15;TORINO;10132;7;0118992846;0118903399;stto131160@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1400355,901;4992742,282
POINT (1397133.073 4990056.651);10;Stazione CC - Torino Barriera Piacenza;VIA DELLA BROCCA 9;TORINO;10133;8;0116601140;0116602712;stto131240@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1397133,073;4990056,651
POINT (1395022.098 4993624.409);11;Stazione CC - Torino Borgo San Donato;CORSO UMBRIA 59;TORINO;10144;4;011484347;0114303812;stto131130@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1395022,098;4993624,409
POINT (1391276.779 4985950.886);12;Compagnia CC - Torino Mirafiori;VIA PLAVA 79;TORINO;10135;2;0113233300;0113233300;cpto131200cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1391276,779;4985950,886
