WKT_GEOM;ID_POL_MUN;SEDE;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;ORARIO;EMAIL;URL;COORD_X;COORD_Y
POINT (1391728.81 4988025.026);2;S.T.C. 2a;Santa Rita - Mirafiori Nord;VIA CARLO PINCHIA 11;2;10137;TORINO;011.4436200;011.4436219;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC2@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1391728,81;4988025,026
POINT (1393265.95 4991263.017);3;S.T.C. 3a;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna;CORSO PESCHIERA 195;3;10139;TORINO;011.4437200;011.4437219;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC3@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1393265,95;4991263,017
POINT (1395026.787 4993611.529);4;S.T.C. 4a;San Donato - Campidoglio - Parella;CORSO UMBRIA 57;4;10144;TORINO;011.4437400;011.4437419;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";PMSTC4@comune.torino.it vigili.urbani@comune.torino.it;http://www.comune.torino.it/vigiliurbani/;1395026,787;4993611,529
POINT (1392927.211 4994709.529);5;S.T.C. 5a ;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette;CORSO L. QUINZIO CINCINNATO 115;5;10151;TORINO;011.4438500;011.4438519;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC5@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1392927,211;4994709,529
POINT (1397539.032 4993306.238);6;S.T.C. 6a;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto;VIA RUGGERO LEONCAVALLO 17;6;10154;TORINO;011.4436600;011.4436619;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC6@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1397539,032;4993306,238
POINT (1396799.079 4992404.765);7;S.T.C. 7a;Aurora - Vanchiglia - Madonna del Pilone;VIA GIOVANNI ANTONIO BAZZI 6;7;10152;TORINO;011.4435760;011.4435769;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC7@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1396799,079;4992404,765
POINT (1396018.625 4990389.235);8;S.T.C. 8a ;San Salvario - Cavoretto - Borgo Po;VIA SALUZZO 26;8;10125;TORINO;011.4436860;011.4436869;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC8@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1396018,625;4990389,235
POINT (1394287.34087972 4987791.7427338);9;S.T.C. 9a;Nizza Millefonti - Lingotto - Filadelfia;VIA BRUNO GIORDANO 148/D;8;10134;TORINO;011.4430900;011.4430919;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC9@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1394287,34087972;4987791,7427338
POINT (1392275.613 4985366.86);10;S.T.C. 10a;Mirafiori Sud;VIA RODOLFO MORANDI 10;2;10135;TORINO;011.4436000;011.4436019;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC10@comune.torino.it; vigili.urbani@comune.torino.it ";http://www.comune.torino.it/vigiliurbani/;1392275,613;4985366,86
POINT (1396324.739 4992343.785);11;Presidio Porta Palazzo;Presidio Porta Palazzo;PIAZZA DELLA REPUBBLICA 27;7;10122;TORINO;011.4420260;011.4420222;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMPPP@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1396324,739;4992343,785
POINT (1397411.286 4992973.391);12;Comando centrale;Comando di Polizia Municipale;VIA BOLOGNA 74;7;10152;TORINO;011.4606060;;;"Corpo.PoliziaMunicipale@cert.comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1397411,286;4992973,391
POINT (1395666.609 4991522.058);1;S.T.C. 1a;Centro - Crocetta;VIA DAVIDE BERTOLOTTI 10;1;10121;TORINO;011.4436150;011.4436162;"dal lunedi' al venerdi' 7.30 - 19.30; sabato e prefestivi: 7.30 - 12.30";"PMSTC1@comune.torino.it; vigili.urbani@comune.torino.it";http://www.comune.torino.it/vigiliurbani/;1395666,609;4991522,058
