ID_PT_INGR;DENOMINAZ;CITTA;INDIRIZZO;CIRCOSCR;CAP;TEL;FAX;EMAIL;URL;ORDINE;TIPOLOGIA;DETTAGLIO;STATALE;PARITARIA;COMUNALE;TIPO_SCUOL;COMPRENS;QUARTIERE;geometry;LATITUDE;LONGITUDE
86;VALLETTE A;TORINO;VIA DELLE VERBENE 6;5;10151;011 731658;011 4553876;smmverbene@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.633420387106289 45.10436006277746);45.10436006277746;7.633420387106289
87;GINO SEGRE';TORINO;CORSO ALBERTO PICCO 14;8;10131;011 8194533;011 8196931;segreteria@liceoginosegre.it;http://www.liceoginosegre.it;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENTIFICO;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Gino Segre'""";;POINT (7.706774109138688 45.05976316858052);45.05976316858052;7.706774109138688
88;C. CAVOUR;TORINO;CORSO ALESSANDRO TASSONI 15;4;10143;011 7495272;011 7764753;amministrazione@lcavour.it;http://www.lcavour.it;SCUOLA SEC. II GRADO;LICEO;LICEO CLASSICO;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - Liceo ""Cavour""";;POINT (7.655880875789927 45.0777341512035);45.0777341512035;7.655880875789927
89;PIERO CALAMANDREI;TORINO;CORSO BENEDETTO CROCE 17;8;10135;011 613647;011 6197336;segreteria@scuolacalamandrei.org;http://www.scuolacalamandrei.org;SCUOLA SEC. I GRADO;;;statale;;;Sede centrale;"Istituto Secondario I grado - ""Piero Calamandrei""";;POINT (7.645794583022226 45.02103128971677);45.02103128971677;7.6457945830222265
90;SCUOLA D'INFANZIA;TORINO;CORSO BENEDETTO CROCE 21;8;10135;011 614251;011 614251;smmcroce@comune.torino.it;http://maternaguala.scuole.piemonte.it;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.645563364090776 45.02066983698021);45.02066983698021;7.645563364090776
91;COLLODI;TORINO;CORSO BENEDETTO CROCE 26;8;10135;011 3160206;011 3170423;colloroda@libero.it;http://www.scuolaelementarecolloditorino.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Il Circolo Didattico ""Carlo Collodi""";;POINT (7.644737647492241 45.0204686784914);45.020468678491405;7.644737647492241
92;G. GALILEI;TORINO;CORSO CADUTI SUL LAVORO 11;8;10126;011 6672022;011 6641183;galilei.to@tiscali.it;http://www.galileitorino.it;SCUOLA SEC. II GRADO;I.P. SETT. INDUSTRIA E ARTIGIANATO;I.P. INDUSTRIA E ARTIG.;statale;;;Aule staccate;"Istituto d'istruzione Secondaria Superiore - ""Galilei""";;POINT (7.66761428936308 45.0266737269128);45.0266737269128;7.66761428936308
93;REGINA MARGHERITA;TORINO;CORSO CADUTI SUL LAVORO 11;8;10126;011 6645488;011 6595862;topm050003@istruzione.it;http://www.istitutoreginamargherita.it;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENZE UMANE - EX IST. E SC. MAGISTR;statale;;;Succursale;"Istituto d'istruzione Secondaria Superiore - ""Regina Margherita""";;POINT (7.66761428936308 45.0266737269128);45.0266737269128;7.66761428936308
94;MILLEFONTI;TORINO;CORSO CADUTI SUL LAVORO 5;8;10126;011 6633896;011 6633896;smmcadutisullavoro@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.666750835360619 45.02693668580459);45.02693668580459;7.666750835360619
95;COPERNICO;TORINO;CORSO CAIO PLINIO 2;8;10127;011 616197;011 3172352;lsscopernico@virgilio.it;http://www.copernico.to.it;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENTIFICO;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Copernico""";;POINT (7.65507200374905 45.02701453430664);45.027014534306645;7.65507200374905
