WKT_GEOM;ID_INF_CEN;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;ORARIO;URL;NOTE;COORD_X;COORD_Y
POINT (1392621.232 4989262.709);1;Piggi';CORSO SEBASTOPOLI 262;2;10136;Torino;011 3279926;da lunedi' a sabato ore 9.00 - 13.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Accomazzi;1392621,232;4989262,709
POINT (1391697.056 4988456.66);2;La Rocca Incantata;VIA EDOARDO RUBINO 45;2;10137;Torino;011 19502281 - 393 9780168;da lunedi' a venerdi' 9.00 - 12.00lunedi' - mercoledi' - giovedi' 15.30-18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Educazione Progetto - legato a progetti particolari;1391697,056;4988456,66
POINT (1393879.775 4990274.985);3;1, 2, 3.....;VIA FRANCESCO MILLIO 20;3;10141;Torino;393 9459882;dal lunedi' al venerdi' ore 9.00 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;"Cooperativa ""Educazione Progetto"" - legato a progetti particolari";1393879,775;4990274,985
POINT (1396984.432 4993728.23);4;L'albero che ride;VIA CHIUSELLA 14;6;10155;Torino;011 4371918;da lunedi' a venerdi': 9.00 - 13.00martedi' - mercoledi' - giovedi': 15.30 -18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Valpiana;1396984,432;4993728,23
POINT (1396194.67387284 4995335.74819896);5;Bimbidea;CORSO GROSSETO 115 int. 1;5;10147;Torino;328 7178771;da lunedi' a venerdi', ore 9.30 - 13.00 lunedi' e giovedi': ore 16.00 - 19.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:associazione Bimbidea;1396194,67387284;4995335,74819896
POINT (1392032.931 4995268.181);6;Stella stellina;VIALE DEI MUGHETTI 29 int. 1;5;10151;Torino;011 4532129;lunedi' e giovedi': 14.00 - 18.00 (estivo dal 15/4 al 15/10: 14,30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;1392032,931;4995268,181
POINT (1397371.609 4995336.55);7;Arcobirbaleno;PIAZZA REBAUDENGO CONTI 23;6;10155;Torino;347 2320226;dal lunedi' al venerdi' ore 9.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Progetto Tenda - legato a progetti particolari;1397371,609;4995336,55
POINT (1398382.284 4996771.039);8;La Rotonda;VIA STEFANO TEMPIA 6;6;10156;Torino;011 4428446;lunedi' e giovedi': 14.00-18.00 (estivo dal 15/4 al 15/10: 14.30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;1398382,284;4996771,039
POINT (1398791.416 4993648.889);9;Punto e virgola;CORSO TERENZIO MAMIANI 1;6;10154;Torino;011 200932;da lunedi' a venerdi': 9.00 - 12.00 lunedi', martedi' e giovedi': 15.30 - 18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Stranaidea;1398791,416;4993648,889
POINT (1396120.64872037 4987851.97665213);10;Casa Oz;CORSO MONCALIERI 262;8;10131;Torino;011 3178507 - 328 5427175;dal lunedi' al venerdi', ore 9.00 - 19.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Associazione Casa Oz - legato a progetti particolari;1396120,64872037;4987851,97665213
POINT (1394070.813 4987998.766);11;Tam tam del gioco;VIA CESARE REDUZZI 8;8;10134;Torino;011 3197034;(estivo dal 15/4 al 15/10: 14.30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;1394070,813;4987998,766
POINT (1395583.745 4989232.872);12;Il Cappello Blu;VIA NIZZA 107;8;10126;Torino;011 541225;dal lunedi' al venerdi', ore 9.30 - 12.30 Lunedi' Martedi' Mercoledi': dalle 15.30 alle 18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Cemea - legato a progetti particolari;1395583,745;4989232,872
