WKT_GEOM;ID_AREE;DENOM;AMBITO;TIPO;LOTTO;GESTIONE;COORD_X;COORD_Y
POLYGON ((1392460.755 4985525.312,1392471.88 4985522.049,1392466.728 4985503.284,1392493.541 4985496.087,1392492.447 4985492.983,1392454.356 4985503.429,1392459.863 4985523.11,1392452.301 4985525.167,1392452.962 4985527.597,1392460.755 4985525.312));8973;VIA FARINELLI ARTURO;VIA FARINELLI ARTURO;VERDE VARIO;10;COMUNALE;1392462,4375;4985510,5
POLYGON ((1392779.125 4992675.594,1392786.101 4992675.323,1392786.722 4992674.955,1392787.141 4992674.427,1392787.461 4992673.629,1392787.396 4992672.833,1392740.776 4992532.65,1392740.497 4992532.038,1392739.995 4992531.577,1392739.433 4992531.435,1392725.886 4992532.205,1392725.515 4992532.447,1392725.036 4992533.466,1392725.036 4992534.024,1392732.387 4992556.06,1392735.67 4992560.643,1392741.921 4992579.206,1392742.424 4992585.626,1392771.899 4992674.007,1392772.258 4992674.822,1392772.905 4992675.462,1392773.682 4992675.703,1392779.125 4992675.594));6979;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA;BANCHINA ALBERATA;4;COMUNALE;1392756,25;4992603
POLYGON ((1398500.881 4997976.93,1398541.553 4997936.357,1398541.126 4997930.585,1398524.237 4997932.068,1398522.002 4997935.227,1398511.806 4997936.125,1398510.689 4997937.715,1398511.123 4997947.654,1398510.785 4997954.406,1398475.112 4997956.374,1398474.944 4997958.923,1398500.881 4997976.93));5982;VIA ROBINIE;VIA ROBINIE;AIUOLA SPARTITRAFFICO;6;COMUNALE;1398508,25;4997962
POLYGON ((1398831.019 4993544.813,1398873.059 4993611.259,1398876.391 4993613.193,1398875.237 4993609.425,1398869.457 4993598.317,1398787.391 4993469.211,1398782.984 4993470.151,1398784.252 4993470.797,1398784.773 4993471.293,1398785.13 4993471.89,1398784.934 4993471.973,1398831.019 4993544.813));7976;CORSO REGIO PARCO;CORSO REGIO PARCO;BANCHINA ALBERATA;6;COMUNALE;1398829,75;4993539,25
POLYGON ((1392500.605 4985531.684,1392510.544 4985529.141,1392501.729 4985496.472,1392496.419 4985498.019,1392501.485 4985516.867,1392496.705 4985518.08,1392500.605 4985531.684));8974;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;BANCHINA ALBERATA;10;COMUNALE;1392503,5;4985517
POLYGON ((1392793.271 4992737.605,1392794.117 4992740.049,1392794.455 4992740.429,1392794.893 4992740.646,1392795.354 4992740.691,1392808.164 4992740.174,1392808.636 4992739.99,1392809.035 4992739.57,1392809.316 4992739.136,1392809.356 4992738.697,1392792.551 4992687.58,1392792.117 4992686.826,1392791.536 4992686.584,1392777.552 4992687.454,1392777.23 4992687.775,1392777.199 4992688.11,1392777.742 4992689.945,1392793.271 4992737.605));6980;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA;BANCHINA ALBERATA;4;COMUNALE;1392793,25;4992713,75
POLYGON ((1397785.087 4992661.664,1397855.77 4992705.069,1397858.96 4992707.29,1398092.572 4992848.878,1398198.929 4992913.627,1398252.8 4992946.641,1398265.83 4992954.43,1398370.943 4993018.082,1398450.56 4993066.811,1398552.188 4993129.266,1398551.884 4993129.773,1398562.06 4993135.65,1398564.664 4993137.41,1398575.656 4993145.176,1398579.415 4993150.039,1398583.649 4993156.204,1398591.308 4993168.118,1398590.811 4993168.433,1398625.45 4993222.83,1398776.869 4993459.361,1398779.219 4993456.457,1398587.069 4993155.456,1398584.411 4993151.55,1398581.714 4993147.959,1398579.083 4993144.813,1398576.392 4993142.049,1398567.052 4993133.558,1398565.426 4993132.202,1398563.689 4993131.002,1398452.326 4993063.669,1397787.133 4992658.306,1397785.087 4992661.664));7977;CORSO REGIO PARCO;CORSO REGIO PARCO;BANCHINA ALBERATA;6;COMUNALE;1398440,9375;4993059
POLYGON ((1398475.305 4997935.006,1398500.335 4997932.973,1398501.658 4997932.183,1398500.083 4997931.553,1398482.732 4997932.773,1398476.901 4997927.442,1398475.305 4997935.006));5983;VIA ROBINIE;VIA ROBINIE / VIALE FALCHERA;AIUOLA SPARTITRAFFICO;6;COMUNALE;1398478,5625;4997931
POLYGON ((1392508.809 4985546.794,1392514.904 4985545.298,1392511.554 4985532.883,1392500.263 4985535.749,1392508.809 4985546.794));8975;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;GIARDINO;10;COMUNALE;1392507,625;4985539,5
POLYGON ((1392850.873 4992866.607,1392832 4992809.713,1392812.904 4992751.724,1392812.388 4992750.642,1392811.676 4992749.962,1392810.984 4992749.614,1392810.259 4992749.521,1392798.422 4992750.037,1392797.786 4992750.26,1392797.315 4992750.79,1392797.212 4992751.382,1392797.507 4992752.441,1392836.459 4992869.952,1392836.755 4992870.571,1392837.158 4992870.854,1392837.652 4992870.908,1392844.999 4992870.568,1392850.01 4992870.203,1392850.833 4992870.081,1392851.208 4992869.913,1392851.518 4992869.621,1392851.674 4992869.194,1392851.545 4992868.514,1392850.873 4992866.607));6981;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA;BANCHINA ALBERATA;4;COMUNALE;1392824,5;4992810,25
