WKT_GEOM;ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;COORD_X;COORD_Y
POINT (1397430.30559448 4991287.91709749);1457;Stalli disabili;1;2002_00013;Nessuna;CORSO S_ MAURIZIO;67;20150313000000;;
POINT (1397139.79672603 4991770.53377952);1458;Stalli disabili;1;ND;Nessuna;CORSO S_ MAURIZIO;27;20150313000000;;
POINT (1397206.86212807 4991670.93069959);1459;Stalli disabili;1;2007_01023;Nessuna;CORSO S_ MAURIZIO;35;20150313000000;;
POINT (1397444.47294525 4991193.3834227);1460;Stalli disabili;1;1993_00771;Nessuna;VIA VANCHIGLIA;ND;20150313000000;;
POINT (1396841.03838658 4991255.53232302);1461;Stalli disabili;1;ND;Nessuna;VIA PRINCIPE AMEDEO;28;20150313000000;;
POINT (1397448.93319024 4991194.92325371);1462;Stalli disabili;1;ND;Nessuna;VIA VERDI GIUSEPPE;32;20150316000000;;
POINT (1395431.39804928 4992713.08343261);1466;Stalli disabili;1;ND;Nessuna;CORSO PRINCIPE ODDONE;24;20150317000000;;
POINT (1395470.95244205 4992763.97152626);1467;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;157;20150317000000;;
POINT (1395499.49539635 4992808.87408816);1468;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;194;20150317000000;;
POINT (1395551.40681097 4992897.10685856);1470;Stalli disabili;1;ND;Nessuna;VIA MARIA AUSILIATRICE;53;20150317000000;;
POINT (1394008.35768059 4987860.95951387);1471;Stalli disabili;1;ND;Nessuna;VIA MONTEVIDEO;16;20160119000000;;
POINT (1394068.58062448 4987810.34497712);1472;Stalli disabili;1;ND;Nessuna;VIA TUNISI;125;20150318000000;;
POINT (1396548.26153737 4990897.63747823);1473;Stalli disabili;1;ND;Nessuna;VIA DORIA ANDREA;14;20150318000000;;
POINT (1396234.56987154 4990686.40095371);1474;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;50;20150318000000;;
POINT (1396037.48535803 4990940.12134813);1476;Stalli disabili;1;ND;Nessuna;PIAZZA PALEOCAPA PIETRO;2;20150318000000;;
POINT (1395765.07228432 4991041.70210474);1477;Stalli disabili;1;ND;Nessuna;VIA PARINI GIUSEPPE;9;20150318000000;;
POINT (1395777.95612817 4991142.44068311);1478;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;15;20150318000000;;
POINT (1395909.58276416 4991074.30148606);1479;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;5;20150318000000;;
