WKT_GEOM;ID_BIKE_SHARING;STAZIONE;URL;COORD_X;COORD_Y
POINT (1395368.54934478 4992449.00938128);1;Paravia;http://www.tobike.it/frmLeStazioni.aspx;1395368,54934478;4992449,00938128
POINT (1395197.62755516 4991980.32337951);2;Porta Susa 2;http://www.tobike.it/frmLeStazioni.aspx;1395197,62755516;4991980,32337951
POINT (1395359.91390962 4991907.08159808);3;Cernaia;http://www.tobike.it/frmLeStazioni.aspx;1395359,91390962;4991907,08159808
POINT (1395635.096814 4992195.19165146);4;Valdocco 2;http://www.tobike.it/frmLeStazioni.aspx;1395635,096814;4992195,19165146
POINT (1395446.59263152 4989969.88834306);5;Sommeiller;http://www.tobike.it/frmLeStazioni.aspx;1395446,59263152;4989969,88834306
POINT (1395792.74427831 4992491.75165059);6;Valdocco;http://www.tobike.it/frmLeStazioni.aspx;1395792,74427831;4992491,75165059
POINT (1395966.11679345 4992227.25877957);7;via della consolata;http://www.tobike.it/frmLeStazioni.aspx;1395966,11679345;4992227,25877957
POINT (1396051.62599623 4992075.86884644);8;Corte d`Appello;http://www.tobike.it/frmLeStazioni.aspx;1396051,62599623;4992075,86884644
POINT (1395471.30654197 4992299.61935507);9;Statuto 2;http://www.tobike.it/frmLeStazioni.aspx;1395471,30654197;4992299,61935507
POINT (1396707.23108094 4992342.12373086);10;XI Febbraio;http://www.tobike.it/frmLeStazioni.aspx;1396707,23108094;4992342,12373086
POINT (1396434.6056603 4992011.00768793);11;Porta Palatina;http://www.tobike.it/frmLeStazioni.aspx;1396434,6056603;4992011,00768793
POINT (1396008.46369012 4990814.97392734);12;Porta Nuova 1;http://www.tobike.it/frmLeStazioni.aspx;1396008,46369012;4990814,97392734
POINT (1396052.36893171 4990796.1878488);13;Porta Nuova 2;http://www.tobike.it/frmLeStazioni.aspx;1396052,36893171;4990796,1878488
POINT (1396166.31357169 4990870.91416957);14;Lagrange;http://www.tobike.it/frmLeStazioni.aspx;1396166,31357169;4990870,91416957
POINT (1395809.18797337 4991398.69175718);15;Solferino 2;http://www.tobike.it/frmLeStazioni.aspx;1395809,18797337;4991398,69175718
POINT (1395795.92731736 4991518.63086253);16;Meucci;http://www.tobike.it/frmLeStazioni.aspx;1395795,92731736;4991518,63086253
POINT (1395701.55076815 4991184.93041246);17;Matteotti 1;http://www.tobike.it/frmLeStazioni.aspx;1395701,55076815;4991184,93041246
POINT (1395066.47834831 4991755.88958479);18;Bolzano;http://www.tobike.it/frmLeStazioni.aspx;1395066,47834831;4991755,88958479
POINT (1394991.16995285 4991342.12619849);19;Vittorio Emanuele II 2;http://www.tobike.it/frmLeStazioni.aspx;1394991,16995285;4991342,12619849
POINT (1397574.25591175 4992580.02111476);20;Padova;http://www.tobike.it/frmLeStazioni.aspx;1397574,25591175;4992580,02111476
POINT (1396289.9115229 4991157.75508548);21;CLN;http://www.tobike.it/frmLeStazioni.aspx;1396289,9115229;4991157,75508548
POINT (1395971.90697337 4991270.46075718);22;Arcivescovado;http://www.tobike.it/frmLeStazioni.aspx;1395971,90697337;4991270,46075718
POINT (1396616.73424794 4991578.17324752);23;Castello 2;http://www.tobike.it/frmLeStazioni.aspx;1396616,73424794;4991578,17324752
POINT (1397245.1845541 4991401.53718148);24;Universita' 1;http://www.tobike.it/frmLeStazioni.aspx;1397245,1845541;4991401,53718148
POINT (1397034.02603997 4991301.57942982);25;Universita' 3;http://www.tobike.it/frmLeStazioni.aspx;1397034,02603997;4991301,57942982
POINT (1396831.52824168 4991420.02541459);26;San Francesco da Paola;http://www.tobike.it/frmLeStazioni.aspx;1396831,52824168;4991420,02541459
POINT (1396634.73055721 4991372.69112123);27;Carlo Alberto;http://www.tobike.it/frmLeStazioni.aspx;1396634,73055721;4991372,69112123
POINT (1396804.30471848 4991224.28216137);28;Piazza Carlina;http://www.tobike.it/frmLeStazioni.aspx;1396804,30471848;4991224,28216137
POINT (1396610.00028839 4991005.31203992);29;Valdo Fusi;http://www.tobike.it/frmLeStazioni.aspx;1396610,00028839;4991005,31203992
POINT (1396800.68754126 4990817.54041514);30;Giardini Cavour;http://www.tobike.it/frmLeStazioni.aspx;1396800,68754126;4990817,54041514
POINT (1396433.31364514 4990852.23752921);31;Bodoni;http://www.tobike.it/frmLeStazioni.aspx;1396433,31364514;4990852,23752921
POINT (1396403.20945786 4990568.87030564);32;Vittorio Emanuele II 5;http://www.tobike.it/frmLeStazioni.aspx;1396403,20945786;4990568,87030564
POINT (1397075.24748061 4991040.32481999);33;Maria Vittoria;http://www.tobike.it/frmLeStazioni.aspx;1397075,24748061;4991040,32481999
POINT (1397184.51544571 4991039.26688481);34;Vittorio Veneto 2;http://www.tobike.it/frmLeStazioni.aspx;1397184,51544571;4991039,26688481
POINT (1397201.9618245 4990655.61253586);35;Murazzi;http://www.tobike.it/frmLeStazioni.aspx;1397201,9618245;4990655,61253586
POINT (1396734.76685562 4990375.54571107);36;Valentino 1;http://www.tobike.it/frmLeStazioni.aspx;1396734,76685562;4990375,54571107
POINT (1397154.20283901 4990250.46471918);37;Fiume;http://www.tobike.it/frmLeStazioni.aspx;1397154,20283901;4990250,46471918
POINT (1397566.46678053 4990799.98087899);38;Gran Madre;http://www.tobike.it/frmLeStazioni.aspx;1397566,46678053;4990799,98087899
POINT (1396304.11065331 4989981.86268304);39;Marconi 1;http://www.tobike.it/frmLeStazioni.aspx;1396304,11065331;4989981,86268304
