WKT_GEOM;ID_CAR_SHARING;DENOMINAZIONE;UBICAZIONE;URL;TIPO;ID_TIPO;COORD_X;COORD_Y
POINT (1392672.589492 4986890.29055254);1;Agnelli;Corso Agnelli, di fronte alla sede Fiat.;http://www.carcityclub.it/mappa-parcheggi;Andata;1;1392672,589492;4986890,29055254
POINT (1392526.83630835 4986344.48177407);2;Caio Mario;Corso Unione Sovietica;http://www.carcityclub.it/mappa-parcheggi;Andata;1;1392526,83630835;4986344,48177407
POINT (1393099.2033959 4988215.55741917);3;Montanari;Via Tripoli, di fronte al numero 166.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1393099,2033959;4988215,55741917
POINT (1393234.6312887 4988544.86850609);4;Tripoli;Via Tripoli, di fronte al numero 122/B (angolo Via Filadelfia).;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1393234,6312887;4988544,86850609
POINT (1393381.64750589 4989012.1095423);5;Santa Rita;Corso Orbassano, di fronte al numero 124/C (angolo Piazza Santa Rita).;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1393381,64750589;4989012,1095423
POINT (1395022.11980149 4987317.56485453);6;Lingotto;Via Nizza, di fronte al numero 279.;http://www.carcityclub.it/mappa-parcheggi;Andata;1;1395022,11980149;4987317,56485453
POINT (1392511.6758979 4989228.17484249);7;Siracusa;Corso Siracusa, angolo Corso Sebastopoli.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1392511,6758979;4989228,17484249
POINT (1395244.16039006 4988089.96254394);8;Spezia;Via Nizza, di fronte al numero 207.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395244,16039006;4988089,96254394
POINT (1395448.4042333 4988534.1943189);9;Carducci;Corso Bramante, di fronte al numero 76 (angolo Piazza Carducci).;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395448,4042333;4988534,1943189
POINT (1394208.69279964 4989780.83336925);10;Orbassano;Corso Duca degli Abruzzi, angolo Largo Orbassano;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1394208,69279964;4989780,83336925
