WKT_GEOM;ID_R_PUNTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;COORD_X;COORD_Y
POINT (1394013.013 4988465.106);1;Casa del Teatro Ragazzi e Giovani;CORSO GALILEO FERRARIS 266;2;10134;TORINO;011 3043755;;mail@fondazionetrg.it;http://www.casateatroragazzi.it;1394013,013;4988465,106
POINT (1396145.57 4989189.614);2;Teatro Nuovo;CORSO MASSIMO D'AZEGLIO 17;8;10126;TORINO;011 6500200;011 6500265;nuovotnt@tin.it;http://www.teatronuovo.torino.it;1396145,57;4989189,614
POINT (1396215.405 4988074.438);3;Teatro Erba;CORSO MONCALIERI 241;8;10133;TORINO;011 6615447;011 6615415;info@torinospettacoli.it;http://www.torinospettacoli.it;1396215,405;4988074,438
POINT (1396486.832 4991506.646);4;Teatro Carignano - Teatro Stabile Torino;PIAZZA CARIGNANO 6;1;10123;TORINO;011 5169490 - 800 235333;;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it;1396486,832;4991506,646
POINT (1397113.077 4991393.354);5;Auditorium Rai A. Toscanini;VIA GIUSEPPE VERDI 31;1;10124;TORINO;011 8104653 ;011 8104961;biglietteria.osn@rai.it;http://www.orchestrasinfonica.rai.it;1397113,077;4991393,354
POINT (1396708.234 4991661.826);6;Teatro Regio;PIAZZA CASTELLO 215;1;10124;TORINO;011 88151;011 8815214;info@teatroregio.torino.it;http://www.teatroregio.torino.it;1396708,234;4991661,826
POINT (1396708.234 4991661.826);7;Teatro Piccolo Regio G.Puccini;PIAZZA CASTELLO 215;1;10124;TORINO;011 88151;011 8815214;info@teatroregio.torino.it;http://www.teatroregio.torino.it/it/node/431;1396708,234;4991661,826
POINT (1396028.106 4994285.256);8;Sala Teatro Murialdo;VIA CHIESA DELLA SALUTE 17/D;5;10147;TORINO;011 2215161;011 2215161;;http://www.teatromurialdo.it/;1396028,106;4994285,256
POINT (1392259.211 4995386.052);9;Officina Caos;PIAZZA EUGENIO MONTALE 18;5;10151;TORINO;011 7399833;011 733605;info@stalkerteatro.net;http://www.stalkerteatro.net/torino/index.html - http://www.officinecaos.net;1392259,211;4995386,052
POINT (1395894.424 4991575.361);10;Teatro Alfieri;PIAZZA SOLFERINO 4;1;10121;TORINO;011 5623800;011 5623435;info@torinospettacoli.it;http://www.torinospettacoli.it;1395894,424;4991575,361
POINT (1396074.085 4991036.11);11;Teatro Vittoria - TST;VIA ANTONIO GRAMSCI 4;1;10121;TORINO;011.56.69.805;;info@teatrostabiletorino.it;http://teatrovittoriatorino.unionemusicale.it/;1396074,085;4991036,11
POINT (1397758.291 4993885.219);12;Teatro Monterosa;VIA BRANDIZZO 65/A;6;10154;TORINO;011 2304153 - 011 2304122;011 0960100;teatro@teatromonterosa.it;http://www.teatromonterosa.it;1397758,291;4993885,219
POINT (1398779.85 4991194.646);13;Teatro Alfa;VIA CASALBORGONE 16/I;7;10132;TORINO;011 8195803;011 8193529;info@alfateatro.it;http://www.alfateatro.it;1398779,85;4991194,646
POINT (1393511.563 4990686.417);14;Teatro Araldo;VIA CHIOMONTE 3/A;3;10141;TORINO;011 331764;011 331764;;http://www.fondazionetrg.it/;1393511,563;4990686,417
POINT (1394714.928 4990188.069);15;Teatro Gioiello;VIA CRISTOFORO COLOMBO 31;1;10129;TORINO;011 5805768;011 6615447;info@torinospettacoli.it;http://www.torinospettacoli.it;1394714,928;4990188,069
POINT (1394077.6 4990355.159);16;Teatro Tangram;VIA DON LUIGI ORIONE 5/B;3;10141;TORINO;011 338698;011 338698;tangramteatrotorino@libero.it;http://www.tangramteatro.it/;1394077,6;4990355,159
POINT (1396028.58 4990280.276);17;Teatro Cine Baretti;VIA GIUSEPPE BARETTI 4;8;10125;TORINO;011 655187;;info@cineteatrobaretti.it;http://www.cineteatrobaretti.it;1396028,58;4990280,276
POINT (1396878.312 4991526.449);18;Cavallerizza Reale;VIA GIUSEPPE VERDI 9;1;10124;TORINO;011 5169411;011 5169410;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it/cavallerizza-reale/;1396878,312;4991526,449
POINT (1395483.888 4992055.19);19;Teatro Juvarra;VIA FILIPPO JUVARRA 15;1;10122;TORINO;011 540675;011 5175084;;http://www.juvarramultiteatro.it;1395483,888;4992055,19
POINT (1396030.573 4989639.049);20;Teatro Colosseo;VIA MADAMA CRISTINA 71/A;8;10125;TORINO;011 6698034 - 011 6505195;011 658919;info@teatrocolosseo.it;http://www.teatrocolosseo.it;1396030,573;4989639,049
POINT (1397589.247 4992114.874);21;Sala Espace;VIA MANTOVA 38;7;10153;TORINO;011 2386067;011 19703521;info@salaespace.it;http://www.salaespace.it;1397589,247;4992114,874
POINT (1396455.432 4990788.993);22;Conservatorio G.Verdi;VIA GIUSEPPE MAZZINI 11;1;10123;TORINO;011 888470 - 0118178458;011 885165;info@pec.conservatorioriotorino.eu;http://www.conservatoriotorino.eu;1396455,432;4990788,993
POINT (1394969.301 4987254.32);23;Auditorium Lingotto G.Agnelli;VIA NIZZA 280;8;10126;TORINO;011 6677415;011 6634319;info@lingottomusica.it;http://www.lingottomusica.it;1394969,301;4987254,32
POINT (1393800.189 4992437.915);24;Teatro Astra;VIA ROSOLINO PILO 6/A;4;10143;TORINO;011 5634352 ;011 5184711;info@fondazionetpe.it;http://www.fondazionetpe.it/;1393800,189;4992437,915
POINT (1396991.492 4991503.908);25;Teatro Gobetti - Teatro Stabile Torino;VIA GIOACHINO ROSSINI 8;1;10124;TORINO;011 8159132 - 011 8970831 - 80;011 8159132;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it;1396991,492;4991503,908
POINT (1395779.697 4992950.906);26;Teatro Cine Piccolo Valdocco;VIA SALERNO 12;7;10152;TORINO;011 5224279;011 5224299;valdocco@libero.it;http://www.accoglienza.valdocco.it/sale-e-teatri/;1395779,697;4992950,906
POINT (1393157.254 4987422.189);27;Teatro Agnelli;VIA PAOLO SARPI 111/A;2;10135;TORINO;011 3161429;011 3161429;programma.cinema@agnelli.it;http://cineteatroagnelli.blogspot.com;1393157,254;4987422,189
POINT (1395328.686 4995285.478);28;Teatro Cardinal Massaia;VIA SOSPELLO 34/A;5;10147;TORINO;011 257881;011 7601332;prenotazioni@teatromassaia.it;http://www.teatromassaia.it/;1395328,686;4995285,478
