WKT_GEOM;ID_POSTA;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;TURNO;ORARIO;COORD_X;COORD_Y
POINT (1396706.473 4991217.854);1;TORINO 1;VIA MARIA VITTORIA 24;1;10123;TORINO;+390118125667;+390118121752;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1396706,473;4991217,854
POINT (1397226.971 4991830.919);2;TORINO 10;VIA S. GIULIA 12;7;10124;TORINO;011/8121323;011/8127819;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397226,971;4991830,919
POINT (1395915.467 4995289.297);3;TORINO 11;VIA ROCCAVIONE CONTE DI 93/E;5;10147;TORINO;+390112205366;+390112975761;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395915,467;4995289,297
POINT (1395148.76 4991764.446);4;TORINO 13;VIA FRANCESCO GIUSEPPE GUICCIARDINI 28;1;10121;TORINO;+390115563731;+390114546872;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395148,76;4991764,446
POINT (1393646.172 4988829.624);5;TORINO 14;VIA GIUSEPPE VERNAZZA 5;2;10136;TORINO;+390113911232;+390113272838;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393646,172;4988829,624
POINT (1395332.23525815 4991281.6882043);6;TORINO 15;VIA S. QUINTINO 35/F;1;10121;TORINO;+390115604531;+390115620567;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1395332,23525815;4991281,6882043
POINT (1398630.012 4991684.17);7;TORINO 16;VIA LESSOLO 19;7;10153;TORINO;+390118183431;+390118600061;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1398630,012;4991684,17
POINT (1392315.518 4995395.676);8;TORINO 17;PIAZZA EUGENIO MONTALE 8/A;5;10151;TORINO;+39011737002;+39011731741;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392315,518;4995395,676
POINT (1396347.643 4990469.037);9;TORINO 18;VIA PRINCIPE TOMMASO 3;8;10125;TORINO;+390116661631;+390116507262;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1396347,643;4990469,037
POINT (1394173.12 4992242.346);10;TORINO 19;VIA BRUINO 1;3;10138;TORINO;+390114350631;+390114341608;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1394173,12;4992242,346
POINT (1398461.634 4991167.422);11;TORINO 2 - App TO 16;CORSO GIUSEPPE GABETTI 3;7;10132;TORINO;011/8194560;011/8399083;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1398461,634;4991167,422
POINT (1396463.96 4990723.475);12;TORINO 20;VIA S. FRANCESCO DA PAOLA 40;1;10123;TORINO;011/8126543;011/835433;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396463,96;4990723,475
POINT (1396497.248 4992561.538);14;TORINO 22;CORSO GIULIO CESARE 7;7;10152;TORINO;+390115211973;+390114360661;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396497,248;4992561,538
POINT (1397252.98 4991719.017);15;TORINO 23;VIA MONTEBELLO 25;7;10124;TORINO;+39011835716;+39011837262;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397252,98;4991719,017
POINT (1395468.734 4990207.122);17;TORINO 25;VIA S. SECONDO 41;1;10128;TORINO;+390115818218;+39011505861;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395468,734;4990207,122
POINT (1397591.019 4990686.288);18;TORINO 26;PIAZZA GRAN MADRE DI DIO 4;8;10131;TORINO;011/8192364;011/8198592;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397591,019;4990686,288
POINT (1394540.821 4993275.225);21;TORINO 29;CORSO REGINA MARGHERITA 264/E;4;10144;TORINO;+390114376898;+390114371815;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394540,821;4993275,225
POINT (1394770.07 4991904.631);22;TORINO 3;VIA SUSA 7;3;10138;TORINO;+390114346642;+390114346369;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394770,07;4991904,631
POINT (1398691.138 4993937.95);25;TORINO 32;VIA GOTTARDO 275;6;10154;TORINO;+390112051730;+390112460425;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1398691,138;4993937,95
POINT (1397652.825 4995088.238);26;TORINO 33;CORSO TARANTO 28/D;6;10155;TORINO;+390112429931;+390112059752;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1397652,825;4995088,238
POINT (1396151.753 4987954.81);29;TORINO 36;CORSO MONCALIERI 254;8;10133;TORINO;011/6615088;011/6611504;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396151,753;4987954,81
POINT (1395723.118 4989377.578);31;TORINO 38;VIA SALUZZO 94;8;10126;TORINO;011/6508308;011/6502060;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395723,118;4989377,578
POINT (1393856.101 4992899.249);34;TORINO 40;CORSO SVIZZERA 60;4;10143;TORINO;011/740774;011/756614;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393856,101;4992899,249
POINT (1394115.069 4987306.481);35;TORINO 41;VIA BRUNO GIORDANO 202;8;10134;TORINO;011/3173297;011/611090;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394115,069;4987306,481
POINT (1392981.783 4987558.823);39;TORINO 45;VIA CARLO DEL PRETE 38;2;10137;TORINO;011/6194931;011/3173766;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392981,783;4987558,823
POINT (1391825.657 4985518.622);41;TORINO 47;CORSO UNIONE SOVIETICA 581;2;10135;TORINO;011/3423231;011/3912320;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1391825,657;4985518,622
POINT (1395322.433 4988622.652);44;TORINO 5;CORSO BRAMANTE 57;8;10126;TORINO;011/6631816;011/6963936;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395322,433;4988622,652
POINT (1395140.976 4993274.596);45;TORINO 50;VIA GRAZIADIO ASCOLI 25;4;10144;TORINO;011/484717;011/4373939;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395140,976;4993274,596
POINT (1399647.449 4991531.008);48;TORINO 53;CORSO CASALE 196;7;10132;TORINO;011/8998098;011/8902983;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1399647,449;4991531,008
POINT (1395955.748 4990471.204);50;TORINO 55;VIA NIZZA 8;1;10125;TORINO;011/6565333;011/6505445;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395955,748;4990471,204
POINT (1393509.223 4991676.138);55;TORINO 6;CORSO RACCONIGI 43;3;10139;TORINO;011/4307231;011/4409225;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1393509,223;4991676,138
POINT (1393122.699 4986432.943);58;TORINO 62;VIA PIETRO FRANCESCO GUALA 115;8;10135;TORINO;011/612729;011/615319;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393122,699;4986432,943
POINT (1394786.744 4986252.04);62;TORINO 66;VIA VINOVO 8;8;10127;TORINO;011/676111;011/677002;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394786,744;4986252,04
POINT (1392956.561 4991051.392);63;TORINO 67;VIA ISSIGLIO 34;3;10141;TORINO;011/3805831;011/3820852;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392956,561;4991051,392
POINT (1393789.111 4990069.336);69;TORINO 73;VIA BAGNASCO 7;3;10141;TORINO;011/334626;011/386146;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393789,111;4990069,336
POINT (1395229.29 4992663.93);74;TORINO 9;VIA VINCENZO MARIA MIGLIETTI 9/E;4;10144;TORINO;011/4373886;011/4371250;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395229,29;4992663,93
POINT (1393018.321 4992911.083);56;TORINO 60;VIA NICOLA FABRIZI 132;4;10145;TORINO;011/745929;011/746331;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393018,321;4992911,083
POINT (1392203.56505453 4989890.0978843);61;TORINO 65;VIA MONFALCONE 180/A;2;10136;TORINO;011/3015131;011/394610;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392203,56505453;4989890,0978843
POINT (1397032.128 4992368.438);67;TORINO 70;LUNGO DORA FIRENZE 71;7;10152;TORINO;011/284241;011/284865;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397032,128;4992368,438
