AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA;ANNOSCOLASTICO;INDIRIZZO_TOT;LATITUDE;LONGITUDE;formatted_address;geometry;QUARTIERE;DQUARTIERE;CIRCOSCRIZ;DCIRCOSCRIZ
NORD OVEST;Non Disponibile;L219;TOIS05400X;TORC05402X;I.I.S. C.I. GIULIO;IPSC GIULIO - SEZ. CARCERE;SPEC. PER CARCERARI;TORINO;IST  PROF  PER I SERVIZI COMMERCIALI;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutogiulio.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS05400X;TORC05402X;I.I.S. C.I. GIULIO;IPSC GIULIO - SEZ. CARCERE;SPEC. PER CARCERARI;TORINO;IST  PROF  PER I SERVIZI COMMERCIALI;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutogiulio.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS05400X;TORC05402X;I.I.S. C.I. GIULIO;IPSC GIULIO - SEZ. CARCERE;SPEC. PER CARCERARI;TORINO;IST  PROF  PER I SERVIZI COMMERCIALI;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutogiulio.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS05400X;TORC05402X;I.I.S. C.I. GIULIO;IPSC GIULIO - SEZ. CARCERE;SPEC. PER CARCERARI;TORINO;IST  PROF  PER I SERVIZI COMMERCIALI;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutogiulio.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS029007;TORI029507;I.P.S. J. B. BECCARI;IPS BECCARI - SERALE;NORMALE;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutobeccari.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS029007;TORI029507;I.P.S. J. B. BECCARI;IPS BECCARI - SERALE;NORMALE;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutobeccari.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS029007;TORI029507;I.P.S. J. B. BECCARI;IPS BECCARI - SERALE;NORMALE;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutobeccari.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS029007;TORI029507;I.P.S. J. B. BECCARI;IPS BECCARI - SERALE;NORMALE;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.istitutobeccari.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS067002;TOTD067029;I.I.S. CURIE - LEVI;IIS CURIE - LEVI SEZ.CARCERE;SPEC. PER CARCERARI;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.iiscurielevi.gov.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS067002;TOTD067029;I.I.S. CURIE - LEVI;IIS CURIE - LEVI SEZ.CARCERE;SPEC. PER CARCERARI;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.iiscurielevi.gov.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS067002;TOTD067029;I.I.S. CURIE - LEVI;IIS CURIE - LEVI SEZ.CARCERE;SPEC. PER CARCERARI;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.iiscurielevi.gov.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOIS067002;TOTD067029;I.I.S. CURIE - LEVI;IIS CURIE - LEVI SEZ.CARCERE;SPEC. PER CARCERARI;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;Non Disponibile;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;www.iiscurielevi.gov.it;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOMM32300Q;TOCT714006;CPIA 1 TORINO;C.T.P. CARCERI;NORMALE;TORINO;CENTRO TERRITORIALE;NO;Non Disponibile;TOMM32300Q@istruzione.it;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;Non Disponibile;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
