Categoria criminologa,Sottocategoria Criminologica,CIRCOSCRIZ,Localita,Area Verde,Data,Ora
Allarme Sociale,Altro,6,AEROPORTO/(STRADA DELL'),,2016-01-02,
Allarme Sociale,Altro,8,MADAMA CRISTINA/(PIAZZA),,2016-01-13,
Allarme Sociale,Altro,2,RENI/GUIDO (VIA),,2016-01-15,
Allarme Sociale,Altro,2,TRIPOLI/(VIA),,2016-01-27,
Allarme Sociale,Altro,7,S. GIULIA/(PIAZZA),,2016-02-03,18.45
Allarme Sociale,Altro,4,PIANEZZA/(VIA),,2016-02-04,
Allarme Sociale,Altro,6,BARBANIA/(VIA),,2016-02-09,
Allarme Sociale,Altro,2,SIRACUSA/(CORSO),,2016-02-11,
Allarme Sociale,Altro,1,MATTEOTTI/GIACOMO (CORSO),,2016-02-16,
Allarme Sociale,Altro,4,TASSONI/ALESSANDRO (CORSO),,2016-02-17,
Allarme Sociale,Altro,10,TONALE/(VIA),,2016-02-17,9.52
Allarme Sociale,Altro,2,OGLIARO/ALFONSO (VIA),,2016-02-22,18.52
Allarme Sociale,Altro,,,,2016-03-02,
Allarme Sociale,Altro,8,S. ANSELMO/(VIA),,2016-03-03,
Allarme Sociale,Altro,,,,2016-03-07,
Allarme Sociale,Altro,1,FERRARIS/GALILEO (CORSO),,2016-03-07,
Allarme Sociale,Altro,1,MILLE/(VIA DEI),,2016-03-08,9.07
Allarme Sociale,Altro,8,NIZZA/(VIA),,2016-03-10,8.56
Allarme Sociale,Altro,4,FRANCIA/(CORSO),,2016-03-17,
Allarme Sociale,Altro,4,MACERATA/(VIA),Area Verde,2016-03-22,
Allarme Sociale,Altro,5,OGLIANICO/(VIA),,2016-03-23,
Allarme Sociale,Altro,7,NAPOLI/(LUNGO DORA),,2016-03-23,
Allarme Sociale,Altro,7,S. SIMONE/(VIA),,2016-03-29,
Allarme Sociale,Altro,1,REGINA MARGHERITA/(CORSO),,2016-04-12,
Allarme Sociale,Altro,7,NAPOLI/(LUNGO DORA),,2016-04-13,
Allarme Sociale,Altro,3,OSASCO/(VIA),,2016-04-20,
Allarme Sociale,Altro,4,ZUMAGLIA/(VIA),Area Verde,2016-04-20,
Allarme Sociale,Altro,3,ROCCAFORTE/(VIA),,2016-04-21,
Allarme Sociale,Altro,4,PIANEZZA/(VIA),Area Verde,2016-05-02,10.0
Allarme Sociale,Altro,,,Area Verde,2016-05-03,
Allarme Sociale,Altro,7,NAPOLI/(LUNGO DORA),,2016-05-05,
Allarme Sociale,Altro,3,FREJUS/(VIA),,2016-05-16,
Allarme Sociale,Altro,5,PARIS/ANDREA (VIA),,2016-05-16,
Allarme Sociale,Altro,6,VIGEVANO/(CORSO),,2016-05-16,
Allarme Sociale,Altro,6,BARBERINA/(STRADA DELLA),,2016-05-27,
Allarme Sociale,Altro,8,MADAMA CRISTINA/(PIAZZA),,2016-05-30,
Allarme Sociale,Altro,6,SANTHIA'/(VIA),,2016-06-06,
Allarme Sociale,Altro,6,MONTANARO/(VIA),Area Verde,2016-06-08,
Allarme Sociale,Altro,7,REGIO PARCO/(CORSO),Area Verde,2016-06-20,10.22
Allarme Sociale,Altro,4,FRANCIA/(CORSO),,2016-06-23,
Allarme Sociale,Altro,7,VERCELLI/(CORSO),,2016-06-30,
Allarme Sociale,Atti di vandalismo,7,CECCHI/ANTONIO (VIA),,2016-02-05,12.51
Allarme Sociale,Atti di vandalismo,4,SVIZZERA/(CORSO),,2016-03-07,
