POSIZIONE;AUTORE;TITOLO;ANNO_PUBBLICAZIONE;COPIE_TOT;COPIE_PRESTITO
1;Geda, Fabio;Nel mare ci sono i coccodrilli: storia vera di Enaiatollah Akbari;2010;32;13
2;Gramellini, Massimo;Fai bei sogni: romanzo;2012;33;10
3;Uhlman, Fred;L'amico ritrovato: romanzo;1988;44;10
4;Hosseini, Khaled;Il cacciatore di aquiloni;2004;29;9
5;Hosseini, Khaled; Mille splendidi soli;2007;28;8
6;Sánchez, Clara;Il profumo delle foglie di limone;2011;17;4
7;Barbery, Muriel;L'eleganza del riccio;2007;29;6
8;Mazzantini, Margaret;Nessuno si salva da solo;2011;22;3
9;Haddon, Mark;Lo strano caso del cane ucciso a mezzanotte;2003;7;2
10;Carofiglio, Gianrico;Il silenzio dell'onda;2011;18;8
