ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;geometry;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Castello;1;80244;1319;POLYGON ((7.685883471378178 45.07009684726228, 7.685872388244563 45.0700810388082, 7.686112525393093 45.06999582977489, 7.686496100738467 45.0698614834231, 7.686648549301987 45.06980665303009, 7.686764199809451 45.06997071529718, 7.686787255192028 45.06999902965286, 7.686870280188113 45.07011670907201, 7.686874347057384 45.07011773703167, 7.686899911395726 45.07011083877029, 7.686958509543213 45.07018521827466, 7.686919246701136 45.07019528175646, 7.686856446316342 45.07019545839311, 7.68680102895471 45.07018241665117, 7.686654350289898 45.07012454097541, 7.686630119424259 45.07009042500983, 7.686549918109184 45.07007462255473, 7.686313814312482 45.07004925766422, 7.686260137939975 45.07007000987903, 7.686149379989928 45.07006055271702, 7.686071862212886 45.07006900424685, 7.685900197545481 45.07012070465267, 7.685883471378178 45.07009684726228));1;Centro;Centro - Crocetta
2;Castello;1;80244;3792;POLYGON ((7.686184474829792 45.07163144701536, 7.685966415049673 45.07132740906971, 7.686255931335562 45.07122408970999, 7.686287092308953 45.07121690492939, 7.686317536027578 45.07122217016551, 7.686338005577833 45.07121366511931, 7.68634853036495 45.07119454071082, 7.68634209920601 45.07117749860127, 7.686374938785178 45.07116912689226, 7.686438794719924 45.07111331332295, 7.686442099117726 45.07110714921023, 7.686484338317251 45.0711054658296, 7.686635536644533 45.07104768654298, 7.686873633949925 45.07097623397587, 7.686894966400748 45.07099659803562, 7.6869434656774 45.07103384660166, 7.686998919252242 45.07106586416086, 7.687060198754647 45.0710919986088, 7.687126084019538 45.07111172280983, 7.687170627962256 45.07112089466203, 7.68722593926534 45.07112751682863, 7.687281621795712 45.07113235190945, 7.687337561247902 45.07113539858965, 7.68739363082241 45.07113664640922, 7.687437300755185 45.07113849877063, 7.687476129100088 45.07115540021308, 7.687490718701094 45.07117030736349, 7.686185590320257 45.0716332151742, 7.686184474829792 45.07163144701536));1;Centro;Centro - Crocetta
6;Roma;1;81357;1466;POLYGON ((7.682988808408231 45.06841175287079, 7.683153808614842 45.06835060980266, 7.683727690094044 45.06915278712572, 7.683562440259202 45.06921406301285, 7.682988808408231 45.06841175287079));1;Centro;Centro - Crocetta
7;Roma;1;81357;2730;POLYGON ((7.684532383534671 45.07052532574848, 7.684512368564491 45.07053142349729, 7.684193677070884 45.07007704322751, 7.68414238851696 45.07001346490676, 7.68405806051326 45.07004291551687, 7.683718971656279 45.07013142333231, 7.683648886027575 45.07003292712387, 7.684001287921757 45.06994624005561, 7.684074493176957 45.06992086401337, 7.683615474937283 45.06928329416527, 7.683604464305019 45.06927049963156, 7.683616459345645 45.06927063794974, 7.683776718079454 45.06921301083489, 7.684681015530873 45.07047251065396, 7.684532383534671 45.07052532574848));1;Centro;Centro - Crocetta
11;garibaldi;1;2526;571;POLYGON ((7.683193770220869 45.07097105913917, 7.683553414957904 45.07085489103225, 7.68355309835001 45.07085152976677, 7.68356618105374 45.07085215772018, 7.683576379618223 45.07084782851241, 7.683588329959506 45.07083747039729, 7.683593856920337 45.07082636308684, 7.683589005187911 45.07081194051021, 7.683580331289274 45.07080298286612, 7.683568809142427 45.07079690891017, 7.68355993353308 45.07079673454629, 7.683559821478231 45.07079276352763, 7.683941888409347 45.07082475882659, 7.683498345454269 45.07097604825617, 7.68325547264854 45.07105888879556, 7.683252607720895 45.07106692122602, 7.683193770220869 45.07097105913917));1;Centro;Centro - Crocetta
17;san giovanni;1;141;1962;POLYGON ((7.684305202578905 45.07346081172805, 7.684283025336209 45.07342467557853, 7.684279933252879 45.07340718575442, 7.684416883741986 45.073377186317, 7.684617411498875 45.07331144463897, 7.684984400673559 45.07388564770631, 7.684998012032203 45.0739064542663, 7.684983492326205 45.07391084184243, 7.684566204656953 45.07405251797216, 7.684513503882038 45.07397356039777, 7.68453060218721 45.07396752828973, 7.684511078498878 45.07393974928441, 7.684574033178537 45.07392397470676, 7.684651551763106 45.07389413630563, 7.684374126801675 45.073455034872, 7.684305202578905 45.07346081172805));1;Centro;Centro - Crocetta
23;san carlo;1;2005 11007;13550;POLYGON ((7.68204080922008 45.06706885214077, 7.681831777309796 45.06677880884412, 7.68182296732194 45.06678188469963, 7.681776738923483 45.06672075176248, 7.681769293294874 45.06672304763434, 7.681764101922774 45.06671459273336, 7.681540009686425 45.06679476009009, 7.681468608915434 45.06669678651254, 7.681463252668558 45.06668611169798, 7.681463909690617 45.0666674858638, 7.681480267117887 45.06664940143568, 7.681488589218561 45.06664544681108, 7.681985335610895 45.06646282348531, 7.682005015423279 45.06645823481259, 7.682026274133302 45.06645845324493, 7.682068466784912 45.06647467524925, 7.682157160603777 45.06659377385924, 7.682131909102133 45.06659318529805, 7.681923117978537 45.06665626180231, 7.681929739839267 45.06666548393861, 7.681920351797032 45.06666884118041, 7.68199362476651 45.06677744596723, 7.681986053332968 45.06678026458187, 7.682166257154327 45.06702335959053, 7.682192085206506 45.0670306311882, 7.682230161337943 45.06702149296293, 7.682296864996744 45.06699594209553, 7.682330319503565 45.06697731675782, 7.682343410977571 45.06695762822195, 7.68238697292342 45.06694358435101, 7.682396277612852 45.0669564930256, 7.68257926748944 45.06695994598416, 7.683454153470315 45.06815065906092, 7.683450279398225 45.06815226226515, 7.683464134081313 45.06816907452055, 7.683472856857842 45.06818141736196, 7.682601395302722 45.06848894273356, 7.682581275003193 45.06846066982912, 7.682578335858449 45.06846172657067, 7.681685074173225 45.06720955943545, 7.681812588404727 45.06714764604694, 7.681826596579459 45.06714776279071, 7.681863491869509 45.06715076328419, 7.681904456678388 45.0671402992725, 7.681981415994849 45.06711123933756, 7.682017410700746 45.06709263441825, 7.68204080922008 45.06706885214077));1;Centro;Centro - Crocetta
24;porte palatine;1;3090;3266;POLYGON ((7.684189141313697 45.07418012756321, 7.684602764900652 45.07481040040807, 7.684753280406281 45.07475631545678, 7.684889754180892 45.0749559508374, 7.684902146919555 45.07495180882064, 7.684969412595504 45.07506213366968, 7.684532097494372 45.07520810676814, 7.684331798008385 45.07490003141785, 7.68420576742272 45.07494131769542, 7.684025053554845 45.07465439599051, 7.684226564404057 45.07458976454596, 7.684079005964481 45.07437063805403, 7.684113981593621 45.07435619751081, 7.68402391630182 45.07424413674397, 7.684189141313697 45.07418012756321));1;Centro;Centro - Crocetta
25;cavallerizza reale;1;3239;3999;POLYGON ((7.689629631487223 45.06952948040194, 7.689754932688366 45.06948119349853, 7.689986369565585 45.06978744818788, 7.690102890283833 45.06974262479746, 7.69033301072024 45.07006548070823, 7.690344179871729 45.07006478969448, 7.691080370079655 45.0694704286881, 7.691171918925507 45.06960069701038, 7.690557958452033 45.0700916004843, 7.69063065927755 45.07019334284738, 7.691172487375247 45.06975884449746, 7.691228106181955 45.06979424652321, 7.690801919203778 45.07013735442057, 7.690813178919112 45.07014437881219, 7.690746869463751 45.07019716914979, 7.690585060493477 45.07025538128531, 7.690577133082392 45.0702481790542, 7.690471924471248 45.07010085748228, 7.690009959209781 45.07026990862845, 7.690008260200903 45.07026757727115, 7.68963759595005 45.07040085039045, 7.689543751291139 45.07027497430985, 7.689558471685898 45.07024397058118, 7.689900105333174 45.07011916817078, 7.68998577988535 45.07023689459726, 7.690092446847189 45.07019474568644, 7.690007951330933 45.07007708984766, 7.690015380078459 45.07007442407274, 7.689996632693439 45.07004819069469, 7.689985937857507 45.0700520286927, 7.689878496391602 45.06990028406074, 7.689886382051037 45.06989752271832, 7.689864293761304 45.0698713378734, 7.689629631487223 45.06952948040194));1;Centro;Centro - Crocetta
29;duomo;1;;4337;POLYGON ((7.685640331643487 45.07284810183204, 7.685531180133371 45.07289411269903, 7.685539017453823 45.0729102168662, 7.685488022599317 45.07292747093958, 7.685562984457421 45.07304006249382, 7.685437655979472 45.0730801799622, 7.685423086941397 45.07305848026263, 7.685457833789734 45.07304676416814, 7.685448943190949 45.07303282626494, 7.685468441805458 45.07302625455185, 7.685429741025769 45.072965542899, 7.685410242427787 45.07297211460577, 7.685401352058224 45.07295816769967, 7.685315304658491 45.07298717025942, 7.685324194804884 45.07300112617121, 7.685304670575706 45.07300770656637, 7.685343397063155 45.07306840055393, 7.685362895701543 45.07306182885917, 7.685371786077176 45.07307577576806, 7.685398492660338 45.07306677561387, 7.685412675200766 45.07308815580833, 7.685385262750223 45.07309691379448, 7.685345934096412 45.07310954928004, 7.68537683566349 45.07316246573883, 7.68538170097237 45.07317078527566, 7.68539803246923 45.07319872541176, 7.685075447605662 45.07330543335702, 7.685046222963117 45.07331509755709, 7.685206514361424 45.07356014119164, 7.685457504610225 45.07347987446222, 7.68550080821033 45.07354818247772, 7.685661200734367 45.07349697355305, 7.685617982787239 45.07342880160866, 7.685653328924396 45.07341755143923, 7.685794360542342 45.07364003041923, 7.685703339298731 45.07367205457043, 7.685705885984008 45.0736756755458, 7.685631955697137 45.07369975892005, 7.685366915112956 45.07378607536257, 7.685105647681453 45.07387124643151, 7.685104112905262 45.0738772328494, 7.685105365655353 45.073882432225, 7.685032057410814 45.0738699667036, 7.684950151416387 45.07367576694276, 7.684695438999791 45.0732854107626, 7.684644256590567 45.07320563357983, 7.684627630971236 45.07318056147128, 7.684660243236715 45.07316720973012, 7.684663931331614 45.07316703618511, 7.685001069957354 45.07304281781858, 7.685003587035063 45.07304551129963, 7.685153666668771 45.07298473256225, 7.685152407549301 45.07298202656842, 7.685410948403534 45.07288040498305, 7.685418511676045 45.07285694377629, 7.685587515606666 45.07278800185559, 7.685640331643487 45.07284810183204));1;Centro;Centro - Crocetta
