ID_BIBLIOT;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ORARIO;ACC_DISAB;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Biblioteca Civica centrale;VIA DELLA CITTADELLA 5;TORINO;10122;1;01101129803/05/14;1101129830.0;biblioteche.civiche@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/civica_centrale.shtml;"lunedi' 15.00-19.55; dal martedi' al venerdi' 8.15-19.55; sabato 10.30-18.00";accessibile ai portatori di handicap;POINT (7.673703094404674 45.07472753163231);45.074727531632305;7.673703094404674;1;Centro;Centro - Crocetta
18;Biblioteca civica Torino Centro;PIAZZETTA UNIVERSITA' DEI MASTRI MINUSIERI 2;TORINO;10122;1;01101131891/31890;;biblioteca.tocentro@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/torino_centro.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.00-19.45; da giovedi' a sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.678926935606627 45.07235412844916);45.072354128449156;7.678926935606627;1;Centro;Centro - Crocetta
20;Biblioteca Nazionale Universitaria di Torino;PIAZZA CARLO ALBERTO 3;TORINO;10123;1;0118101111;118121021.0;bu-to@beniculturali.it;http://www.bnto.librari.beniculturali.it/;lunedi' al venerdi' 8.00-19.00 sabato 8:00-14.00;accessibile ai portatori di handicap;POINT (7.686824960986338 45.06848615105712);45.06848615105712;7.686824960986338;1;Centro;Centro - Crocetta
2;Biblioteca civica Musicale A. Della Corte;CORSO FRANCIA 186;TORINO;10145;4;0114438350-51-60-61;;bibliotecamusicale.dellacorte@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/musicale.shtml;" lunedi', martedi' e giovedi': dalle 9.15 alle 18.45; mercoledi' e venerdi': dalle 9.15 alle 16.45";accessibile ai portatori di handicap;POINT (7.638254394511561 45.07561537493076);45.07561537493076;7.638254394511561;14;Parella;San Donato - Campidoglio - Parella
4;Biblioteca civica Dietrich Bonhoeffer;CORSO CORSICA 55;TORINO;10135;8;01101135990/92/94;114435993.0;biblioteca.bonhoeffer@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/bonhoeffer.shtml;lunedi' 15.00-19.55 dal martedi' al venerdi' 8.15-19.55 sabato 10.30-18.00;accessibile ai portatori di handicap;POINT (7.650280884476747 45.02807122946569);45.02807122946569;7.650280884476747;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
5;Biblioteca civica Italo Calvino;LUNGO DORA AGRIGENTO 94;TORINO;10144;7;0114420740/41;114420777.0;biblioteca.calvino@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/calvino.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.00-19.45; da giovedi' a sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.677929133362694 45.08628205852105);45.08628205852105;7.677929133362694;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
6;Biblioteca civica Luigi Carluccio;VIA MONTE ORTIGARA 95;TORINO;10141;3;01101128790;;biblioteca.carluccio@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/carluccio.shtml;lunedi' 15.00-19.55 dal martedi' al venerdi' 8.15-19.55 sabato 10.30-18.00;accessibile ai portatori di handicap;POINT (7.626606114977244 45.06857731340538);45.068577313405385;7.6266061149772435;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
7;Biblioteca civica Cascina Marchesa;CORSO VERCELLI 141 int. 7;TORINO;10155;6;01101129230;1101129210.0;biblioteca.marchesa@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/marchesa.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.00-19.45; dal giovedi' al sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.69128100381109 45.09780255378664);45.097802553786636;7.69128100381109;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
12;Biblioteca civica Primo Levi;VIA RUGGERO LEONCAVALLO 17;TORINO;10154;6;01101131262;114431277.0;biblioteca.levi@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/levi.shtml;"lunedi' 15.00-19.30; da martedi' a venerdi' 8.15-19.30; sabato 10.30-18.00";accessibile ai portatori di handicap;POINT (7.697720294028666 45.08561878194637);45.08561878194637;7.697720294028666;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
8;Biblioteca civica Francesco Cognasso;CORSO L. QUINZIO CINCINNATO 115;TORINO;10151;5;01101138526;1101138534.0;biblioteca.cognasso@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/cognasso.shtml;lunedi' 15.00-19.55 dal martedi' al venerdi' 8.15-19.55 sabato 10.30-18.00;accessibile ai portatori di handicap;POINT (7.638835919770826 45.09756375066578);45.09756375066578;7.638835919770826;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
