ID_CARABIN;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;EMAIL2;URL;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Legione Carabinieri Piemonte E Valle D Aosta;VIA S. CROCE 4;TORINO;10123;1;116881.0;116881.0;;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.688252180867927 45.06592037252406);45.06592037252406;7.688252180867927;1;Centro;Centro - Crocetta
2;Comando Provinciale di Torino;VIA BEATO SEBASTIANO VALFRE' 5;TORINO;10121;1;116881.0;116881.0;provtocdo@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.67089559872511 45.07085035811037);45.07085035811037;7.67089559872511;1;Centro;Centro - Crocetta
13;Stazione CC - Torino Monviso;VIA BEATO SEBASTIANO VALFRE' 5;TORINO;10121;1;115629668.0;115613790.0;stto131120@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.67089559872511 45.07085035811037);45.07085035811037;7.67089559872511;1;Centro;Centro - Crocetta
15;Stazione CC - Torino Po Vanchiglia;VIA GIULIA DI BAROLO 6;TORINO;10124;1;116886000.0;116886034.0;stto131110@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.695486356755849 45.06645786102467);45.066457861024666;7.695486356755849;1;Centro;Centro - Crocetta
17;Compagnia CC - Torino San Carlo;VIA GIULIA DI BAROLO 6;TORINO;10124;1;116886000.0;116886000.0;cpto131100cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.695486356755849 45.06645786102467);45.066457861024666;7.695486356755849;1;Centro;Centro - Crocetta
23;Scuola - Allievi Carabinieri;VIA CERNAIA 23;TORINO;10121;1;1155191.0;;;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.672176857334994 45.07213406824602);45.07213406824602;7.6721768573349935;1;Centro;Centro - Crocetta
26;Nucleo Tpc - Tutela Patrimonio Culturale;VIA VENTI SETTEMBRE 88;TORINO;10122;1;;;tpctonu@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.685676561903323 45.07475585868801);45.074755858688015;7.685676561903323;1;Centro;Centro - Crocetta
29;Comando Carabinieri Tutela Ambiente - Nucleo Operativo Ecologico;VIA GIUSEPPE VERDI 9;TORINO;10124;1;118159390.0;;noetocdo@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.689693253380629 45.06950591521986);45.069505915219864;7.6896932533806295;1;Centro;Centro - Crocetta
3;Nucleo CC - Antisofisticazioni e Sanita' N.A.S.;CORSO BOLZANO 30;TORINO;10121;1;115623302.0;115623060.0;ccTOnasCDO@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.667225393874189 45.07155129319338);45.07155129319338;7.667225393874189;1;Centro;Centro - Crocetta
4;Stazione CC - Torino Borgo Campidoglio;CORSO APPIO CLAUDIO 80;TORINO;10146;4;11756767.0;11747472.0;stto131210@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.646458720498536 45.08534928448703);45.08534928448703;7.646458720498536;14;Parella;San Donato - Campidoglio - Parella
5;Stazione CC - Torino Borgo Lingotto;VIA SOMMARIVA 10;TORINO;10127;8;116963973.0;116631446.0;stto131230@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.665253173252334 45.02329199728987);45.023291997289874;7.665253173252334;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
6;Stazione CC - Torino Borgo Mirafiori;VIA PLAVA 79;TORINO;10135;2;113233300.0;116886125.0;stto131250@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.619764593078895 45.01849237471788);45.01849237471788;7.619764593078895;23;Mirafiori Sud;Santa Rita - Mirafiori
12;Compagnia CC - Torino Mirafiori;VIA PLAVA 79;TORINO;10135;2;113233300.0;113233300.0;cpto131200cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.619764593078895 45.01849237471788);45.01849237471788;7.619764593078895;23;Mirafiori Sud;Santa Rita - Mirafiori
7;Stazione CC - Torino Borgo San Salvario;VIA ODDINO MORGARI 29;TORINO;10125;8;11657429.0;116593399.0;stto131150@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.6820144924305 45.05348715402342);45.05348715402342;7.6820144924305;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
8;Stazione CC -  Torino Borgo San Secondo;CORSO MONTE LUNGO 51;TORINO;10134;2;113199680.0;113189659.0;stto131140@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.656066561109126 45.04852375764797);45.04852375764797;7.656066561109126;11;Santa Rita;Santa Rita - Mirafiori
9;Stazione CC - Torino Barriera Casale;STRADA AL TRAFORO DI PINO 15;TORINO;10132;7;118992846.0;118903399.0;stto131160@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.733616391882435 45.08094610516509);45.08094610516509;7.733616391882435;21;Madonna del Pilone;Aurora, Vanchiglia - Sassi - Madonna del Pilone
10;Stazione CC - Torino Barriera Piacenza;VIA DELLA BROCCA 9;TORINO;10133;8;116601140.0;116602712.0;stto131240@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.693230136968789 45.05631583616509);45.05631583616509;7.693230136968789;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
11;Stazione CC - Torino Borgo San Donato;CORSO UMBRIA 59;TORINO;10144;4;11484347.0;114303812.0;stto131130@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.665680541448237 45.08811284330839);45.088112843308394;7.6656805414482365;6;San Donato;San Donato - Campidoglio - Parella
14;Compagnia CC - Torino Oltre Dora;CORSO VERCELLI 455;TORINO;10156;6;112225000.0;112225000.0;cpto131800cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.707193508427832 45.11811287319758);45.11811287319758;7.707193508427832;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
19;Stazione CC - Torino Borgo Falchera;CORSO VERCELLI 455;TORINO;10156;6;112225000.0;116886225.0;stto131810@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;POINT (7.707193508427832 45.11811287319758);45.11811287319758;7.707193508427832;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
