ID_CHIESA;FK_TIPO_CH;TIPO_CHIES;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ZONA_VICAR;UNITA_PAST;PARROCCO;CONFESSION;ORARIO;COD_DIOCES;ABIT_PARRO;NOM_U_PAST;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;1;PARROCCHIALE;Ascensione del Signore;VIA PIETRO BONFANTE 3;TORINO;10137;2;011 3115422;;;http://www4.diocesi.torino.it/schede/parr002.htm;8.0;19.0;MONTICONE don Domenico;Chiesa Cattolica;;2.0;12280.0;Unita' Pastorale N.19 - Mirafiori Nord;POINT (7.625742370285245 45.04118807418743);45.04118807418743;7.625742370285245;12;Mirafiori Nord;Santa Rita - Mirafiori
13;1;PARROCCHIALE;Gesu' Redentore;PIAZZA GIOVANNI XXIII 26;TORINO;10137;2;011 3095026;011 3090728;parr.redentore@diocesi.torino.it;http://www.diocesi.torino.it/parr013;8.0;19.0;BERNARDI don Giovanni;Chiesa Cattolica;;13.0;14020.0;Unita' Pastorale N.19 - Mirafiori Nord;POINT (7.634994878514318 45.03487831778815);45.03487831778815;7.634994878514318;12;Mirafiori Nord;Santa Rita - Mirafiori
75;1;PARROCCHIALE;S. Ignazio di Loyola;VIA MONFALCONE 152;TORINO;10136;2;011 3290305;011 3585625;parr.s.ignazio@diocesi.torino.it;http://www.diocesi.torino.it/parr078;8.0;18.0;PASTRANO don Marco;Chiesa Cattolica;;78.0;6000.0;Unita' Pastorale N.18 - S.Ignazio;POINT (7.632489394872928 45.05339396800566);45.05339396800566;7.632489394872928;12;Mirafiori Nord;Santa Rita - Mirafiori
108;1;PARROCCHIALE;SS. Nome di Maria;VIA GUIDO RENI 96 int. 140;TORINO;10136;2;011 3090258;011 3090258;;http://www.parrocchie.it/torino/nomemaria/home.htm;8.0;18.0;RUGOLINO don Benito;Chiesa Cattolica;;107.0;10000.0;Unita' Pastorale N.18 - S.Ignazio;POINT (7.623705530036448 45.04761202940193);45.047612029401925;7.623705530036448;12;Mirafiori Nord;Santa Rita - Mirafiori
18;1;PARROCCHIALE;La Pentecoste;VIA FILADELFIA 237 int. 11;TORINO;10137;2;011 3114868;011 3114868;parr.pentecoste@diocesi.torino.it;http://www.diocesi.torino.it/parr018;8.0;19.0;MONTICONE don Domenico;Chiesa Cattolica;;18.0;9920.0;Unita' Pastorale N.19 - Mirafiori Nord;POINT (7.633044010740255 45.04529534516001);45.045295345160014;7.633044010740255;12;Mirafiori Nord;Santa Rita - Mirafiori
66;1;PARROCCHIALE;S. Giovanni Bosco;VIA PAOLO SARPI 117;TORINO;10135;2;011 612136;011 611432;"parrocchia@agnelli.it; oratorio@oratorioagnelli.it; cinema@agnelli.it";http://www.oratorioagnelli.it;8.0;19.0;RIGO don Giovanni S.D.B.;Chiesa Cattolica;;69.0;5480.0;Unita' Pastorale N.19 - Mirafiori Nord;POINT (7.643016756618087 45.03160500507617);45.031605005076166;7.643016756618087;12;Mirafiori Nord;Santa Rita - Mirafiori
4;1;PARROCCHIALE;Beata Vergine delle Grazie;VIA MARCO POLO 8;TORINO;10129;1;011 599233;011 593006;parr.crocetta@diocesi.torino.it;http://www.diocesi.torino.it/parr005;2.0;3.0;FIANDINO Mons. Guido;Chiesa Cattolica;;5.0;16000.0;Unita' Pastorale N.03 - Crocetta;POINT (7.66432351715659 45.05811889796211);45.05811889796211;7.66432351715659;3;Crocetta;Centro - Crocetta
93;1;PARROCCHIALE;S. Secondo Martire;VIA S. SECONDO 8;TORINO;10128;1;011 543191;011 5661813;sansecondo@davide.it;http://www.parrocchie.it/torino/sansecondo/Index.htm;2.0;3.0;FORADINI don Mario;Chiesa Cattolica;;96.0;7000.0;Unita' Pastorale N.03 - Crocetta;POINT (7.6754638299889 45.0623531513689);45.062353151368896;7.6754638299889;3;Crocetta;Centro - Crocetta
94;1;PARROCCHIALE;S. Teresa di Gesu' Bambino;VIA GIOVANNI DA VERAZZANO 48;TORINO;10129;1;011 596698;011 5805961;santateresina@yahoo.it;http://www4.diocesi.torino.it/schede/parr097.htm;2.0;3.0;MANA don Mario Sebastiano;Chiesa Cattolica;;97.0;14500.0;Unita' Pastorale N.03 - Crocetta;POINT (7.656168982099111 45.05678453992895);45.05678453992895;7.656168982099111;3;Crocetta;Centro - Crocetta
141;2;NON PARROCCHIALE;S. Anna;VIA ANDREA MASSENA 32;TORINO;10128;1;;;;;;;;Chiesa Cattolica;Fest. 8.30(esc. ago.);;;;POINT (7.672641723194732 45.06079378978681);45.06079378978681;7.672641723194732;3;Crocetta;Centro - Crocetta
