ID_CINEMA;DENOMINAZ;INDIRIZZO;URL;CITTA;CAP;CIRCOSCRIZ;TELEFONO;NUM_SALE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;AMBROSIO CINECAFE';CORSO VITTORIO EMANUELE II 52;;TORINO;10123;1;011/540068;3;POINT (7.681386790895645 45.06208084497558);45.06208084497558;7.681386790895645;1;Centro;Centro - Crocetta
3;NAZIONALE;VIA GIUSEPPE POMBA 7;;TORINO;10123;1;011/8124173;2;POINT (7.683356050080292 45.06257316406515);45.06257316406515;7.683356050080292;1;Centro;Centro - Crocetta
4;CENTRALE ARTHOUSE;VIA CARLO ALBERTO 27;;TORINO;10123;1;011/540110;1;POINT (7.684801713169974 45.06633492282958);45.06633492282958;7.684801713169974;1;Centro;Centro - Crocetta
5;GREENWICH VILLAGE;VIA PO 30;;TORINO;10123;1;011/8390123;3;POINT (7.691597196704897 45.0670803658904);45.0670803658904;7.691597196704897;1;Centro;Centro - Crocetta
6;ROMANO;GALLERIA SUBALPINA 3;;TORINO;10123;1;011/5620145;3;POINT (7.686673210234899 45.06961185300643);45.06961185300643;7.686673210234899;1;Centro;Centro - Crocetta
20;EMPIRE;PIAZZA VITTORIO VENETO 5;;TORINO;10124;1;011/19504083;1;POINT (7.694478549032199 45.06610714877891);45.06610714877891;7.694478549032199;1;Centro;Centro - Crocetta
27;IDEAL CITYPLEX;CORSO GIAMBATTISTA BECCARIA 4/A;http://www.idealcityplex.it/;TORINO;10122;1;011/5214316;5;POINT (7.670853489182463 45.07744324683612);45.07744324683612;7.670853489182463;1;Centro;Centro - Crocetta
28;KING KONG MICROPLEX;VIA PO 21;http://www.kingkongmicro.it;TORINO;10124;1;011/19780675;1;POINT (7.689428826199907 45.06884476020399);45.068844760203994;7.689428826199907;1;Centro;Centro - Crocetta
32;MASSIMO;VIA GIUSEPPE VERDI 18;http://www.museocinema.it;TORINO;10124;1;011/8125606;3;POINT (7.692521954668102 45.06827040254269);45.068270402542694;7.692521954668102;1;Centro;Centro - Crocetta
37;REPOSI MULTISALA;VIA VENTI SETTEMBRE 15;http://www.multisalareposi.it/;TORINO;10121;1;011/531400;5;POINT (7.67925288511671 45.06536104547649);45.06536104547649;7.67925288511671;1;Centro;Centro - Crocetta
45;LUX;GALLERIA S. FEDERICO 33;;TORINO;10121;1;011/5628907;3;POINT (7.682727072448658 45.06902973531122);45.06902973531122;7.682727072448658;1;Centro;Centro - Crocetta
51;ALFIERI;PIAZZA SOLFERINO 4;http://www.torinospettacoli.it;TORINO;10121;1;011/5623800;3;POINT (7.677188068372956 45.06980198448484);45.06980198448484;7.677188068372956;1;Centro;Centro - Crocetta
53;REPOSI MULTISALA (EX OLIMPIA);VIA ARSENALE 31;http://www.multisalareposi.it/;TORINO;10121;1;011/532448;2;POINT (7.678057890642855 45.06570449847398);45.065704498473984;7.678057890642855;1;Centro;Centro - Crocetta
8;AGNELLI;VIA PAOLO SARPI 111/A;http://www.teatroagnelli.it/cinema.htm;TORINO;10135;2;011/3161429;1;POINT (7.643311480140142 45.03201889583934);45.032018895839336;7.6433114801401425;12;Mirafiori Nord;Santa Rita - Mirafiori
