ID_FARMACI;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;CHIUS_INV;FERIE;ORARIO_INV;ORARIO_EST;NOTTURNA;COMUNALE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;AGGERI;CORSO COSENZA 39;2;10137;TORINO;011-3174848;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 4 al 24 luglio 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.640336954519059 45.03596576078226);45.03596576078226;7.640336954519059;12;Mirafiori Nord;Santa Rita - Mirafiori
70;COMUNALE 23;VIA GUIDO RENI 155;2;10137;TORINO;011-307573;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30/12,30-15,30/19,30;8,30/12,30-15,30/19,30;NO;comunale;POINT (7.629387104848613 45.04412726791193);45.044127267911925;7.629387104848613;12;Mirafiori Nord;Santa Rita - Mirafiori
76;COMUNALE 35;VIA CIMABUE 8;2;10137;TORINO;011-304027;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;comunale;POINT (7.618348401668227 45.04037452057321);45.04037452057321;7.618348401668227;12;Mirafiori Nord;Santa Rita - Mirafiori
89;CORSO SIRACUSA;CORSO SIRACUSA 98;2;10137;TORINO;011-3114888;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'11 al 31 luglio 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.633902032941297 45.04529841483536);45.04529841483536;7.633902032941297;12;Mirafiori Nord;Santa Rita - Mirafiori
119;EUROPA;CORSO ORBASSANO 302;2;10137;TORINO;011-3110112;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.626360213289446 45.03657386894668);45.036573868946675;7.626360213289446;12;Mirafiori Nord;Santa Rita - Mirafiori
166;MIRAFIORI s.n.c.;VIA SANREMO 37;2;10137;TORINO;011-3176888;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30/12,30-15,30/19,30;8,30/12,30-15,30/19,30;NO;non comunale;POINT (7.637614684178401 45.03442513286593);45.03442513286593;7.637614684178401;12;Mirafiori Nord;Santa Rita - Mirafiori
193;PITAGORA s.n.c.;PIAZZA PITAGORA 9;2;10137;TORINO;011-3093185;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.634458292722922 45.03909362480231);45.039093624802305;7.634458292722922;12;Mirafiori Nord;Santa Rita - Mirafiori
225;SAN GIORGIO;PIAZZA DANTE LIVIO BIANCO 10;2;10137;TORINO;011-3095197;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;9,00/13,00-15,30/19,30;9,00/13,00-15,30/19,30;NO;non comunale;POINT (7.635375908113549 45.03615319316409);45.03615319316409;7.6353759081135495;12;Mirafiori Nord;Santa Rita - Mirafiori
249;SANTA SILVIA s.n.c.;CORSO SEBASTOPOLI 298;2;10136;TORINO;011-322457;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;Mar/Ven 8,45-19,30 Sab Mat: 8,45/13,00 Lun Pom: 13,00/19,30;Mar/Ven 8,45-19,30 Sab Mat: 8,45/13,00 Lun Pom: 13,00/19,30;NO;non comunale;POINT (7.632350161924479 45.04979820074837);45.04979820074837;7.632350161924479;12;Mirafiori Nord;Santa Rita - Mirafiori
259;SANTI COSMA E DAMIANO;PIAZZA OMERO 16;2;10137;TORINO;011-3112577;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.629042403137888 45.03842062911934);45.03842062911934;7.629042403137888;12;Mirafiori Nord;Santa Rita - Mirafiori
2;ALCHEMICA 1961;CORSO FILIPPO TURATI 74;1;10134;TORINO;011-3181345;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dal 1° al 28 agosto 2011;9,00/13,30-15,30/19,30;9,00/13,30-15,30/19,30;NO;non comunale;POINT (7.66333645135493 45.04811311926064);45.04811311926064;7.6633364513549305;11;Santa Rita;Centro - Crocetta
5;ALTHEA;VIA GORIZIA 133;2;10137;TORINO;011-352084;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.640246854154024 45.04233818459743);45.04233818459743;7.640246854154024;11;Santa Rita;Santa Rita - Mirafiori
6;AMICI s.n.c.;VIA S. MARINO 37;2;10134;TORINO;011-3177227;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,30/12,30-15,00/19,00;8,30/12,30-15,00/19,00;NO;non comunale;POINT (7.646035829111391 45.03717553126243);45.03717553126243;7.646035829111391;11;Santa Rita;Santa Rita - Mirafiori
16;BEATO ANGELICO;VIA S. MARINO 69;2;10137;TORINO;011-362562;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dal 4 al 24 luglio 2011;"Mar/Ven 8,00-19,30 Sab Mat: 8;00/12,30 Lun Pom: 12,30/19,30";"Mar/Ven 8,00-19,30 Sab Mat: 8;00/12,30 Lun Pom: 12,30/19,30";NO;non comunale;POINT (7.642453452509052 45.0386051686369);45.0386051686369;7.642453452509052;11;Santa Rita;Santa Rita - Mirafiori
53;COMUNALE 01;CORSO ORBASSANO 249;2;10137;TORINO;011-390045;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;comunale;POINT (7.636427007321934 45.0410362465397);45.041036246539704;7.636427007321934;11;Santa Rita;Santa Rita - Mirafiori
59;COMUNALE 09;CORSO SEBASTOPOLI 272;2;10136;TORINO;011-351483;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;comunale;POINT (7.635751577187627 45.04862603208221);45.04862603208221;7.6357515771876265;11;Santa Rita;Santa Rita - Mirafiori
77;COMUNALE 36;VIA FILADELFIA 142;2;10137;TORINO;011-321619;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;8,45/12,30-15,15/19,30;8,30/12,30-15,30/19,30;NO;comunale;POINT (7.643189686519298 45.04282535431896);45.04282535431896;7.643189686519298;11;Santa Rita;Santa Rita - Mirafiori
78;COMUNALE 37;CORSO GIOVANNI AGNELLI 56;2;10137;TORINO;011-3247458;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,45/12,30-15,00/19,15;8,45/12,30-15,15/19,30;NO;comunale;POINT (7.646311823984091 45.03989787459209);45.03989787459209;7.6463118239840915;11;Santa Rita;Santa Rita - Mirafiori
113;DELL'ORSO;VIA BUENOS AIRES 77;2;10137;TORINO;011-393735;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'8 al 28 agosto 2011;8,45/12,45-15,00/19,30;8,45/12,45-15,00/19,30;NO;non comunale;POINT (7.640416034942433 45.03748077931624);45.03748077931624;7.640416034942433;11;Santa Rita;Santa Rita - Mirafiori
131;GIACCONE;VIA BARLETTA 93;2;10136;TORINO;011-350193;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'8 al 28 agosto 2011;8,45/12,30-15,00/19,30;8,45/12,30-15,00/19,30;NO;non comunale;POINT (7.639514779594555 45.04900056614595);45.04900056614595;7.639514779594555;11;Santa Rita;Santa Rita - Mirafiori
153;MADONNA DELL'AIUTO;VIA TRIPOLI 15;2;10136;TORINO;011-320535;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/13,00-15,30/19,30;9,00/13,00-15,30/19,30;NO;non comunale;POINT (7.649560927469906 45.05094306840325);45.05094306840325;7.649560927469906;11;Santa Rita;Santa Rita - Mirafiori
164;MINATI;CORSO SEBASTOPOLI 202;2;10136;TORINO;011-350010;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30-19,30;8,30-19,30;NO;non comunale;POINT (7.642696776289822 45.04623501381023);45.04623501381023;7.642696776289822;11;Santa Rita;Santa Rita - Mirafiori
167;MODERNA;VIA TRIPOLI 58;2;10136;TORINO;011-396633;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;8,30/12,30-15,00/19,30;8,30/12,30-15,00/19,30;NO;non comunale;POINT (7.647592268741131 45.04832953875824);45.04832953875824;7.647592268741131;11;Santa Rita;Santa Rita - Mirafiori
209;ROAGNA s.n.c.;CORSO GIOVANNI AGNELLI 117;2;10134;TORINO;011-3175151;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;8,30/12,30-15,00/19,00;8,30/12,30-15,00/19,30;NO;non comunale;POINT (7.643650976636406 45.03504709725251);45.03504709725251;7.6436509766364065;11;Santa Rita;Santa Rita - Mirafiori
212;ROGNONE;CORSO ORBASSANO 216;2;10137;TORINO;011-3294411;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.63702501288004 45.04175560180441);45.04175560180441;7.63702501288004;11;Santa Rita;Santa Rita - Mirafiori
230;SAN PIETRO;CORSO SIRACUSA 87;2;10137;TORINO;011-360994;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011;9,00/13,00-15,00/19,30;9,00/13,00-15,00/19,30;NO;non comunale;POINT (7.634714926531665 45.04693108038244);45.046931080382436;7.634714926531665;11;Santa Rita;Santa Rita - Mirafiori
246;SANTA RITA s.n.c.;CORSO SEBASTOPOLI 143;2;10137;TORINO;011-393083;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;8,30/12,30-15,00/19,00;8,30/12,30-15,30/19,30;NO;non comunale;POINT (7.648781488977853 45.04373467761742);45.04373467761742;7.648781488977853;11;Santa Rita;Santa Rita - Mirafiori
3;ALGOSTINO DEMICHELIS;PIAZZA VITTORIO VENETO 10;1;10123;TORINO;011-8178007;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.693972559916694 45.06503518708551);45.06503518708551;7.693972559916694;1;Centro;Centro - Crocetta
4;ALMASIO s.n.c.;PIAZZA STATUTO 3;1;10122;TORINO;011-544257;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.671982581066358 45.07540843341073);45.07540843341073;7.671982581066358;1;Centro;Centro - Crocetta
8;ANTICA FARMACIA BOSIO;VIA GIUSEPPE GARIBALDI 26;1;10122;TORINO;011-4369636;;;http://www.farmapiemonte.org/trovafarmacie.lasso;Lunedi;dall'8 al 28 agosto 2011;9,00-19,00;9,00-19,30;NO;non comunale;POINT (7.677401606937657 45.0739839858044);45.073983985804404;7.677401606937657;1;Centro;Centro - Crocetta
18;BERTA;VIA PO 51;1;10124;TORINO;011-884484;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30-19,30;8,30-19,30;NO;non comunale;POINT (7.692865730631447 45.06659845673507);45.06659845673507;7.692865730631447;1;Centro;Centro - Crocetta
22;BONISCONTRO;CORSO VITTORIO EMANUELE II 66;1;10121;TORINO;011-541271;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;SI;non comunale;POINT (7.676215081642125 45.06399644063612);45.063996440636124;7.676215081642125;1;Centro;Centro - Crocetta
39;CARLO FELICE;PIAZZA CARLO FELICE 63;1;10123;TORINO;011-547626;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 4 al 24 luglio e dal 29 mggio al 5 giugno 2011;8,30-19,30;8,30-19,30;NO;non comunale;POINT (7.680103504475813 45.06318339081417);45.06318339081417;7.680103504475813;1;Centro;Centro - Crocetta
46;CENTRALE;VIA ROMA 24;1;10121;TORINO;011-5628018;;;http://www.farmapiemonte.org/trovafarmacie.lasso;Lunedi;dall'11 al 31 luglio 2011;9,00-19,30;9,00-19,30;NO;non comunale;POINT (7.684156451585121 45.07015110041813);45.07015110041813;7.684156451585121;1;Centro;Centro - Crocetta
52;COLLEGIATA SANTA MARIA s.n.c.;VIA S. FRANCESCO D'ASSISI 14;1;10122;TORINO;011-534057;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011;8,45-19,15;8,45-19,15;NO;non comunale;POINT (7.679753007374931 45.07120314106479);45.071203141064785;7.679753007374931;1;Centro;Centro - Crocetta
82;COMUNALE 42;VIA VENTI SETTEMBRE 5;1;10121;TORINO;011-543287;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;9,00-19,30;9,00-19,30;NO;comunale;POINT (7.678535366044681 45.06436257772105);45.06436257772105;7.678535366044681;1;Centro;Centro - Crocetta
83;COMUNALE 43;PIAZZA STATUTO 4;1;10122;TORINO;011-5214581;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;9,00-19,00;9,00-19,30;NO;comunale;POINT (7.672485998543464 45.07605363010594);45.07605363010594;7.672485998543464;1;Centro;Centro - Crocetta
94;DEGLI STEMMI;VIA PO 31;1;10124;TORINO;011-8173027;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;9,00-19,30;9,00-19,30;NO;non comunale;POINT (7.690748984031355 45.06799828837111);45.067998288371115;7.690748984031355;1;Centro;Centro - Crocetta
102;DEL MONUMENTO;LARGO VITTORIO EMANUELE II 84;1;10121;TORINO;011-5629183;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,3-18,30;8,30-18,30;NO;non comunale;POINT (7.670935521724053 45.06624263483035);45.06624263483035;7.670935521724053;1;Centro;Centro - Crocetta
103;DELLA CONSOLATA;VIA DELLE ORFANE 25;1;10122;TORINO;011-4362233;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;8,30-19,30;8,30-19,30;NO;non comunale;POINT (7.680208575274681 45.07689565556382);45.07689565556382;7.680208575274681;1;Centro;Centro - Crocetta
105;DELLA ROCCA;VIA DEI MILLE 48;1;10123;TORINO;011-887386;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;8,45/14,00-15,00/19,30;8,45/14,00-15,00/19,30;NO;non comunale;POINT (7.690667685106824 45.06133174630396);45.06133174630396;7.690667685106824;1;Centro;Centro - Crocetta
114;DELL'UNIVERSITA' GIORDA;VIA PO 14;1;10123;TORINO;011-8125907;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011;8,30-19,30;8,30-19,30;NO;non comunale;POINT (7.688888016917057 45.068863511841);45.068863511841;7.6888880169170575;1;Centro;Centro - Crocetta
120;EUROPEA;VIA GIUSEPPE MAZZINI 31;1;10123;TORINO;011-8126935;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011;9,00-19,30;9,00-19,30;NO;non comunale;POINT (7.688227715321723 45.06146402764207);45.061464027642074;7.688227715321723;1;Centro;Centro - Crocetta
121;FERRERO;VIA DEL CARMINE 1;1;10122;TORINO;011-4369595;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;8,45/13,00-14,45/19,30;8,45/13,00-14,45/19,30;NO;non comunale;POINT (7.676752266779349 45.07515161624977);45.07515161624977;7.676752266779349;1;Centro;Centro - Crocetta
