ID_FARMACI;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;CHIUS_INV;FERIE;ORARIO_INV;ORARIO_EST;NOTTURNA;COMUNALE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;AGGERI;CORSO COSENZA 39;2;10137;TORINO;011-3174848;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 4 al 24 luglio 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.640336954519059 45.03596576078226);45.03596576078226;7.640336954519059;12;Mirafiori Nord;Santa Rita - Mirafiori
70;COMUNALE 23;VIA GUIDO RENI 155;2;10137;TORINO;011-307573;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30/12,30-15,30/19,30;8,30/12,30-15,30/19,30;NO;comunale;POINT (7.629387104848613 45.04412726791193);45.044127267911925;7.629387104848613;12;Mirafiori Nord;Santa Rita - Mirafiori
76;COMUNALE 35;VIA CIMABUE 8;2;10137;TORINO;011-304027;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;comunale;POINT (7.618348401668227 45.04037452057321);45.04037452057321;7.618348401668227;12;Mirafiori Nord;Santa Rita - Mirafiori
89;CORSO SIRACUSA;CORSO SIRACUSA 98;2;10137;TORINO;011-3114888;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'11 al 31 luglio 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.633902032941297 45.04529841483536);45.04529841483536;7.633902032941297;12;Mirafiori Nord;Santa Rita - Mirafiori
119;EUROPA;CORSO ORBASSANO 302;2;10137;TORINO;011-3110112;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.626360213289446 45.03657386894668);45.036573868946675;7.626360213289446;12;Mirafiori Nord;Santa Rita - Mirafiori
166;MIRAFIORI s.n.c.;VIA SANREMO 37;2;10137;TORINO;011-3176888;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dal 1° al 28 agosto 2011;8,30/12,30-15,30/19,30;8,30/12,30-15,30/19,30;NO;non comunale;POINT (7.637614684178401 45.03442513286593);45.03442513286593;7.637614684178401;12;Mirafiori Nord;Santa Rita - Mirafiori
193;PITAGORA s.n.c.;PIAZZA PITAGORA 9;2;10137;TORINO;011-3093185;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.634458292722922 45.03909362480231);45.039093624802305;7.634458292722922;12;Mirafiori Nord;Santa Rita - Mirafiori
225;SAN GIORGIO;PIAZZA DANTE LIVIO BIANCO 10;2;10137;TORINO;011-3095197;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011;9,00/13,00-15,30/19,30;9,00/13,00-15,30/19,30;NO;non comunale;POINT (7.635375908113549 45.03615319316409);45.03615319316409;7.6353759081135495;12;Mirafiori Nord;Santa Rita - Mirafiori
249;SANTA SILVIA s.n.c.;CORSO SEBASTOPOLI 298;2;10136;TORINO;011-322457;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;Mar/Ven 8,45-19,30 Sab Mat: 8,45/13,00 Lun Pom: 13,00/19,30;Mar/Ven 8,45-19,30 Sab Mat: 8,45/13,00 Lun Pom: 13,00/19,30;NO;non comunale;POINT (7.632350161924479 45.04979820074837);45.04979820074837;7.632350161924479;12;Mirafiori Nord;Santa Rita - Mirafiori
259;SANTI COSMA E DAMIANO;PIAZZA OMERO 16;2;10137;TORINO;011-3112577;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,30/13,00-15,00/19,30;8,30/13,00-15,00/19,30;NO;non comunale;POINT (7.629042403137888 45.03842062911934);45.03842062911934;7.629042403137888;12;Mirafiori Nord;Santa Rita - Mirafiori
2;ALCHEMICA 1961;CORSO FILIPPO TURATI 74;1;10134;TORINO;011-3181345;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dal 1° al 28 agosto 2011;9,00/13,30-15,30/19,30;9,00/13,30-15,30/19,30;NO;non comunale;POINT (7.66333645135493 45.04811311926064);45.04811311926064;7.6633364513549305;11;Santa Rita;Centro - Crocetta
5;ALTHEA;VIA GORIZIA 133;2;10137;TORINO;011-352084;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'8 al 28 agosto 2011 e dal 24 aprile al 1° maggio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;non comunale;POINT (7.640246854154024 45.04233818459743);45.04233818459743;7.640246854154024;11;Santa Rita;Santa Rita - Mirafiori
6;AMICI s.n.c.;VIA S. MARINO 37;2;10134;TORINO;011-3177227;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato o mercoledi' settimane alterne;dall'11 al 31 luglio 2011 e dal 29 mggio al 5 giugno 2011;8,30/12,30-15,00/19,00;8,30/12,30-15,00/19,00;NO;non comunale;POINT (7.646035829111391 45.03717553126243);45.03717553126243;7.646035829111391;11;Santa Rita;Santa Rita - Mirafiori
16;BEATO ANGELICO;VIA S. MARINO 69;2;10137;TORINO;011-362562;;;http://www.farmapiemonte.org/trovafarmacie.lasso;sabato pom./lunedi' matt.;dal 4 al 24 luglio 2011;"Mar/Ven 8,00-19,30 Sab Mat: 8;00/12,30 Lun Pom: 12,30/19,30";"Mar/Ven 8,00-19,30 Sab Mat: 8;00/12,30 Lun Pom: 12,30/19,30";NO;non comunale;POINT (7.642453452509052 45.0386051686369);45.0386051686369;7.642453452509052;11;Santa Rita;Santa Rita - Mirafiori
53;COMUNALE 01;CORSO ORBASSANO 249;2;10137;TORINO;011-390045;;;http://www.fctorinospa.it/index.php?option=com_ana;sabato o mercoledi' settimane alterne;dal 4 al 31 luglio 2011;9,00/12,30-15,00/19,30;9,00/12,30-15,00/19,30;NO;comunale;POINT (7.636427007321934 45.0410362465397);45.041036246539704;7.636427007321934;11;Santa Rita;Santa Rita - Mirafiori
