0
"[8 Via Giulia di Barolo, Turin Piemont, Italy]"



"[400 Corso Moncalieri, Turin Piemont, Italy]"
"[11 Via Campobasso, Turin Piemont, Italy]"
"[56 Via Amilcare Ponchielli, Turin Piemont, Italy]"

"[215/17 Corso Enrico Tazzoli, Turin Piemont, Italy]"



"[13 bis/A Via degli Abeti, Turin Piemont, Italy]"

"[21 Via Ada Negri, Turin Piemont, Italy]"






"[146 Strada Lanzo, Turin Piemont, Italy]"
"[33 Via Gerolamo Tiraboschi, Turin Piemont, Italy]"
"[Olgiate Comasco Lombardy, Italy]"
"[140 Via Vincenzo Lancia, Turin Piemont, Italy]"
"[15 Via Bettino Ricasoli, Turin Piemont, Italy]"



"[28 Via Lanzo, Turin Piemont, Italy]"

"[4 Via Carlo Lorenzini, Turin Piemont, Italy]"
"[5 Via Finalmarina, Turin Piemont, Italy]"

"[11/A Via Paolo Braccini, Turin Piemont, Italy]"

"[490/B Corso Unione Sovietica, Turin Piemont, Italy]"


"[53 Strada Mongreno, Turin Piemont, Italy]"
"[Collegno Piemont, Italy]"
"[88/A Corso Toscana, Turin Piemont, Italy]"


"[68 int. 8 Via Saverio Mercadante, Turin Piemont, Italy]"
"[110 Via Baltimora, Turin Piemont, Italy]"
"[13 bis/A Via degli Abeti, Turin Piemont, Italy]"




"[12 int. 11 Via Pietro Frattini, Turin Piemont, Italy]"

"[Turin Piemont, Italy]"
"[48/A Via Lemie, Turin Piemont, Italy]"
"[13 Via Gaspare Gorresio, Turin Piemont, Italy]"



"[Corso Susa, Rivoli Piemont, Italy]"
"[20 Via Filippo Acciarini, Turin Piemont, Italy]"

"[224/26 Corso Orbassano, Turin Piemont, Italy]"
"[13 Piazza Giuseppe Cesare Abba, Turin Piemont, Italy]"




"[15 Via Augusto Berta, Turin Piemont, Italy]"


"[4/A Via Arcangelo Corelli, Turin Piemont, Italy]"


"[74 Via Alfonso Badini Confalonieri, Turin Piemont, Italy]"



"[San Mauro Torinese Piemont, Italy]"

"[27 Via Giacomo Balla, Turin Piemont, Italy]"

"[76 Via Baltimora, Turin Piemont, Italy]"

"[Turin Piemont, Italy]"



"[28 Corso Guglielmo Marconi, Turin Piemont, Italy]"
"[60 Via Giovanni Randaccio, Turin Piemont, Italy]"
"[30 Via Bettino Ricasoli, Turin Piemont, Italy]"





"[80 Via Le Chiuse, Turin Piemont, Italy]"


"[63 Via Paolo Braccini, Turin Piemont, Italy]"

"[15 Via Foglizzo, Turin Piemont, Italy]"







"[22 Via Cigliano, Maglione Piemont, Italy]"



"[22 Via Niccolò Paganini, Turin Piemont, Italy]"




"[153 Via Bologna, Turin Piemont, Italy]"
"[4 bis Piazzetta Luciano Jona, Turin Piemont, Italy]"
"[19 Via Giuseppe Romita, Turin Piemont, Italy]"


"[18 Via Antonio Cecchi, Turin Piemont, Italy]"
"[102 Via Giacinto Pacchiotti, Turin Piemont, Italy]"
"[Pianezza Piemont, Italy]"

"[102 Via Giacinto Pacchiotti, Turin Piemont, Italy]"
