ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
25;competenza della Circoscrizione;Piscina Carducci;NO;;CORSO GIACOMO MATTEOTTI 6 bis;TORINO;10121;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=3;PISCINA COPERTA;POINT (7.677258490918171 45.06560652736799);45.06560652736799;7.677258490918171;1;Centro;Centro - Crocetta
695;competenza della Circoscrizione;Palestra scolastica Valfrè;NO;;VIA S. TOMMASO 17;TORINO;10121;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=20;PALESTRA SCOLASTICA;POINT (7.68164226942379 45.07032328885918);45.07032328885918;7.68164226942379;1;Centro;Centro - Crocetta
693;competenza della Circoscrizione;Palestra scolastica Tommaseo;NO;;VIA DEI MILLE 15;TORINO;10123;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=13;PALESTRA SCOLASTICA;POINT (7.688295611696386 45.06243363853742);45.06243363853742;7.688295611696386;1;Centro;Centro - Crocetta
673;competenza della Circoscrizione;Palestra scolastica Sclopis;NO;;VIA DEL CARMINE 27;TORINO;10122;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=5;PALESTRA SCOLASTICA;POINT (7.671968613445168 45.07687142439764);45.076871424397645;7.671968613445168;1;Centro;Centro - Crocetta
668;competenza della Circoscrizione;Palestra scolastica Ricardi di Netro;NO;;VIA BEATO SEBASTIANO VALFRE' 8;TORINO;10121;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=6;PALESTRA SCOLASTICA;POINT (7.671089536705066 45.07060941839018);45.07060941839018;7.6710895367050655;1;Centro;Centro - Crocetta
662;competenza della Circoscrizione;Palestra Meucci;NO;;VIA SAGLIANO MICCA 3 bis;TORINO;10121;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=18;PALESTRA SCOLASTICA;POINT (7.670140385912504 45.0687340338601);45.068734033860096;7.670140385912504;1;Centro;Centro - Crocetta
654;competenza della Circoscrizione;Palestra Francesco d'Assisi;NO;;VIA GIULIA DI BAROLO 8;TORINO;10124;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=12;PALESTRA SCOLASTICA;POINT (7.695992804710326 45.0668424007814);45.0668424007814;7.695992804710326;1;Centro;Centro - Crocetta
642;competenza della Circoscrizione;Palestra scolastica Calvino;NO;;VIA S. OTTAVIO 7;TORINO;10124;1;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=14;PALESTRA SCOLASTICA;POINT (7.693341836477587 45.06732373344173);45.06732373344173;7.693341836477587;1;Centro;Centro - Crocetta
129;competenza della Circoscrizione;Bocciofila Amici Boston;NO;;VIA BOSTON 31/A;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=47;BOCCIOFILA;POINT (7.641619854553274 45.03965716445433);45.039657164454326;7.641619854553274;11;Santa Rita;Santa Rita - Mirafiori
368;competenza della Circoscrizione;Bocciofila Amici Boston;NO;;VIA BOSTON 31/A;TORINO;10137;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=47;EDIFICI DI PERTINENZA;POINT (7.641619854553274 45.03965716445433);45.039657164454326;7.641619854553274;11;Santa Rita;Santa Rita - Mirafiori
195;competenza della Circoscrizione;Bocciofila Gruppo Pensionati e Amici;NO;;VIA ADA NEGRI 26/A;TORINO;10136;2;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=49;BOCCIOFILA;POINT (7.640452992197052 45.0524302206328);45.0524302206328;7.640452992197052;11;Santa Rita;Santa Rita - Mirafiori
