ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
8;Carlina;piazza Carlina;dal lunedi al sabato;1;POLYGON ((7.688962583998419 45.06582917648998, 7.688949858155668 45.06580761829333, 7.689189707626966 45.06572405528589, 7.689308567594789 45.06589403988534, 7.689294908703247 45.0659132877307, 7.689293964743621 45.06591327689263, 7.688962583998419 45.06582917648998));45.06582040062301;7.689146252925684;1;Centro;Centro - Crocetta
25;Matteotti Bolzano;corsi Matteotti, Vinzaglio;dal lunedi al sabato;1;POLYGON ((7.6667119283363 45.06921209533037, 7.66665208922981 45.06912933200215, 7.666920663898029 45.06903399126673, 7.666976580508721 45.06911944413692, 7.6667119283363 45.06921209533037));45.06912349561298;7.66681550921446;1;Centro;Centro - Crocetta
30;Palestro;corso Palestro;dal lunedi al sabato;1;POLYGON ((7.673398158558629 45.07528847826914, 7.67149104921064 45.07263818162, 7.671748687874742 45.07254819212751, 7.673655806348919 45.07519848460858, 7.673398158558629 45.07528847826914));45.07391834246499;7.672573431469103;1;Centro;Centro - Crocetta
33;Porta Palazzo;piazza della Repubblica;dal lunedi al sabato;7;MULTIPOLYGON (((7.682364039622242 45.07704417695412, 7.68207001254355 45.07658586524574, 7.682327079677504 45.07614557964268, 7.682679569119649 45.07603008600923, 7.682735364343467 45.0761094655962, 7.682436833699105 45.07620516919985, 7.682222120246054 45.07659345346983, 7.682492733959915 45.07699608794289, 7.682364039622242 45.07704417695412)), ((7.682674133892638 45.07537126746635, 7.682972341396671 45.07582670980517, 7.682706997428236 45.07591113242613, 7.682404744079188 45.07545272656866, 7.682674133892638 45.07537126746635)), ((7.68241366449754 45.07685490910788, 7.682397943158907 45.07682265012792, 7.682671722166378 45.07672957715202, 7.682875027276047 45.07630033447575, 7.682708110006126 45.07604178829234, 7.683056550452211 45.07592333063548, 7.683410962146313 45.07644065906549, 7.683472510095185 45.07662800175794, 7.683412359967003 45.07673812132944, 7.683307216229107 45.07683605737548, 7.682701918835447 45.07702737173074, 7.68254104440298 45.0770430120865, 7.68241366449754 45.07685490910788)), ((7.682736522297074 45.07534282598779, 7.683022570298917 45.07525280985351, 7.683328942197634 45.07571126159246, 7.683034730170672 45.07579826816102, 7.682736522297074 45.07534282598779)), ((7.683330042791708 45.07584250054396, 7.683484953353466 45.07608632667682, 7.684365512000218 45.07627436266673, 7.684680565272944 45.07617592825825, 7.684787846397828 45.07634338420118, 7.683780023998513 45.07667878918456, 7.683677492512531 45.07666302628115, 7.683604165422906 45.07663010321853, 7.683551545592862 45.07659158663234, 7.68310233353373 45.07590111290202, 7.683330042791708 45.07584250054396)), ((7.683306106358942 45.07706350337687, 7.683222243573306 45.07695172281766, 7.683326182014971 45.07690626344714, 7.68343329731799 45.07690166655992, 7.683564698805157 45.0769148464701, 7.683719315237886 45.07699244895083, 7.684093308767706 45.0775537430227, 7.683910922269193 45.07760996326175, 7.683576737615427 45.07710745043627, 7.683306106358942 45.07706350337687)), ((7.683407282389518 45.07588421732483, 7.68336336138292 45.07582538799709, 7.683799075812408 45.07567002480059, 7.684449814210298 45.07582916493956, 7.684660661296176 45.0761465375294, 7.684544582162946 45.07618310980904, 7.684353639308828 45.07589512777886, 7.684345744744392 45.07588045610169, 7.68380927705461 45.07576345886262, 7.683788904987973 45.0757544755658, 7.683407282389518 45.07588421732483)), ((7.684400140154467 45.07745521462569, 7.684180320232461 45.07752850072779, 7.683822516876297 45.07697905815057, 7.68380766512149 45.0769088995952, 7.68384299280558 45.0768043259162, 7.683902271827337 45.07673210587367, 7.684022734913244 45.07668392023903, 7.684113993603244 45.0766528946819, 7.684215855842396 45.07669781086365, 7.68423616138861 45.07670970945997, 7.684102113854523 45.07699102981685, 7.684400140154467 45.07745521462569)), ((7.684719716079317 45.07733933540583, 7.684504749742563 45.07702191552048, 7.68457359585504 45.07689148261127, 7.685012961686446 45.07675656984456, 7.685088665271082 45.07686533897702, 7.684864934866389 45.07728851797393, 7.684719716079317 45.07733933540583)));45.076472703186326;7.683504071317706;1;Centro;Aurora, Vanchiglia - Sassi - Madonna del Pilone
17;Don Grioli;vie don Grioli, don Grazioli;dal lunedi al sabato;2;POLYGON ((7.636202053606501 45.03685726268006, 7.635813291294804 45.03622412096229, 7.636403534734149 45.0360461155442, 7.636816503536314 45.03669700257515, 7.636211485147773 45.03687483359997, 7.636202053606501 45.03685726268006));45.036461375216774;7.636312419179589;12;Mirafiori Nord;Santa Rita - Mirafiori
28;Nitti;via Nitti;mercoledi, venerdi;2;POLYGON ((7.621902997038292 45.04462639629403, 7.621620868297657 45.04432160023926, 7.621187944873853 45.04389314378631, 7.621163282014204 45.0437902450855, 7.621294807839982 45.04358663200041, 7.623235060860706 45.04264175319375, 7.623734393255393 45.04256441101005, 7.624503920730056 45.04253521045737, 7.624518163563789 45.04269569587137, 7.623721660393227 45.04271815876046, 7.62339505600821 45.04275910860547, 7.623058024135234 45.04285764471351, 7.621583707938226 45.04360935841359, 7.621427057666262 45.04372930526305, 7.621424747195426 45.04382546562702, 7.621485118953499 45.04394803313385, 7.621785946507306 45.04422740509504, 7.622014743199919 45.04449308168254, 7.622076348586639 45.04456436334861, 7.621902997038292 45.04462639629403));45.04334612195243;7.6224782763540775;12;Mirafiori Nord;Santa Rita - Mirafiori
2;Baltimora;vie Baltimora, Castelgomberto;dal lunedi al sabato;2;MULTIPOLYGON (((7.631911709492446 45.04822879571513, 7.631881017037965 45.04761923595926, 7.632035057882484 45.04760825686873, 7.63207586536603 45.04817304996212, 7.631911709492446 45.04822879571513)), ((7.634052159634669 45.04761317268729, 7.6321272210025 45.04829550371271, 7.632111580096724 45.04819271555677, 7.634045863946192 45.04749767151171, 7.634052159634669 45.04761317268729)));45.047899941203376;7.632758038359085;12;Mirafiori Nord;Santa Rita - Mirafiori
36;S.Rita-Sebastopoli;corso Sebastopoli tra corsi IV Novembre e Orbassano;dal lunedi al sabato;2;POLYGON ((7.64466305861602 45.0454421421212, 7.644541428834493 45.04530496161243, 7.649131969634085 45.04373644022866, 7.649236685127906 45.04388521891978, 7.64466305861602 45.0454421421212));45.04458795634272;7.646905502283627;11;Santa Rita;Santa Rita - Mirafiori
16;Di Nanni;via Di Nanni tra corso Peschiera e via S.Bernardino;dal lunedi al sabato;3;POLYGON ((7.649057302816426 45.06448284715884, 7.649071509666449 45.06447310969652, 7.647044371501029 45.06212128883055, 7.647576978095969 45.06205826070029, 7.647568569384309 45.06241476243162, 7.64931139243723 45.06437689228903, 7.649057302816426 45.06448284715884));45.06322735152865;7.648160252241116;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
35;S.Paolo-Racconigi;corso Racconigi tra corsi Vittorio e Peschiera;dal lunedi al sabato;3;MULTIPOLYGON (((7.644820301701301 45.06624020392442, 7.644888481316854 45.06459612602363, 7.645215451886777 45.06461385855462, 7.645146078058448 45.06610209106989, 7.644820301701301 45.06624020392442)), ((7.644990809079286 45.06667578549192, 7.645257310585309 45.06656467209914, 7.64793571032228 45.07354407809827, 7.647664703695971 45.07363782966839, 7.644990809079286 45.06667578549192)));45.06920072204617;7.646184510450476;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
