ID_MER_T;DENOM;TEMA;LUOGO;CADENZA;POSTI;QUARTIERE;geometry;LATITUDE;LONGITUDE
2;Mostra Mercato delle Lavorazioni Artistiche e Artigianali;Artigianato;Via Cesare Battisti;1 domenica mese esclusi luglio e agosto;28;;POINT (7.686133312103529 45.06919943350671);45.06919943350671;7.686133312103529
3;Extravaganza;Moda Vintage e Modernariato;Piazza Carlo Alberto;2 sabato mese esclusi luglio e agosto;44;;POINT (7.686511337074629 45.06864050591911);45.06864050591911;7.686511337074629
4;Gran Balon;Antiquariato;Borgo Dora e vie limitrofe;2 domenica mese;250;;POINT (7.683657932997372 45.07969811261736);45.07969811261736;7.683657932997372
5;Prodotti Tipici della Campagna Piemontese;Prodotti Tipici;Piazza Madama Cristina;3 domenica mese esclusi agosto e dicembre;40;;POINT (7.683407234285694 45.05880827344194);45.05880827344194;7.683407234285694
7;Oltre Mercato;Prodotti Biologici;Piazza Palazzo di Citta';4 sabato mese esclusi luglio e agosto;34;;POINT (7.681930907322493 45.07284529378078);45.07284529378078;7.681930907322493
8;Ogni Frutto ha la sua Stagione;Alimentare - Artigianato;Piazza Carlo Alberto;3 domenica mese esclusi luglio e agosto;50;;POINT (7.686657347003417 45.06883441712208);45.068834417122076;7.686657347003417
9;Il Libro Ritrovato;Libri Usati;Piazza Carlo Felice;1 domenica mese;60;;POINT (7.680019107633234 45.06416371426512);45.06416371426512;7.680019107633234
10;Mercato Vintage;Vintage;Piazza Gran Madre;3 domenica mese esclusi luglio e agosto;57;;POINT (7.699676567761629 45.06204233194332);45.062042331943324;7.699676567761629
11;Fera d'la Leja;Usato;Balconata di Via S.Donato;3 domenica mese;70;;POINT (7.658828583380473 45.08268916258979);45.082689162589794;7.6588285833804735
1;Oasi dei Prodotti Tipici;Prodotti Tipici;Piazza Palazzo di Citta';1 domenica mese;58;;POINT (7.681591964762735 45.07294607185433);45.07294607185433;7.681591964762735
12;Antiquariato minore 1;Antiquariato minore;Piazza Vittorio Veneto;1 domenica mesi marzo, aprile, maggio, ottobre, novembre, dicembre;76;;POINT (7.693721471491626 45.06590243259539);45.06590243259539;7.693721471491626
6;Eccellenza Artigiana;Eccellenza Artigiana;Piazza Palazzo di Citta';3 domenica mese esclusi luglio e agosto;40;;POINT (7.68150436194458 45.07307840487367);45.07307840487367;7.68150436194458
13;Mondo Artigiano;Artigianato;Via di Nanni;4 domenica mesi febbraio, marzo, aprile, maggio, settembre, ottobre, novembre;93;;POINT (7.648092048769898 45.0631466205548);45.0631466205548;7.6480920487698985
14;Antiquariato minore 2;Antiquariato minore;Piazza Abba;4 domenica mese;70;;POINT (7.714477164807175 45.09064512660105);45.09064512660105;7.7144771648071755
15;Prodotti tipici della campagna;Prodotti tipici della campagna;Piazza Martini Benefica;4 domenica mese escluso dicembre;60;;POINT (7.661707026049622 45.0735815644143);45.0735815644143;7.661707026049622
16;Vini Tipici Piemontesi;Vini Tipici Piemontesi;Piazza Statuto;2 domenica mesi marzo, giugno, ottobre e dicembre;40;;POINT (7.672272884811202 45.07571863640354);45.07571863640354;7.672272884811202
