ID_TIPOPTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;LUOGO;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
29;MAU - Museo d'Arte Urbana;VIA ROCCIAMELONE 7/C;4;10143;TORINO;335 6398351 - 328 2313381 - 335 8163421;;info@museoarteurbana.it;http://www.museoarteurbana.it;Borgo Vecchio Campidoglio;POINT (7.654380436234606 45.08161718904499);45.08161718904499;7.6543804362346055;6;San Donato;San Donato - Campidoglio - Parella
36;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 4;VIA GIACOMO MEDICI 28;4;10143;TORINO;011 01128420;011 01128421;ecomuseo@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.651801497165257 45.07776943808865);45.07776943808865;7.651801497165257;6;San Donato;San Donato - Campidoglio - Parella
50;Museo A come Ambiente;CORSO UMBRIA 90;4;10144;TORINO;011 0702535;;info@acomeambiente.org;http://www.acomeambiente.org;;POINT (7.663757359946186 45.08994456509794);45.08994456509794;7.663757359946186;6;San Donato;San Donato - Campidoglio - Parella
68;Museo Francesco Faa' di Bruno;VIA S. DONATO 31;4;10144;TORINO;011 489145;;centrostudi@faadibruno.it;http://www.comune.torino.it/musei/elenco/santisociali.shtml;C/o Istituto Suore Minime di N. S. del Suffragio;POINT (7.665022025764455 45.08002750695606);45.08002750695606;7.665022025764455;6;San Donato;San Donato - Campidoglio - Parella
30;Archivio Storico Museo Italgas;CORSO PALERMO 3;7;10152;TORINO;011 8395312;011 8395315;archiviostorico@italgas.it;http://www.italgas.it/azienda/storia/archivio-storico/;;POINT (7.692398916866702 45.07670901646674);45.07670901646674;7.6923989168667015;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
31;Armeria Reale;PIAZZA CASTELLO 191;1;10122;TORINO;011 543889;011 5188063;armeriareale@artito.arti.beniculturali.it;www.artito.arti.beniculturali.it;;POINT (7.686357616086335 45.07164285524104);45.071642855241045;7.686357616086335;1;Centro;Centro - Crocetta
45;Galleria Sabauda;VIA VENTI SETTEMBRE 88;1;10122;TORINO;011 4992333 (prenotazioni) - 011 5641749 (info);;galleriasabauda@artito.arti.beniculturali.it;http://www.artito.arti.beniculturali.it/;Manica Nuova di Palazzo Reale ;POINT (7.685676561903323 45.07475585868801);45.074755858688015;7.685676561903323;1;Centro;Centro - Crocetta
47;MAO - Museo d'Arte Orientale;VIA S. DOMENICO 11;1;10122;TORINO;011 4436927-8;011 4436918;mao@fondazionetorinomusei.it;http://www.maotorino.it;Palazzo Mazzonis;POINT (7.680275377771647 45.07470805718508);45.074708057185084;7.680275377771647;1;Centro;Centro - Crocetta
49;Miaao - Museo Internazionale Delle Arti Applicate Oggi;VIA MARIA VITTORIA 5;1;10123;TORINO;011 5611161;;miaao.museo@gmail.com;http://www.miaao.org/;;POINT (7.684777516463757 45.06791010434381);45.06791010434381;7.684777516463757;1;Centro;Centro - Crocetta
52;Palazzo Madama - Museo Civico d¿Arte Antica;PIAZZA CASTELLO 0;1;10123;TORINO;011 4433501;011 4429929;palazzomadama@fondazionetorinomusei.it;http://www.palazzomadamatorino.it;Piazza Castello - presso Palazzo Madama;POINT (7.685480135159924 45.0710711687905);45.0710711687905;7.685480135159924;1;Centro;Centro - Crocetta
53;Museo Civico Pietro Micca e dell'Assedio di Torino del 1706;VIA FRANCESCO GIUSEPPE GUICCIARDINI 7/A;1;10121;TORINO;011 546317;011 533772;mpm@biblioteche.reteunitaria.piemonte.it;http://www.museopietromicca.it/;;POINT (7.668504452040771 45.0721497504927);45.0721497504927;7.6685044520407715;1;Centro;Centro - Crocetta
56;Museo della Radio e della Televisione;VIA GIUSEPPE VERDI 16;1;10124;TORINO;011 8104360;011 8126521;museoradiotv@rai.it;www.museoradiotv.rai.it;;POINT (7.69175423562484 45.06854661738237);45.068546617382374;7.69175423562484;1;Centro;Centro - Crocetta
57;Museo della Scuola e del Libro per l'Infanzia - Fondazione Tancredi di Barolo;VIA CORTE D'APPELLO 20/C;1;10122;TORINO;011 19784944;;didattica@fondazionetancredidibarolo.com;www.fondazionetancredidibarolo.com;Palazzo Barolo, via Corte d¿Appello 20/C;POINT (7.678446108259526 45.07463566694161);45.07463566694161;7.678446108259526;1;Centro;Centro - Crocetta
58;Museo della Sindone;VIA S. DOMENICO 28;1;10122;TORINO;011 4365832;011 4319275;museo@sindone.org;www.sindone.it;;POINT (7.676653688112433 45.07605036751795);45.07605036751795;7.676653688112433;1;Centro;Centro - Crocetta
59;Museo delle Antichita' Egizie;VIA ACCADEMIA DELLE SCIENZE 6;1;10123;TORINO;011 5617776;;info@museoegizio.it;http://www.museoegizio.it/;;POINT (7.684468871656535 45.06839148497162);45.06839148497162;7.684468871656535;1;Centro;Centro - Crocetta
60;Museo delle Arti Decorative - Fondazione Accorsi - Ometto;VIA PO 55;1;10124;TORINO;011837688 interno 3;011 8154061;info@fondazioneaccorsi-ometto.it;www.fondazioneaccorsi-ometto.it;;POINT (7.693309144831701 45.06634211602926);45.06634211602926;7.6933091448317015;1;Centro;Centro - Crocetta
62;Museo di Antichita' -  Museo Archeologico Nazionale del Piemonte;PIAZZETTA REALE 1;1;10122;TORINO;011 5211106 - 011 5212251;;sar-pie.museoantichita@beniculturali.it;http://museoarcheologico.piemonte.beniculturali.it;;POINT (7.68616120085234 45.07267287656071);45.07267287656071;7.68616120085234;1;Centro;Centro - Crocetta
64;Museo di Antropologia ed Etnografia dell'Universita' di Torino;VIA ACCADEMIA ALBERTINA 17;1;10123;TORINO;;011 6705931;museo.antropologia@unito.it;www.museounito.it;Il Museo è chiuso. Per infomazioni e-mail: museo.antropologia@unito.it;POINT (7.687529254811587 45.06417937961295);45.06417937961295;7.687529254811587;1;Centro;Centro - Crocetta
66;Museo Diffuso della Resistenza, della Deportazione, della Guerra, dei Diritti e della Liberta';CORSO VALDOCCO 4/A;1;10122;TORINO;011 4420780;011 4362034;info@museodiffusotorino.it;http://www.museodiffusotorino.it;;POINT (7.674145699008956 45.07581637150432);45.07581637150432;7.674145699008956;1;Centro;Centro - Crocetta
67;Museo Diocesano;VIA S. FRANCESCO DA PAOLA 37/E;1;10123;TORINO;011 5156408;011 5156409;museodiocesano@diocesi.torino.it;http://www.museodiocesanotorino.it/;c/o Chiesa Inferiore Della Cattedrale (Cripta Del Duomo);POINT (7.684445162701684 45.06177330233383);45.06177330233383;7.684445162701684;1;Centro;Centro - Crocetta
69;Museo Nazionale del Cinema;VIA MONTEBELLO 20/A;1;10124;TORINO;011 8138563;;prenotazioni@museocinema.it;http://www.museocinema.it;;POINT (7.692916140438565 45.06900773192618);45.069007731926185;7.692916140438565;1;Centro;Centro - Crocetta
