ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;CIRCOSCRIZ;DCIRCOSCRIZ
1457;Stalli disabili;1;2002_00013;Nessuna;CORSO S_ MAURIZIO;67;20150313000000;POINT (7.696752218882527 45.06743953882453);45.06743953882453;7.696752218882527;1;Centro;1;Centro - Crocetta
1460;Stalli disabili;1;1993_00771;Nessuna;VIA VANCHIGLIA;ND;20150313000000;POINT (7.696951470719394 45.06659085400504);45.066590854005035;7.6969514707193945;1;Centro;1;Centro - Crocetta
1461;Stalli disabili;1;ND;Nessuna;VIA PRINCIPE AMEDEO;28;20150313000000;POINT (7.689275635418412 45.06706242363368);45.06706242363368;7.6892756354184115;1;Centro;1;Centro - Crocetta
1462;Stalli disabili;1;ND;Nessuna;VIA VERDI GIUSEPPE;32;20150316000000;POINT (7.697007796792104 45.06660535794554);45.06660535794554;7.6970077967921045;1;Centro;1;Centro - Crocetta
1466;Stalli disabili;1;ND;Nessuna;CORSO PRINCIPE ODDONE;24;20150317000000;POINT (7.671070408443669 45.0799723011814);45.0799723011814;7.671070408443669;1;Centro;1;Centro - Crocetta
1467;Stalli disabili;1;ND;Nessuna;CORSO REGINA MARGHERITA;157;20150317000000;POINT (7.671562208443625 45.08043610118133);45.080436101181334;7.671562208443625;1;Centro;1;Centro - Crocetta
1473;Stalli disabili;1;ND;Nessuna;VIA DORIA ANDREA;14;20150318000000;POINT (7.685631463066761 45.06379887825595);45.06379887825595;7.685631463066761;1;Centro;1;Centro - Crocetta
1474;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;50;20150318000000;POINT (7.681691791240441 45.06185197127101);45.06185197127101;7.681691791240441;1;Centro;1;Centro - Crocetta
1476;Stalli disabili;1;ND;Nessuna;PIAZZA PALEOCAPA PIETRO;2;20150318000000;POINT (7.679136623782658 45.06410633982751);45.06410633982751;7.679136623782658;1;Centro;1;Centro - Crocetta
1477;Stalli disabili;1;ND;Nessuna;VIA PARINI GIUSEPPE;9;20150318000000;POINT (7.675656290054663 45.0649804127219);45.0649804127219;7.675656290054663;1;Centro;1;Centro - Crocetta
1478;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;15;20150318000000;POINT (7.675798958177543 45.06588888169309);45.06588888169309;7.675798958177543;1;Centro;1;Centro - Crocetta
1479;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;5;20150318000000;POINT (7.677484607250591 45.06529505675325);45.06529505675325;7.677484607250591;1;Centro;1;Centro - Crocetta
1480;Stalli disabili;1;ND;Nessuna;VIA S_ QUINTINO;ND;20150318000000;POINT (7.676602858068812 45.06482418121677);45.06482418121677;7.676602858068812;1;Centro;1;Centro - Crocetta
1481;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;12;20150318000000;POINT (7.674552312670329 45.06652049788111);45.066520497881115;7.674552312670329;1;Centro;1;Centro - Crocetta
1482;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;48;20150318000000;POINT (7.666010008444488 45.06953000118274);45.06953000118274;7.666010008444488;1;Centro;1;Centro - Crocetta
1483;Stalli disabili;1;ND;Nessuna;CORSO MATTEOTTI GIACOMO;39;20150318000000;POINT (7.669331337278886 45.0680070205963);45.068007020596305;7.669331337278886;1;Centro;1;Centro - Crocetta
1485;Stalli disabili;1;ND;Nessuna;VIA MERCANTINI LUIGI;ND;20150318000000;POINT (7.674763886875543 45.06916383635091);45.06916383635091;7.674763886875543;1;Centro;1;Centro - Crocetta
1519;Stalli disabili;1;2012_02975;Nessuna;VIA S_ TERESA;16;20150324000000;POINT (7.680404993094364 45.06929933358661);45.06929933358661;7.680404993094364;1;Centro;1;Centro - Crocetta
1520;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;5;20150324000000;POINT (7.684582447059768 45.06783485908738);45.06783485908738;7.684582447059768;1;Centro;1;Centro - Crocetta
