DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;QUARTIERE;geometry;LATITUDE;LONGITUDE
AGENZIE VIAGGIO;CITTÀ DEL VINO WELCOME;CORSO PALESTRO 20;No;207;05;1;24;10122;;POINT (7.671722014163478 45.07303598061896);45.07303598061896;7.671722014163478
AGENZIE VIAGGIO;CISALPINA VIAGGI;VIA FRANCESCO PETRARCA 15;No;878;19;8;755;10126;;POINT (7.676814060962916 45.04941436273355);45.04941436273355;7.676814060962916
AGENZIE AFFARI;;PIAZZA GIUSEPPE PEROTTI 6/A;No;1257;29;4;0;10143;;POINT (7.651906318146461 45.08304554296793);45.08304554296793;7.6519063181464615
AGENZIE VIAGGIO;PROMOWORLD;CORSO PESCHIERA 356;No;2061;51;3;279;10139;;POINT (7.627739783899422 45.07330394811614);45.07330394811614;7.627739783899422
AGENZIE VIAGGIO;IL CAICCO BLU;VIA ANTONIO PIGAFETTA 24;No;1161;26;1;55;10129;;POINT (7.658382583636858 45.05836730668456);45.05836730668456;7.6583825836368575
AGENZIE AFFARI;;CORSO PESCHIERA 316/B;No;2080;51;3;0;10139;;POINT (7.631475710595891 45.0718601930615);45.071860193061504;7.6314757105958915
AGENZIE VIAGGIO;VIAGGI BORELLO;CORSO PESCHIERA 317/A;No;3418;51;3;0;10141;;POINT (7.627995534423852 45.07275375407923);45.07275375407923;7.627995534423852
AGENZIE VIAGGIO;VIA TRINCHESE;CORSO PESCHIERA 317/A;No;3418;51;3;0;10141;;POINT (7.627995534423852 45.07275375407923);45.07275375407923;7.627995534423852
AGENZIE AFFARI;;CORSO PESCHIERA 337;No;2069;51;3;284;10141;;POINT (7.626274634838957 45.07341788555412);45.07341788555412;7.626274634838957
AGENZIE AFFARI;;VIA PARMA 46;No;1034;23;7;687;10153;;POINT (7.69467983268286 45.07650355275338);45.07650355275338;7.69467983268286
AGENZIE VIAGGIO;IL FARO PELLEGRINAGGI;VIA PARELLA 13 scala B;No;1721;39;6;572;10155;;POINT (7.680989073032466 45.09177785765909);45.09177785765909;7.680989073032466
AGENZIE AFFARI;;VIA PIEDICAVALLO 13/B;No;1351;30;4;0;10145;;POINT (7.64212073872439 45.07660219095304);45.07660219095304;7.64212073872439
AGENZIE AFFARI;C'ERA 2 VOLTE SNC;CORSO PESCHIERA 183/D;No;1484;33;3;0;10141;;POINT (7.646500450645644 45.06559366273061);45.065593662730606;7.646500450645644
TRATTENIMENTI;GASOLINE;VIA GIUSEPPE PARINI 7;No;143;04;1;14;10121;;POINT (7.675528979529748 45.06483281989799);45.064832819897994;7.675528979529748
AGENZIE AFFARI;;VIA OZIERI 4/B;No;2402;63;3;0;10142;;POINT (7.619309426740716 45.06432877643623);45.064328776436234;7.619309426740716
AGENZIE AFFARI;;VIA DELLE ORFANE 30/D;No;12;01;1;0;10122;;POINT (7.679998485325698 45.07641271003657);45.07641271003657;7.679998485325698
AGENZIE AFFARI;;CORSO NOVARA 79;No;1584;36;6;535;10154;;POINT (7.698387540156334 45.08263443081555);45.082634430815546;7.698387540156334
AGENZIE VIAGGIO;SPIAGGE BIANCHE;CORSO NOVARA 6;No;1050;24;7;695;10152;;POINT (7.688979366696406 45.08836718062412);45.08836718062412;7.688979366696406
AGENZIE VIAGGIO;VUELA HERMANO;VIA NIZZA 13/F;No;332;09;8;0;10125;;POINT (7.678966950754548 45.06036512872291);45.060365128722914;7.678966950754548
AGENZIE VIAGGIO;"AGENZIA VIAGGI ""BILADI""";VIA CARLO NOE' 6;No;510;12;7;652;10152;;POINT (7.685333398228241 45.07826176363412);45.07826176363412;7.685333398228241
AGENZIE VIAGGIO;IL DIAMANTE BLU;VIA IPPOLITO NIEVO 25;No;1586;36;7;708;10153;;POINT (7.711331669669142 45.07562839040943);45.07562839040943;7.711331669669142
AGENZIE AFFARI;;CORSO PALERMO 102/E;No;1693;38;6;0;10154;;POINT (7.693419637166808 45.08811851325935);45.088118513259346;7.693419637166808
AGENZIE VIAGGIO;"""ACQUA MARINA AZZURRA VIAGGI""";CORSO ORBASSANO 296/A;No;2742;62;2;0;10137;;POINT (7.62688983545567 45.03688027622657);45.03688027622657;7.62688983545567
AGENZIE AFFARI;;CORSO ORBASSANO 236/E;No;2333;59;2;0;10137;;POINT (7.635385710170854 45.04091136366181);45.04091136366181;7.635385710170854
AGENZIE AFFARI;;VIA OROPA 58 bis;No;996;22;7;914;10153;;POINT (7.715013550791227 45.07197458915524);45.07197458915524;7.715013550791227
AGENZIE AFFARI;;CORSO ORBASSANO 224 int. 5;No;2333;59;2;145;10137;;POINT (7.635957312789419 45.04154652215587);45.04154652215587;7.635957312789419
AGENZIE AFFARI;;VIA PALAZZO DI CITTA' 21/B;No;34;01;1;0;10122;;POINT (7.682094992513694 45.07269828064608);45.07269828064608;7.682094992513694
AGENZIE AFFARI;;VIA GIOVANNI PAISIELLO 30;No;1596;37;6;543;10154;;POINT (7.700022129134818 45.09012166769183);45.090121667691825;7.700022129134818
TRATTENIMENTI;ART CAFÉ (LE MERIDIEN ART + TECH);VIA NIZZA 230;No;2271;57;8;814;10126;;POINT (7.667714998960114 45.03405481755141);45.03405481755141;7.667714998960114
AGENZIE VIAGGIO;FRAGALTOUR;VIA GIOVANNI PAISIELLO 57/D;No;2816;37;6;0;10154;;POINT (7.703662723590537 45.09338535713366);45.093385357133656;7.703662723590537
AGENZIE AFFARI;;VIA GIOVANNI PAISIELLO 57;No;2816;37;6;539;10154;;POINT (7.703630818926436 45.09333400069423);45.093334000694234;7.7036308189264355
AGENZIE VIAGGIO;FREEWORLD VIAGGI;VIA NIZZA 89;No;876;19;8;751;10126;;POINT (7.674326069067246 45.05019621584067);45.05019621584067;7.674326069067246
TRATTENIMENTI;DANISH PUB;VIA NIZZA 98;No;920;20;8;761;10126;;POINT (7.672005531233109 45.04492880730046);45.04492880730046;7.6720055312331095
AGENZIE VIAGGIO;;VIA ANGELO MOSSO 8;No;2418;64;4;413;10146;;POINT (7.620030453419838 45.07768860299016);45.07768860299016;7.620030453419838
AGENZIE VIAGGIO;POWERTOURS;VIA MONTEBELLO 6;No;219;06;1;25;10124;;POINT (7.692093211282886 45.0679023826339);45.0679023826339;7.692093211282886
AGENZIE VIAGGIO;WAVE TRAVEL;VIA MONTE SANTO 6;No;973;22;7;676;10153;;POINT (7.716931841076771 45.07404766727836);45.07404766727836;7.716931841076771
AGENZIE AFFARI;;VIA MONFERRATO 14/D;No;526;13;8;0;10131;;POINT (7.700665145222507 45.06342274760767);45.06342274760767;7.700665145222507
AGENZIE AFFARI;;VIA MONTE ORTIGARA 8;No;2090;51;3;272;10141;;POINT (7.636139263549163 45.06645862874565);45.06645862874565;7.636139263549163
AGENZIE AFFARI;;VIA GIOVANNI FRANCESCO NAPIONE 30;No;414;11;7;636;10124;;POINT (7.702713950875244 45.06858999892562);45.068589998925624;7.7027139508752445
AGENZIE AFFARI;;VIA RODOLFO MONTEVECCHIO 27;No;802;18;1;51;10128;;POINT (7.669903855828081 45.0618678308285);45.061867830828504;7.669903855828081
AGENZIE AFFARI;;VIA MONGINEVRO 248 bis;No;2751;63;3;304;10142;;POINT (7.619858567478023 45.0646828177163);45.064682817716296;7.6198585674780235
AGENZIE AFFARI;;VIA MONTEPONI 26;No;3066;90;2;880;10135;;POINT (7.623487172564765 45.01521086015194);45.01521086015194;7.623487172564765
AGENZIE VIAGGIO;BEACH SHINING;CORSO MONTE CUCCO 1/E;No;1373;32;3;0;10139;;POINT (7.635734111789342 45.07481965803748);45.07481965803748;7.635734111789342
AGENZIE VIAGGIO;CARS AND COFFEE;VIA MONGINEVRO 122;No;2096;52;3;300;10141;;POINT (7.635741516044365 45.06467516699325);45.064675166993254;7.635741516044365
AGENZIE AFFARI;;VIA MONGINEVRO 132/C;No;2096;52;3;0;10141;;POINT (7.63449149638915 45.06461895799065);45.06461895799065;7.63449149638915
TRATTENIMENTI;BAMBOO;CORSO MONCALIERI 145;No;2474;70;8;774;10133;;POINT (7.68694971056208 45.04656370134673);45.046563701346734;7.68694971056208
TRATTENIMENTI;TEATRO ORFEO;CORSO MONCALIERI 18;No;594;15;8;744;10131;;POINT (7.694878081757436 45.05946475688949);45.05946475688949;7.6948780817574365
AGENZIE VIAGGIO;EQUINOXE VIAGGI;VIA DEI MILLE 18;No;248;07;1;34;10123;;POINT (7.686276366371477 45.06290676154575);45.062906761545754;7.686276366371477
AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 48;No;258;07;1;31;10123;;POINT (7.689088320096592 45.06104261686291);45.061042616862906;7.689088320096592
AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 27;No;249;07;1;33;10123;;POINT (7.687106627755102 45.06186618847649);45.061866188476486;7.687106627755102
TRATTENIMENTI;LA BARCA GENNA (RISTORANTE E BAR SUL PO);VIALE MARINAI D'ITALIA 21/A;No;927;20;8;0;10126;;POINT (7.679695206279236 45.04289186668858);45.042891866688585;7.679695206279236
AGENZIE AFFARI;;VIA MARIA VITTORIA 13;No;93;03;1;9;10123;;POINT (7.686013455049026 45.06737222964708);45.06737222964708;7.686013455049026
AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 3;No;141;04;1;15;10123;;POINT (7.681753736071647 45.0637916984452);45.0637916984452;7.681753736071647
AGENZIE VIAGGIO;ADRI E AME VIAGGI;CORSO PIERO MARONCELLI 32/B;No;2304;58;8;0;10127;;POINT (7.661578826125334 45.01889053225862);45.018890532258624;7.661578826125334
AGENZIE VIAGGIO;;CORSO GIACOMO MATTEOTTI 32/A;No;299;08;1;37;10121;;POINT (7.669711005571536 45.06829744080844);45.068297440808436;7.669711005571536
AGENZIE VIAGGIO;GRAN TOUR EVENTS;VIA MONCALVO 44;No;556;13;8;740;10131;;POINT (7.707254161747265 45.06409890861897);45.06409890861897;7.707254161747265
AGENZIE VIAGGIO;SAVOIA VIAGGI;VIA AMEDEO MODIGLIANI 3;No;2745;62;2;177;10137;;POINT (7.619199968611539 45.04292208565642);45.04292208565642;7.619199968611539
AGENZIE AFFARI;ALBATROS;VIA ANDREA MASSENA 60;No;400;10;1;47;10128;;POINT (7.670389006776308 45.05762821673466);45.057628216734656;7.670389006776308
AGENZIE AFFARI;;VIA DON GIOVANNI MINZONI 14;No;126;04;1;14;10121;;POINT (7.676392975796242 45.06612437045755);45.06612437045755;7.676392975796242
AGENZIE AFFARI;IMPRESA ONORANZE E TRASPORTI FUNEBRI LUX;CORSO MONCALIERI 256/F;No;2485;70;8;0;10133;;POINT (7.681054953700269 45.03683001039916);45.03683001039916;7.6810549537002695
AGENZIE AFFARI;;CORSO MONCALIERI 266;No;2485;70;8;773;10133;;POINT (7.680697342399615 45.03602408776928);45.03602408776928;7.680697342399615
AGENZIE AFFARI;;STRADA DEL MEISINO 81 int. 38;No;2502;72;7;714;10132;;POINT (7.728400998141306 45.09223450606513);45.09223450606513;7.728400998141306
AGENZIE AFFARI;;CORSO MONCALIERI 286;No;2464;69;8;771;10133;;POINT (7.679799794100602 45.03407724747447);45.03407724747447;7.679799794100602
TRATTENIMENTI;COLORADO;VIA DEI MILLE 24/A;No;249;07;1;0;10123;;POINT (7.687222579047563 45.06256737401184);45.06256737401184;7.687222579047563
