ID_POL_STA;SEDE;UFFICIO;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;ORARIO;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Questura Torino;Ufficio Relazioni con il Pubblico U.R.P.;CORSO VINZAGLIO 10;1;10121;TORINO;01155881;0115588045;urp.quest.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino;Lunedi' 09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00;POINT (7.668051214334105 45.07038714372582);45.070387143725824;7.668051214334105;1;Centro;Centro - Crocetta
2;Questura Torino;Ufficio Passaporti;PIAZZA CESARE AUGUSTO 5;1;10122;TORINO;0114647476;0114647460/467  ;questura.passaporti.to@poliziadistato.it ;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:30-17:30 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 15:30-17:30 Venerdi' 09:00-13:00;POINT (7.68422642002358 45.07509575414075);45.075095754140754;7.68422642002358;1;Centro;Centro - Crocetta
10;Commissariato Torino Centro;Ricezione Denunce;VIA GIUSEPPE VERDI 11;1;10124;TORINO;0118182011;0118182033;comm.centro.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.689999740281954 45.0693874693153);45.0693874693153;7.689999740281954;1;Centro;Centro - Crocetta
11;Commissariato Torino Centro;Sportello della Polizia Amministrativa;VIA GIUSEPPE VERDI 11;1;10124;TORINO;0118182011;0118182033;comm.centro.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.689999740281954 45.0693874693153);45.0693874693153;7.689999740281954;1;Centro;Centro - Crocetta
12;Commissariato Torino Dora-Vanchiglia;Ufficio Denunce;PIAZZA CESARE AUGUSTO 5;1;10122;TORINO;0114647411;0114647433;comm.doravanchiglia.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.68422642002358 45.07509575414075);45.075095754140754;7.68422642002358;1;Centro;Centro - Crocetta
13;Commissariato Torino Dora-Vanchiglia;Sportello della Polizia Amministrativa;PIAZZA CESARE AUGUSTO 5;1;10122;TORINO;0114647411;0114647433;comm.doravanchiglia.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 14:30-18:30 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.68422642002358 45.07509575414075);45.075095754140754;7.68422642002358;1;Centro;Centro - Crocetta
24;Questura Torino;Ufficio Concorsi ;CORSO VALDOCCO 9;1;10122;TORINO;0115588847;;uffpers.quest.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;dal lunedi' al venerdi' 09:00-12:00 sabato chiuso.;POINT (7.674600240309742 45.07708030388883);45.077080303888835;7.674600240309742;1;Centro;Centro - Crocetta
25;Questura Torino;Ufficio contenzioso;VIA SEVERINO GRATTONI 3;1;10121;TORINO;0115588615 - 640;0115588615;;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;Martedi' 09:30-11:30;POINT (7.667415926315737 45.07084833745539);45.07084833745539;7.667415926315737;1;Centro;Centro - Crocetta
26;Questura Torino;Ufficio Cittadinanza  ;VIA SEVERINO GRATTONI 3;1;10121;TORINO;0115588615 - 640;0115588615;;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;dal lunedi' al venerdi' 09:00-12:00 sabato chiuso.;POINT (7.667415926315737 45.07084833745539);45.07084833745539;7.667415926315737;1;Centro;Centro - Crocetta
27;Questura Torino;Ricezione denunce;VIA SEVERINO GRATTONI 3;1;10121;TORINO;0115588615 - 640;0115588615;;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;dal lunedi' alla domenica 00:00 -24:00;POINT (7.667415926315737 45.07084833745539);45.07084833745539;7.667415926315737;1;Centro;Centro - Crocetta
