ID_INF_CEN;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;ORARIO;URL;NOTE;QUARTIERE;geometry;LATITUDE;LONGITUDE
1;Piggi';CORSO SEBASTOPOLI 262;2;10136;Torino;011 3279926;da lunedi' a sabato ore 9.00 - 13.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Accomazzi;;POINT (7.636115134998059 45.04850094107345);45.04850094107345;7.636115134998059
2;La Rocca Incantata;VIA EDOARDO RUBINO 45;2;10137;Torino;011 19502281 - 393 9780168;da lunedi' a venerdi' 9.00 - 12.00lunedi' - mercoledi' - giovedi' 15.30-18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Educazione Progetto - legato a progetti particolari;;POINT (7.624556888100697 45.04110646416468);45.04110646416468;7.624556888100697
3;1, 2, 3.....;VIA FRANCESCO MILLIO 20;3;10141;Torino;393 9459882;dal lunedi' al venerdi' ore 9.00 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;"Cooperativa ""Educazione Progetto"" - legato a progetti particolari";;POINT (7.651878024304819 45.05780035690425);45.05780035690425;7.6518780243048194
4;L'albero che ride;VIA CHIUSELLA 14;6;10155;Torino;011 4371918;da lunedi' a venerdi': 9.00 - 13.00martedi' - mercoledi' - giovedi': 15.30 -18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Valpiana;;POINT (7.690588259586081 45.08933581215513);45.089335812155134;7.690588259586081
5;Bimbidea;CORSO GROSSETO 115 int. 1;5;10147;Torino;328 7178771;da lunedi' a venerdi', ore 9.30 - 13.00 lunedi' e giovedi': ore 16.00 - 19.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:associazione Bimbidea;;POINT (7.68022179742314 45.10368668723624);45.10368668723624;7.68022179742314
6;Stella stellina;VIALE DEI MUGHETTI 29 int. 1;5;10151;Torino;011 4532129;lunedi' e giovedi': 14.00 - 18.00 (estivo dal 15/4 al 15/10: 14,30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;;POINT (7.627353049865761 45.10245502161005);45.10245502161005;7.627353049865761
7;Arcobirbaleno;PIAZZA REBAUDENGO CONTI 23;6;10155;Torino;347 2320226;dal lunedi' al venerdi' ore 9.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Progetto Tenda - legato a progetti particolari;;POINT (7.695177273629261 45.10386582343524);45.10386582343524;7.695177273629261
8;La Rotonda;VIA STEFANO TEMPIA 6;6;10156;Torino;011 4428446;lunedi' e giovedi': 14.00-18.00 (estivo dal 15/4 al 15/10: 14.30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;;POINT (7.707728905196426 45.11692127523975);45.11692127523975;7.707728905196426
9;Punto e virgola;CORSO TERENZIO MAMIANI 1;6;10154;Torino;011 200932;da lunedi' a venerdi': 9.00 - 12.00 lunedi', martedi' e giovedi': 15.30 - 18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;In affidamento ex legge 285/97:Cooperativa Stranaidea;;POINT (7.713560539097048 45.08888279745503);45.08888279745503;7.713560539097048
10;Casa Oz;CORSO MONCALIERI 262;8;10131;Torino;011 3178507 - 328 5427175;dal lunedi' al venerdi', ore 9.00 - 19.00;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Associazione Casa Oz - legato a progetti particolari;;POINT (7.680831934460559 45.03632745799658);45.036327457996585;7.680831934460559
11;Tam tam del gioco;VIA CESARE REDUZZI 8;8;10134;Torino;011 3197034;(estivo dal 15/4 al 15/10: 14.30 - 18.30) martedi', mercoledi' e venerdi': 8.30 - 12.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Municipale a gestione diretta o indiretta;;POINT (7.654784034315106 45.03734483783364);45.03734483783364;7.654784034315106
12;Il Cappello Blu;VIA NIZZA 107;8;10126;Torino;011 541225;dal lunedi' al venerdi', ore 9.30 - 12.30 Lunedi' Martedi' Mercoledi': dalle 15.30 alle 18.30;http://www.comune.torino.it/servizieducativi/se/03_cbg.htm;Cooperativa Cemea - legato a progetti particolari;;POINT (7.673730188389833 45.04867556311358);45.048675563113584;7.673730188389833
