ID_INF_L;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;EMAIL;URL;TIPO;QUARTIERE;geometry;LATITUDE;LONGITUDE
1;Centro per la Cultura Ludica;VIA FIESOLE 15;5;10151;Torino;011 4439400;labludica@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.648665723182939 45.10405183102818);45.10405183102818;7.648665723182939
2;Avrha Kadabra;CORSO S. MAURIZIO 6;1;10124;Torino;011 40999084;labkadabra@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.692232813003093 45.07174833411089);45.07174833411089;7.692232813003093
3;Aliossi;VIA DOMENICO MILLELIRE 40;2;10127;Torino;011 6061631;labaliossi@comune.torino.it;http://www.comune.torino.it/gioco/;Punto Gioco Comunale;;POINT (7.650860968458229 45.01372286926712);45.01372286926712;7.650860968458229
4;L'Aquilone;CORSO BRAMANTE 75;8;10126;Torino;011 4427760 - 011 4427761;labaquilone@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.673179790938063 45.0425562669865);45.0425562669865;7.673179790938063
5;Cirimela;VIA STEFANO TEMPIA 6;6;10156;Torino;011 2624896;labincontro@comune.torino.it;http://www.comune.torino.it/gioco/;Punto Gioco Comunale;;POINT (7.707728905196426 45.11692127523975);45.11692127523975;7.707728905196426
6;Drago Volante;CORSO CADORE 20 int. 8;7;10153;Torino;011 8989208;labdragovolante@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.721857316430759 45.07522822438262);45.07522822438262;7.721857316430759
7;San Giocondo;VIA BERNARDINO LUINI 195;5;10151;Torino;011 7394285;labsangiocondo@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.650493106630899 45.10248552067896);45.10248552067896;7.650493106630899
8;Rocca Incantata;VIA EDOARDO RUBINO 45;2;10137;Torino;011 19503429;laroccaincanta@hotmail.it;http://www.cascinaroccafranca.it/wiki/centro_bambi;Punto Gioco Comunale;;POINT (7.624556888100697 45.04110646416468);45.04110646416468;7.624556888100697
9;Serendipity;CORSO ORBASSANO 264;2;10137;Torino;011 3114074;labserendipity@comune.torino.it;http://www.comune.torino.it/gioco/;Ludoteca Comunale;;POINT (7.631209579233351 45.03897704195789);45.038977041957885;7.631209579233351
10;Punto Gioco Cuore;CORSO FRANCIA 141;3;10138;Torino;338 5382769;infocuore.to@tiscali.it;http://www.puntogiococuore.it/;Ludoteca Privata;;POINT (7.645977076660518 45.07541875905347);45.07541875905347;7.645977076660518
11;Centro Mary Poppins;CORSO MASSIMO D'AZEGLIO 60;8;10126;Torino;011 6503834;centromarypoppins@yahoo.it;http://www.centromarypoppinstorino.it/;Punto Gioco Privato;;POINT (7.679873414933672 45.04874884848989);45.048748848489886;7.679873414933672
12;Festopoli;VIA S. QUINTINO 31;1;10121;Torino;011 5175886;manuela.rossetti@festopoli.com;http://www.festopoli.com;Ludoteca Privata;;POINT (7.670638552129747 45.06689188694013);45.066891886940134;7.670638552129747
13;Centro Famiglia;VIA GIACOMO BALLA 13;2;10136;Torino;011 307459;;;Ludoteca Privata;;POINT (7.626986948177984 45.04844366447173);45.04844366447173;7.626986948177984
14;Lilliput;VIA CARLO DEL PRETE 83/A;2;10137;Torino;011 3057506;;;Ludoteca Privata;;POINT (7.635925727932009 45.03467424973677);45.03467424973677;7.635925727932009
15;Lilliput 2;CORSO SEBASTOPOLI 262;2;10136;Torino;011 3279926;;;Ludoteca Privata;;POINT (7.636115134998059 45.04850094107345);45.04850094107345;7.636115134998059
16;Familifare;VIA DEGO 6;1;10129;Torino;335 7973868;familifare@gmail.com;;Spazio Famiglia;;POINT (7.658718644636946 45.05936299615976);45.05936299615976;7.658718644636946
17;Familifare;VIA DEGO 6;1;10129;Torino;335 7973868;familifare@gmail.com;;Spazio Famiglia;;POINT (7.658718644636946 45.05936299615976);45.05936299615976;7.658718644636946
18;"Laboratorio di Lettura - ""Pinocchio""";VIA PARENZO 42;5;10151;Torino;011 7397210;lablett1@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;;POINT (7.638666414931527 45.09857428420096);45.098574284200964;7.638666414931527
19;"Laboratorio di Lettura - ""Le Masche""";VIA GIUSEPPE ROMITA 19;2;10137;Torino;011 307486;lablett2@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;;POINT (7.627058114899565 45.04742472887968);45.04742472887968;7.627058114899565
20;"Laboratorio di Lettura - ""Villino Caprifoglio""";VIALE MEDAGLIE D'ORO 88;8;10126;Torino;011 6688166;lablett4@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;;POINT (7.682101999189725 45.05049668245154);45.05049668245154;7.682101999189725
22;"Laboratorio di Teatro - ""A caval teatro si guarda in bocca""";VIA NUORO 20/C;2;10137;Torino;011  3113068;labcaval@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/teat;Laboratorio per l'Infanzia;;POINT (7.632027269971307 45.04519153767367);45.045191537673674;7.632027269971307
23;Laboratorio di Immagine;VIA NUORO 20/C;2;10137;Torino;011 3111067;labimma@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/imma;Laboratorio per l'Infanzia;;POINT (7.632027269971307 45.04519153767367);45.045191537673674;7.632027269971307
24;"Laboratorio di Musica - ""Il Trillo""";VIA DANIELE MANIN 20;7;10153;Torino;011 4432009;labiltri@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;;POINT (7.705717331625781 45.07251749123527);45.07251749123527;7.705717331625781
25;"Laboratorio di Musica - ""Bimbi Suoni scuola musica""";CORSO PESCHIERA 222;3;10139;Torino;011 334621;labbimbi@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;;POINT (7.642363855843617 45.06768870056948);45.06768870056948;7.642363855843617
26;"Laboratorio di Musica - ""Giocanto""";VIA GIUSEPPE ROMITA 19;2;10137;Torino;011 307486;lablet2@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;;POINT (7.627058114899565 45.04742472887968);45.04742472887968;7.627058114899565
