ID_NIDO_CO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TEL_SEGRET;FAX;LATTANTI_L;LATTANTI_B;PICCOLI_LU;PICCOLI_BR;GRANDI_LUN;GRANDI_BRE;CAP_MAX;TIPO;EMAIL;URL;NOTE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;ASILO NIDO COMUNALE;PIAZZA CAVOUR 14;1;10123;Torino;011 4439190;011 4439106;4.0;11.0;8.0;20.0;23.0;9.0;77;Nido Comunale;ancavour@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Piano terra;POINT (7.689898265554172 45.06374123276444);45.063741232764436;7.689898265554172;1;Centro;Centro - Crocetta
2;ASILO NIDO COMUNALE;PIAZZA CAVOUR 14;1;10123;Torino;011 4439192;011 4439106;3.0;12.0;7.0;19.0;25.0;9.0;77;Nido Comunale;ancavour-1p@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Primo piano;POINT (7.689898265554172 45.06374123276444);45.063741232764436;7.689898265554172;1;Centro;Centro - Crocetta
3;IL KOALA;VIA GAUDENZIO FERRARI 16;1;10124;Torino;011 836675;;;;;;;;28;Nido Comunale;;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Apertura gennaio 2011;POINT (7.694330899021342 45.06890468594599);45.06890468594599;7.694330899021342;1;Centro;Centro - Crocetta
5;ASILO NIDO MUNICIPALE;VIA CARLO IGNAZIO GIULIO 30;1;10122;Torino;011 4425373;011 4425390;;;7.0;18.0;28.0;10.0;64;Nido Comunale;angiulio@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.676288701845044 45.07803818043151);45.078038180431506;7.676288701845044;1;Centro;Centro - Crocetta
6;ASILO NIDO MUNICIPALE;VIA MARIA VITTORIA 39 ter/A;1;10123;Torino;011 5534565;;;;3.0;24.0;29.0;4.0;64;Nido Comunale;anmariavittoria@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.692986884621333 45.06489355321727);45.06489355321727;7.692986884621333;1;Centro;Centro - Crocetta
7;ASILO NIDO COMUNALE;VIA S. CHIARA 5/A;1;10122;Torino;011 4432190;;;;1.0;10.0;17.0;2.0;34;Nido Comunale;ansantachiara@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.68103288580053 45.07526540487562);45.075265404875616;7.68103288580053;1;Centro;Centro - Crocetta
4;ASILO NIDO COMUNALE;VIA VINCENZO GIOBERTI 9;1;10128;Torino;011 50699727;011 5069727;1.0;9.0;1.0;16.0;16.0;1.0;44;Nido Comunale;angioberti@comune.torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Gestito da cooperativa;POINT (7.674731487462822 45.06229173113327);45.06229173113327;7.674731487462822;3;Crocetta;Centro - Crocetta
8;ASILO NIDO COMUNALE;VIA BARLETTA 109 int. 20;2;10136;Torino;011 4433461;011 3296212;6.0;11.0;8.0;24.0;45.0;9.0;117;Nido Comunale;anbarletta@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.636663092961259 45.0492191502898);45.0492191502898;7.636663092961259;11;Santa Rita;Santa Rita - Mirafiori
9;SNOOPY;VIA CARLO POMA 2;2;10137;Torino;011 3090231;011 3057183;6.0;11.0;6.0;24.0;34.0;6.0;89;Nido Comunale;anpoma@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.631351497963317 45.03552156953561);45.03552156953561;7.631351497963317;12;Mirafiori Nord;Santa Rita - Mirafiori
10;PANTERA ROSA;VIA IGNAZIO COLLINO 12;2;10137;Torino;011 3096976;011 4099971;1.0;9.0;1.0;11.0;22.0;2.0;47;Nido Comunale;ancollino@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.623887790020992 45.03917108388059);45.03917108388059;7.623887790020992;12;Mirafiori Nord;Santa Rita - Mirafiori
