ID_BIKE_SHARING;STAZIONE;URL;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;CIRCOSCRIZ;DCIRCOSCRIZ
1;Paravia;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.670327252441759 45.07758654925023);45.07758654925023;7.670327252441759;1;Centro;1;Centro - Crocetta
2;Porta Susa 2;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.668254322375671 45.07334344282767);45.07334344282767;7.668254322375671;1;Centro;1;Centro - Crocetta
3;Cernaia;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.670330721186371 45.0727083503512);45.0727083503512;7.670330721186371;1;Centro;1;Centro - Crocetta
4;Valdocco 2;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.673765637136775 45.07534177095111);45.075341770951106;7.673765637136775;1;Centro;1;Centro - Crocetta
6;Valdocco;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.675706234831393 45.07803382529732);45.07803382529732;7.675706234831393;1;Centro;1;Centro - Crocetta
7;via della consolata;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.677963238442102 45.07567911621224);45.075679116212235;7.677963238442102;1;Centro;1;Centro - Crocetta
8;Corte d`Appello;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.679080691261319 45.07432929383231);45.074329293832314;7.679080691261319;1;Centro;1;Centro - Crocetta
9;Statuto 2;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.671663572761357 45.07625735142219);45.07625735142219;7.671663572761357;1;Centro;1;Centro - Crocetta
11;Porta Palatina;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.683958213418081 45.07380177024489);45.07380177024489;7.683958213418081;1;Centro;1;Centro - Crocetta
12;Porta Nuova 1;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.678794046145597 45.06297584120912);45.06297584120912;7.6787940461455975;1;Centro;1;Centro - Crocetta
13;Porta Nuova 2;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.679355457335787 45.06281323143861);45.06281323143861;7.679355457335787;1;Centro;1;Centro - Crocetta
14;Lagrange;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.680786872475142 45.06350244273764);45.063502442737644;7.680786872475142;1;Centro;1;Centro - Crocetta
15;Solferino 2;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.676142314506025 45.06819954726867);45.06819954726867;7.676142314506025;1;Centro;1;Centro - Crocetta
16;Meucci;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.675948983208997 45.06927695500368);45.06927695500368;7.675948983208997;1;Centro;1;Centro - Crocetta
17;Matteotti 1;http://www.tobike.it/frmLeStazioni.aspx;POINT (7.674819862117634 45.06625999811362);45.066259998113615;7.674819862117634;1;Centro;1;Centro - Crocetta
