ID_R_PUNTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Casa del Teatro Ragazzi e Giovani;CORSO GALILEO FERRARIS 266;2;10134;TORINO;011 3043755;;mail@fondazionetrg.it;http://www.casateatroragazzi.it;POINT (7.653951976959426 45.0415328800901);45.0415328800901;7.6539519769594255;11;Santa Rita;Santa Rita - Mirafiori
2;Teatro Nuovo;CORSO MASSIMO D'AZEGLIO 17;8;10126;TORINO;011 6500200;011 6500265;nuovotnt@tin.it;http://www.teatronuovo.torino.it;POINT (7.680871524051829 45.04836891223376);45.04836891223376;7.680871524051829;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
17;Teatro Cine Baretti;VIA GIUSEPPE BARETTI 4;8;10125;TORINO;011 655187;;info@cineteatrobaretti.it;http://www.cineteatrobaretti.it;POINT (7.679160330671699 45.05816690942135);45.058166909421345;7.679160330671699;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
20;Teatro Colosseo;VIA MADAMA CRISTINA 71/A;8;10125;TORINO;011 6698034 - 011 6505195;011 658919;info@teatrocolosseo.it;http://www.teatrocolosseo.it;POINT (7.679318524165033 45.05239662540182);45.05239662540182;7.679318524165033;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
3;Teatro Erba;CORSO MONCALIERI 241;8;10133;TORINO;011 6615447;011 6615415;info@torinospettacoli.it;http://www.torinospettacoli.it;POINT (7.681988632661371 45.03834334834895);45.03834334834895;7.681988632661371;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
4;Teatro Carignano - Teatro Stabile Torino;PIAZZA CARIGNANO 6;1;10123;TORINO;011 5169490 - 800 235333;;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it;POINT (7.684725674356818 45.06927052963213);45.069270529632135;7.684725674356818;1;Centro;Centro - Crocetta
5;Auditorium Rai A. Toscanini;VIA GIUSEPPE VERDI 31;1;10124;TORINO;011 8104653 ;011 8104961;biglietteria.osn@rai.it;http://www.orchestrasinfonica.rai.it;POINT (7.692702014417524 45.06834233547895);45.068342335478945;7.692702014417524;1;Centro;Centro - Crocetta
6;Teatro Regio;PIAZZA CASTELLO 215;1;10124;TORINO;011 88151;011 8815214;info@teatroregio.torino.it;http://www.teatroregio.torino.it;POINT (7.687505422129575 45.07069939850093);45.07069939850093;7.687505422129575;1;Centro;Centro - Crocetta
7;Teatro Piccolo Regio G.Puccini;PIAZZA CASTELLO 215;1;10124;TORINO;011 88151;011 8815214;info@teatroregio.torino.it;http://www.teatroregio.torino.it/it/node/431;POINT (7.687505422129575 45.07069939850093);45.07069939850093;7.687505422129575;1;Centro;Centro - Crocetta
10;Teatro Alfieri;PIAZZA SOLFERINO 4;1;10121;TORINO;011 5623800;011 5623435;info@torinospettacoli.it;http://www.torinospettacoli.it;POINT (7.677188068372956 45.06980198448484);45.06980198448484;7.677188068372956;1;Centro;Centro - Crocetta
11;Teatro Vittoria - TST;VIA ANTONIO GRAMSCI 4;1;10121;TORINO;011.56.69.805;;info@teatrostabiletorino.it;http://teatrovittoriatorino.unionemusicale.it/;POINT (7.679581488269994 45.06497554315569);45.06497554315569;7.679581488269994;1;Centro;Centro - Crocetta
18;Cavallerizza Reale;VIA GIUSEPPE VERDI 9;1;10124;TORINO;011 5169411;011 5169410;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it/cavallerizza-reale/;POINT (7.689693253380629 45.06950591521986);45.069505915219864;7.6896932533806295;1;Centro;Centro - Crocetta
19;Teatro Juvarra;VIA FILIPPO JUVARRA 15;1;10122;TORINO;011 540675;011 5175084;;http://www.juvarramultiteatro.it;POINT (7.671874345805175 45.07405953849226);45.074059538492264;7.6718743458051755;1;Centro;Centro - Crocetta
22;Conservatorio G.Verdi;VIA GIUSEPPE MAZZINI 11;1;10123;TORINO;011 888470 - 0118178458;011 885165;info@pec.conservatorioriotorino.eu;http://www.conservatoriotorino.eu;POINT (7.684475109141097 45.06280757811295);45.062807578112945;7.684475109141097;1;Centro;Centro - Crocetta
25;Teatro Gobetti - Teatro Stabile Torino;VIA GIOACHINO ROSSINI 8;1;10124;TORINO;011 8159132 - 011 8970831 - 80;011 8159132;info@teatrostabiletorino.it;http://www.teatrostabiletorino.it;POINT (7.691135236828322 45.06931955100661);45.06931955100661;7.691135236828322;1;Centro;Centro - Crocetta
8;Sala Teatro Murialdo;VIA CHIESA DELLA SALUTE 17/D;5;10147;TORINO;011 2215161;011 2215161;;http://www.teatromurialdo.it/;POINT (7.678323391247384 45.09420860814691);45.09420860814691;7.678323391247384;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
9;Officina Caos;PIAZZA EUGENIO MONTALE 18;5;10151;TORINO;011 7399833;011 733605;info@stalkerteatro.net;http://www.stalkerteatro.net/torino/index.html - http://www.officinecaos.net;POINT (7.630202941510075 45.10355028081592);45.103550280815924;7.630202941510075;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
12;Teatro Monterosa;VIA BRANDIZZO 65/A;6;10154;TORINO;011 2304153 - 011 2304122;011 0960100;teatro@teatromonterosa.it;http://www.teatromonterosa.it;POINT (7.700387410414174 45.09086094384239);45.090860943842394;7.700387410414174;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
13;Teatro Alfa;VIA CASALBORGONE 16/I;7;10132;TORINO;011 8195803;011 8193529;info@alfateatro.it;http://www.alfateatro.it;POINT (7.713909365742573 45.06679452405971);45.06679452405971;7.713909365742573;21;Madonna del Pilone;Aurora, Vanchiglia - Sassi - Madonna del Pilone
14;Teatro Araldo;VIA CHIOMONTE 3/A;3;10141;TORINO;011 331764;011 331764;;http://www.fondazionetrg.it/;POINT (7.647115528546343 45.06144758850227);45.06144758850227;7.647115528546343;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
16;Teatro Tangram;VIA DON LUIGI ORIONE 5/B;3;10141;TORINO;011 338698;011 338698;tangramteatrotorino@libero.it;http://www.tangramteatro.it/;POINT (7.654372861910199 45.05855149154192);45.05855149154192;7.654372861910199;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
15;Teatro Gioiello;VIA CRISTOFORO COLOMBO 31;1;10129;TORINO;011 5805768;011 6615447;info@torinospettacoli.it;http://www.torinospettacoli.it;POINT (7.662500160385113 45.05714291381923);45.057142913819234;7.662500160385113;3;Crocetta;Centro - Crocetta
21;Sala Espace;VIA MANTOVA 38;7;10153;TORINO;011 2386067;011 19703521;info@salaespace.it;http://www.salaespace.it;POINT (7.698601708190755 45.07490461179027);45.07490461179027;7.698601708190755;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
26;Teatro Cine Piccolo Valdocco;VIA SALERNO 12;7;10152;TORINO;011 5224279;011 5224299;valdocco@libero.it;http://www.accoglienza.valdocco.it/sale-e-teatri/;POINT (7.675445006117247 45.08216393377086);45.08216393377086;7.675445006117247;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
23;Auditorium Lingotto G.Agnelli;VIA NIZZA 280;8;10126;TORINO;011 6677415;011 6634319;info@lingottomusica.it;http://www.lingottomusica.it;POINT (7.666343720968706 45.03077918929636);45.03077918929636;7.6663437209687055;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
24;Teatro Astra;VIA ROSOLINO PILO 6/A;4;10143;TORINO;011 5634352 ;011 5184711;info@fondazionetpe.it;http://www.fondazionetpe.it/;POINT (7.650409380048435 45.07725294783127);45.07725294783127;7.650409380048435;6;San Donato;San Donato - Campidoglio - Parella
27;Teatro Agnelli;VIA PAOLO SARPI 111/A;2;10135;TORINO;011 3161429;011 3161429;programma.cinema@agnelli.it;http://cineteatroagnelli.blogspot.com;POINT (7.643311480140142 45.03201889583934);45.032018895839336;7.6433114801401425;12;Mirafiori Nord;Santa Rita - Mirafiori
28;Teatro Cardinal Massaia;VIA SOSPELLO 34/A;5;10147;TORINO;011 257881;011 7601332;prenotazioni@teatromassaia.it;http://www.teatromassaia.it/;POINT (7.669228050623688 45.10310654829843);45.103106548298435;7.669228050623688;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
