ID_ANAGRAF;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ORARIO;PRENOTAZIO;NOTE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;Circ1;VIA DELLA CONSOLATA 23;TORINO;10122;1;011 4425380;;"info.anagrafe@comune.torino.it; Servizi.Civici@cert.comune.torino.it;";http://www.comune.torino.it/guide/anagrafe/;"da lunedi' a giovedi' 8:15 - 15; venerdi' 8:15 - 13:50";011 4425200;Anagrafe Centrale. Orario info telefoniche: 8 - 20 (dal lunedi' al venerdi') e 8 - 16 (sabato);POINT (7.6790717846285 45.07752414413345);45.07752414413345;7.6790717846285;1;Centro;Centro - Crocetta
2;Circ2;VIA GUIDO RENI 102;TORINO;10136;2;011 4435280 - 82 - 83;;;http://www.comune.torino.it/guide/anagrafe/;"da lunedi' a giovedi' 8:10 - 14:10; venerdi' 8:10 - 13:45";;;POINT (7.629211520739594 45.04839805210469);45.04839805210469;7.629211520739594;12;Mirafiori Nord;Santa Rita - Mirafiori
3;Circ3;CORSO RACCONIGI 94;TORINO;10141;3;011 4421060 - 61;;;http://www.comune.torino.it/guide/anagrafe/;dal lunedi' al venerdi' 8:10 -14:00;;"In corso Racconigi l'orario di accettazione del pubblico e' dal lunedi' al venerdi', dalle ore 8.10 alle ore 11.00; poiche' l'apertura degli sportelli dal lunedi' al venerdi' termina alle ore 14.00 , sara' possibile accogliere altri utenti sino a tale orario solo in caso di esaurimento delle prenotazioni.";POINT (7.644781632610018 45.06561731589103);45.06561731589103;7.644781632610018;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
5;Circ4;VIA VALENTINO CARRERA 81;TORINO;10146;4;011 4437245 - 50;;;http://www.comune.torino.it/guide/anagrafe/;"dal lunedi' al giovedi' 8:30 - 14:30; venerdi' 8:30 - 13:45";"dal lunedi' al giovedi' 8:30 - 12:30 e 14:00 - 16:00; venerdi' 8:30 - 13:45";;POINT (7.62876284232607 45.08001056223311);45.08001056223311;7.62876284232607;14;Parella;San Donato - Campidoglio - Parella
6;Circ5;VIA STRADELLA 192;TORINO;10147;5;011 4439577;;;http://www.comune.torino.it/guide/anagrafe/;"dal lunedi' al giovedi' 8:30 - 14:30; venerdi' 8:30 - 14:00";;;POINT (7.668012819135269 45.10065364392305);45.100653643923046;7.668012819135269;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
7;Circ5;PIAZZA EUGENIO MONTALE 10;TORINO;10151;5;011 4431060;;;http://www.comune.torino.it/guide/anagrafe/;"dal lunedi' al giovedi' 8:30 - 14:30; venerdi' 8:30 - 14:00";;;POINT (7.630731416978972 45.10391242699446);45.103912426994455;7.630731416978972;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
8;Circ6;PIAZZA GIOVANNI ASTENGO 7;TORINO;10156;6;011 4432610;;;http://www.comune.torino.it/guide/anagrafe/;"dal martedi' al giovedi' 8:15 - 14:00; venerdi' 8:15 - 13:50";;;POINT (7.709311402657969 45.1271471296357);45.1271471296357;7.709311402657969;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
9;Circ6;VIA RUGGERO LEONCAVALLO 17;TORINO;10154;6;011 4436650;;;http://www.comune.torino.it/guide/anagrafe/;"dal lunedi' al giovedi' 8:30 - 14:30; venerdi' 8:30 - 13:50";;;POINT (7.697720294028666 45.08561878194637);45.08561878194637;7.697720294028666;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
10;Circ7;CORSO VERCELLI 15;TORINO;10152;7;011 4435780;;;http://www.comune.torino.it/guide/anagrafe/;dal lunedi' al venerdi' 8:30 - 14:15;Richieste pratiche di residenza a Torino solo su prenotazione al numero: 011 4435785 dal lunedi' al venerdi', orario: 8:30 - 13;"Nell'orario di apertura, per esigenze di servizio, al fine di evitare disagi all'utenza, i numeri per le pratiche di seguito elencate saranno distribuiti fino alle ore 12.00: cambio indirizzo, cancellazioni, attestazioni regolarita', attestazioni permanenti;";POINT (7.685794392047248 45.08431032597608);45.08431032597608;7.685794392047248;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
11;Circ8;VIA FEDERICO CAMPANA 30;TORINO;10125;8;011 4435880 - 81 - 82;;;http://www.comune.torino.it/guide/anagrafe/;"dal lunedi' al giovedi' 8:30-14:00; venderdi' 8:30-12:30";;;POINT (7.682261330961838 45.05394433601936);45.05394433601936;7.682261330961838;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
