ID_POSTA;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;TURNO;ORARIO;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
1;TORINO 1;VIA MARIA VITTORIA 24;1;10123;TORINO;+390118125667;+390118121752;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";POINT (7.68757453286482 45.06670371228583);45.06670371228583;7.68757453286482;1;Centro;Centro - Crocetta
4;TORINO 13;VIA FRANCESCO GIUSEPPE GUICCIARDINI 28;1;10121;TORINO;+390115563731;+390114546872;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.667678841424797 45.0713934763782);45.0713934763782;7.667678841424797;1;Centro;Centro - Crocetta
6;TORINO 15;VIA S. QUINTINO 35/F;1;10121;TORINO;+390115604531;+390115620567;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";POINT (7.670109770350662 45.06707620490821);45.06707620490821;7.670109770350662;1;Centro;Centro - Crocetta
12;TORINO 20;VIA S. FRANCESCO DA PAOLA 40;1;10123;TORINO;011/8126543;011/835433;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.684596925772098 45.06221921108347);45.06221921108347;7.684596925772098;1;Centro;Centro - Crocetta
80;POSTEIMPRESA TORINO 1;VIA ARSENALE 13 bis;1;10121;TORINO;011/5060052;011/5060031;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";POINT (7.679804969678447 45.06810636456456);45.068106364564564;7.679804969678447;1;Centro;Centro - Crocetta
81;POSTEIMPRESA TORINO 2;VIA AMEDEO AVOGADRO 6/E;1;10121;TORINO;011/5604532;011/5620567;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";POINT (7.669914931685391 45.06687547367093);45.06687547367093;7.669914931685391;1;Centro;Centro - Crocetta
75;TORINO CENTRO;VIA VITTORIO ALFIERI 10;1;10121;TORINO;011/5060286;011/5060012;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";POINT (7.68013940142473 45.06788755779657);45.06788755779657;7.6801394014247295;1;Centro;Centro - Crocetta
20;TORINO 28;VIA BLIGNY 8;1;10122;TORINO;011/5229432;011/4368767;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";POINT (7.67688383941193 45.07569500402739);45.075695004027395;7.67688383941193;1;Centro;Centro - Crocetta
2;TORINO 10;VIA S. GIULIA 12;7;10124;TORINO;011/8121323;011/8127819;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.694058697261934 45.07229666977247);45.07229666977247;7.6940586972619345;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
7;TORINO 16;VIA LESSOLO 19;7;10153;TORINO;+390118183431;+390118600061;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";POINT (7.71190755676543 45.07117847812888);45.07117847812888;7.71190755676543;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
15;TORINO 23;VIA MONTEBELLO 25;7;10124;TORINO;+39011835716;+39011837262;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.694411958170256 45.07129340826886);45.071293408268865;7.694411958170256;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
3;TORINO 11;VIA ROCCAVIONE CONTE DI 93/E;5;10147;TORINO;+390112205366;+390112975761;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.676683519655747 45.10322759175808);45.103227591758085;7.6766835196557475;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
66;TORINO 7;VIA BREGLIO 37/A;5;10147;TORINO;011/210996;011/250010;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.681252722000227 45.09867770372195);45.09867770372195;7.681252722000227;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
5;TORINO 14;VIA GIUSEPPE VERNAZZA 5;2;10136;TORINO;+390113911232;+390113272838;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";POINT (7.649218329144202 45.04475824430486);45.04475824430486;7.649218329144202;11;Santa Rita;Santa Rita - Mirafiori
