AREAGEOGRAFICA|CAPSCUOLA|CODICECOMUNESCUOLA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECARATTERISTICASCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDICAZIONESEDEDIRETTIVO|INDICAZIONESEDEOMNICOMPRENSIVO|INDIRIZZOEMAILSCUOLA|INDIRIZZOPECSCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|SITOWEBSCUOLA|ANNOSCOLASTICO_x|INDIRIZZO_TOT|index|ANNOSCOLASTICO_y|ORDINESCUOLA|ANNOCORSO|FASCIAETA|ALUNNI|Statale_Paritaria
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283160|201617|SCUOLA PRIMARIA|1|6 anni|87|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283161|201617|SCUOLA PRIMARIA|1|7 anni|1|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283162|201617|SCUOLA PRIMARIA|1|< di 6 anni|3|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283163|201617|SCUOLA PRIMARIA|2|7 anni|77|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283164|201617|SCUOLA PRIMARIA|2|8 anni|4|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283165|201617|SCUOLA PRIMARIA|3|7 anni|5|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283166|201617|SCUOLA PRIMARIA|3|8 anni|89|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283167|201617|SCUOLA PRIMARIA|3|9 anni|2|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283168|201617|SCUOLA PRIMARIA|4|10 anni|1|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283169|201617|SCUOLA PRIMARIA|4|8 anni|2|S
